date,/m/0fy__
2020-02-01,42
2020-02-02,39
2020-02-03,26
2020-02-04,39
2020-02-05,30
2020-02-06,31
2020-02-07,50
2020-02-08,64
2020-02-09,46
2020-02-10,31
2020-02-11,39
2020-02-12,29
2020-02-13,39
2020-02-14,41
2020-02-15,33
2020-02-16,29
2020-02-17,38
2020-02-18,26
2020-02-19,38
2020-02-20,46
2020-02-21,31
2020-02-22,28
2020-02-23,20
2020-02-24,76
2020-02-25,28
2020-02-26,30
2020-02-27,18
2020-02-28,33
2020-02-29,100
2020-03-01,32
2020-03-02,31
2020-03-03,58
2020-03-04,29
2020-03-05,58
2020-03-06,58
2020-03-07,35
2020-03-08,71
2020-03-09,46
2020-03-10,55
2020-03-11,36
2020-03-12,48
2020-03-13,19
2020-03-14,20
2020-03-15,20
2020-03-16,23
2020-03-17,45
2020-03-18,18
2020-03-19,18
2020-03-20,50
2020-03-21,51
2020-03-22,45
2020-03-23,43
2020-03-24,29
2020-03-25,23
2020-03-26,23
2020-03-27,54
2020-03-28,57
2020-03-29,53
2020-03-30,48
2020-03-31,38
2020-04-01,39
2020-04-02,54
2020-04-03,65
2020-04-04,77
2020-04-05,95
2020-04-06,44
2020-04-07,86
2020-04-08,47
2020-04-09,64
2020-04-10,83
2020-04-11,46
2020-04-12,77
2020-04-13,83
2020-04-14,60
2020-04-15,40
2020-04-16,82
2020-04-17,52
2020-04-18,80
2020-04-19,64
2020-04-20,65
2020-04-21,79
2020-04-22,59
2020-04-23,51
2020-04-24,59
2020-04-25,81
2020-04-26,59
2020-04-27,45
2020-04-28,73
2020-04-29,64
2020-04-30,51
2020-05-01,60
2020-05-02,79
2020-05-03,47
2020-05-04,72
2020-05-05,46
2020-05-06,34
2020-05-07,52
2020-05-08,70
2020-05-09,57
2020-05-10,36
2020-05-11,82
2020-05-12,44
2020-05-13,77
2020-05-14,39
2020-05-15,47
2020-05-16,64
2020-05-17,80
2020-05-18,79
2020-05-19,57
2020-05-20,53
2020-05-21,52
2020-05-22,61
2020-05-23,41
2020-05-24,47
2020-05-25,38
2020-05-26,40
2020-05-27,73
2020-05-28,79
2020-05-29,53
2020-05-30,39
2020-05-31,66
