date,/m/0149w3
2020-02-01,63
2020-02-02,60
2020-02-03,40
2020-02-04,30
2020-02-05,30
2020-02-06,63
2020-02-07,49
2020-02-08,48
2020-02-09,47
2020-02-10,67
2020-02-11,59
2020-02-12,59
2020-02-13,45
2020-02-14,63
2020-02-15,34
2020-02-16,44
2020-02-17,29
2020-02-18,59
2020-02-19,44
2020-02-20,30
2020-02-21,42
2020-02-22,97
2020-02-23,31
2020-02-24,58
2020-02-25,29
2020-02-26,28
2020-02-27,37
2020-02-28,40
2020-02-29,62
2020-03-01,44
2020-03-02,56
2020-03-03,44
2020-03-04,58
2020-03-05,45
2020-03-06,60
2020-03-07,43
2020-03-08,69
2020-03-09,38
2020-03-10,42
2020-03-11,42
2020-03-12,28
2020-03-13,45
2020-03-14,51
2020-03-15,50
2020-03-16,44
2020-03-17,27
2020-03-18,65
2020-03-19,100
2020-03-20,39
2020-03-21,87
2020-03-22,59
2020-03-23,33
2020-03-24,97
2020-03-25,81
2020-03-26,26
2020-03-27,41
2020-03-28,86
2020-03-29,99
2020-03-30,37
2020-03-31,58
2020-04-01,89
2020-04-02,74
2020-04-03,33
2020-04-04,98
2020-04-05,93
2020-04-06,93
2020-04-07,78
2020-04-08,45
2020-04-09,54
2020-04-10,55
2020-04-11,89
2020-04-12,59
2020-04-13,85
2020-04-14,75
2020-04-15,78
2020-04-16,62
2020-04-17,53
2020-04-18,78
2020-04-19,53
2020-04-20,37
2020-04-21,91
2020-04-22,54
2020-04-23,43
2020-04-24,77
2020-04-25,72
2020-04-26,80
2020-04-27,34
2020-04-28,48
2020-04-29,41
2020-04-30,82
2020-05-01,75
2020-05-02,43
2020-05-03,72
2020-05-04,31
2020-05-05,70
2020-05-06,26
2020-05-07,54
2020-05-08,27
2020-05-09,68
2020-05-10,64
2020-05-11,36
2020-05-12,50
2020-05-13,59
2020-05-14,60
2020-05-15,40
2020-05-16,59
2020-05-17,61
2020-05-18,65
2020-05-19,78
2020-05-20,72
2020-05-21,74
2020-05-22,43
2020-05-23,98
2020-05-24,53
2020-05-25,58
2020-05-26,35
2020-05-27,26
2020-05-28,43
2020-05-29,54
2020-05-30,44
2020-05-31,50
