,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-11-04,0.0,18.0,15.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,19.0,22.0,15.0,0.0,0.0,37.0,19.0,37.234042553191486,22.388059701492537,0.0,17.538532065455367
2020-11-05,20.0,55.0,16.0,77.0,41.0,20.0,63.0,19.0,45.0,46.0,19.0,22.0,15.0,21.0,20.54794520547945,38.0,76.0,57.4468085106383,22.388059701492537,48.0,49.13711339723178
2020-11-06,21.0,19.0,17.0,40.0,64.0,21.0,49.0,0.0,24.0,24.0,20.0,46.0,16.0,22.0,0.0,40.0,0.0,40.42553191489362,46.26865671641791,17.0,34.90805506151082
2020-11-07,0.0,21.0,0.0,22.0,24.0,23.0,18.0,44.0,0.0,54.0,66.0,52.0,0.0,49.0,47.945205479452056,0.0,22.0,0.0,52.23880597014925,38.0,35.33818529110196
2020-11-08,48.0,22.0,93.0,91.0,48.0,71.0,36.0,44.0,26.0,27.0,44.0,52.0,18.0,24.0,24.65753424657534,22.0,66.0,44.680851063829785,26.865671641791046,19.0,56.15069713466068
2020-11-09,0.0,39.0,0.0,40.0,0.0,21.0,0.0,20.0,48.0,25.0,20.0,47.0,31.0,22.0,0.0,0.0,0.0,20.21276595744681,0.0,0.0,22.084560324213477
2020-11-10,22.0,39.0,33.0,20.0,22.0,21.0,33.0,0.0,47.0,74.0,20.0,0.0,16.0,44.0,42.465753424657535,61.0,60.0,20.21276595744681,70.14925373134328,17.0,43.86439198260001
2020-11-11,0.0,0.0,0.0,21.0,0.0,22.0,0.0,0.0,0.0,25.0,0.0,24.0,0.0,0.0,21.91780821917808,21.0,0.0,0.0,0.0,0.0,8.94203577664733
2020-11-12,44.0,40.0,0.0,20.0,0.0,22.0,17.0,20.0,24.0,0.0,0.0,24.0,16.0,22.0,21.91780821917808,20.0,41.0,0.0,23.880597014925375,17.0,24.708203617308442
2020-11-13,22.0,0.0,17.0,20.0,22.0,21.0,0.0,20.0,24.0,25.0,41.0,0.0,16.0,45.0,0.0,20.0,21.0,40.42553191489362,0.0,0.0,23.49049268123032
