date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-01-29,4.0,19.0,18.0,25.0,16.0,20.0,22.0,16.0,10.0,9.0,28.0,15.0,28.0,18.0,14.0,10.0,11.0,5.0,4.0,17.0,17.933836331979105
2020-01-30,22.0,24.0,19.0,31.0,44.0,24.0,31.0,32.0,40.0,18.0,39.0,20.0,11.0,19.0,30.0,20.0,15.0,18.0,12.0,18.0,28.264654672083573
2020-01-31,9.0,25.0,13.0,16.0,17.0,21.0,14.0,22.0,21.0,9.0,23.0,31.0,17.0,14.0,15.0,16.0,4.0,9.0,12.0,18.0,18.920487521764365
2020-02-01,39.0,16.0,48.0,39.0,18.0,14.0,20.0,18.0,28.0,20.0,25.0,17.0,38.0,27.0,38.0,34.0,29.0,10.0,32.0,20.0,30.760301799187463
2020-02-02,19.0,26.0,27.0,5.0,0.0,4.0,10.0,17.0,22.0,0.0,24.0,11.0,12.0,23.0,26.0,22.0,8.0,5.0,13.0,24.0,17.29541497388276
2020-02-03,12.0,17.0,11.0,9.0,10.0,11.0,8.0,19.0,9.0,16.0,15.0,13.0,10.0,10.0,9.0,9.0,20.0,12.0,4.0,4.0,13.232733604178756
2020-02-04,17.0,38.0,61.0,40.0,43.0,48.0,31.0,46.0,40.0,39.0,44.0,24.0,62.0,23.0,29.0,49.0,29.0,32.0,32.0,22.0,43.470690655832854
2020-02-05,13.0,20.0,12.0,15.0,16.0,12.0,4.0,16.0,31.0,18.0,11.0,10.0,17.0,11.0,34.0,10.0,22.0,23.0,12.0,18.0,18.862449216482876
2020-02-06,23.0,10.0,19.0,26.0,22.0,13.0,14.0,38.0,26.0,18.0,23.0,21.0,12.0,16.0,10.0,16.0,19.0,14.0,8.0,23.0,21.53221125943122
2020-02-07,23.0,10.0,20.0,22.0,11.0,17.0,14.0,28.0,11.0,19.0,6.0,21.0,18.0,25.0,16.0,16.0,8.0,19.0,22.0,14.0,19.733023795705165
2020-02-08,20.0,16.0,35.0,23.0,19.0,14.0,15.0,6.0,11.0,10.0,13.0,17.0,26.0,6.0,11.0,23.0,13.0,10.0,23.0,0.0,18.049912942542075
2020-02-09,4.0,0.0,25.0,10.0,11.0,8.0,5.0,5.0,20.0,18.0,22.0,0.0,23.0,16.0,5.0,15.0,8.0,19.0,8.0,0.0,12.884503772489843
2020-02-10,12.0,18.0,23.0,14.0,26.0,11.0,21.0,5.0,9.0,8.0,21.0,23.0,16.0,28.0,23.0,10.0,14.0,26.0,19.0,17.0,19.965177016831106
2020-02-11,4.0,5.0,24.0,10.0,16.0,12.0,4.0,20.0,5.0,8.0,16.0,10.0,6.0,23.0,14.0,10.0,11.0,9.0,0.0,9.0,12.536273940800928
2020-02-12,39.0,38.0,55.0,50.0,37.0,24.0,30.0,31.0,30.0,21.0,32.0,39.0,28.0,36.0,33.0,59.0,40.0,27.0,20.0,26.0,40.336622170632616
2020-02-13,13.0,10.0,18.0,10.0,21.0,12.0,9.0,10.0,15.0,4.0,27.0,5.0,6.0,26.0,14.0,15.0,11.0,4.0,12.0,22.0,15.322112594312244
2020-02-14,23.0,15.0,32.0,10.0,34.0,13.0,23.0,27.0,16.0,22.0,11.0,21.0,18.0,19.0,15.0,16.0,27.0,5.0,17.0,23.0,22.460824143935
2020-02-15,15.0,11.0,14.0,17.0,19.0,28.0,15.0,12.0,12.0,10.0,19.0,17.0,33.0,30.0,22.0,23.0,4.0,10.0,23.0,15.0,20.255368543238536
2020-02-16,18.0,20.0,13.0,16.0,17.0,17.0,18.0,16.0,21.0,9.0,17.0,15.0,29.0,14.0,20.0,21.0,15.0,19.0,8.0,18.0,19.79106210098665
2020-02-17,29.0,32.0,24.0,24.0,26.0,16.0,17.0,30.0,29.0,21.0,11.0,14.0,22.0,15.0,33.0,34.0,14.0,22.0,15.0,13.0,25.594892629135227
2020-02-18,17.0,33.0,24.0,24.0,31.0,16.0,21.0,20.0,29.0,29.0,32.0,38.0,38.0,28.0,23.0,29.0,25.0,31.0,31.0,25.0,31.572838073128263
2020-02-19,17.0,24.0,6.0,20.0,21.0,12.0,22.0,5.0,15.0,4.0,11.0,19.0,17.0,26.0,28.0,20.0,11.0,9.0,8.0,34.0,19.09460243760882
2020-02-20,22.0,38.0,18.0,25.0,27.0,28.0,13.0,20.0,5.0,26.0,27.0,24.0,22.0,5.0,24.0,30.0,15.0,14.0,16.0,17.0,24.143934997098082
2020-02-21,18.0,25.0,26.0,32.0,46.0,34.0,28.0,33.0,27.0,5.0,35.0,26.0,30.0,19.0,46.0,21.0,12.0,38.0,4.0,23.0,30.64422518862449
2020-02-22,20.0,11.0,14.0,11.0,18.0,14.0,25.0,12.0,11.0,15.0,19.0,22.0,13.0,27.0,11.0,6.0,21.0,10.0,14.0,20.0,18.224027858386535
2020-02-23,14.0,10.0,46.0,22.0,12.0,30.0,24.0,11.0,11.0,9.0,24.0,21.0,6.0,25.0,21.0,27.0,12.0,5.0,17.0,23.0,21.474172954149736
2020-02-24,21.0,33.0,12.0,25.0,32.0,24.0,21.0,35.0,29.0,21.0,16.0,19.0,39.0,26.0,24.0,24.0,18.0,13.0,20.0,17.0,27.219965177016828
2020-02-25,30.0,9.0,30.0,20.0,53.0,12.0,17.0,30.0,29.0,25.0,27.0,20.0,22.0,10.0,33.0,39.0,18.0,18.0,19.0,30.0,28.496807893209517
2020-02-26,34.0,14.0,36.0,39.0,31.0,19.0,21.0,25.0,29.0,34.0,26.0,38.0,27.0,33.0,33.0,24.0,28.0,22.0,4.0,21.0,31.22460824143935
2020-02-27,21.0,14.0,18.0,19.0,41.0,12.0,13.0,34.0,29.0,25.0,37.0,14.0,32.0,20.0,14.0,24.0,21.0,17.0,23.0,29.0,26.523505513639
2020-02-28,18.0,25.0,19.0,31.0,38.0,21.0,27.0,37.0,26.0,18.0,17.0,20.0,35.0,25.0,25.0,15.0,19.0,19.0,12.0,40.0,28.264654672083573
2020-02-29,29.0,27.0,34.0,28.0,30.0,36.0,10.0,40.0,33.0,19.0,18.0,22.0,19.0,29.0,32.0,28.0,20.0,51.0,31.0,29.0,32.791642484039464
2020-03-01,37.0,25.0,84.0,42.0,69.0,34.0,33.0,77.0,32.0,60.0,29.0,47.0,66.0,42.0,57.0,58.0,35.0,53.0,46.0,42.0,56.181079512478235
2020-03-02,24.0,13.0,34.0,33.0,40.0,22.0,12.0,39.0,28.0,28.0,36.0,23.0,37.0,36.0,14.0,23.0,3.0,34.0,15.0,53.0,31.74695298897272
2020-03-03,17.0,19.0,36.0,15.0,16.0,16.0,13.0,15.0,10.0,21.0,16.0,19.0,22.0,33.0,14.0,19.0,4.0,26.0,15.0,25.0,21.53221125943122
2020-03-04,21.0,18.0,29.0,38.0,15.0,27.0,25.0,35.0,33.0,42.0,47.0,19.0,48.0,30.0,9.0,24.0,32.0,26.0,27.0,21.0,32.84968078932095
2020-03-05,29.0,32.0,30.0,29.0,42.0,27.0,34.0,30.0,33.0,25.0,27.0,14.0,38.0,40.0,28.0,34.0,29.0,48.0,27.0,25.0,36.041787579802666
2020-03-06,38.0,38.0,43.0,35.0,27.0,32.0,9.0,26.0,45.0,17.0,33.0,59.0,62.0,37.0,19.0,25.0,18.0,32.0,32.0,35.0,38.42135809634358
2020-03-07,10.0,27.0,27.0,11.0,24.0,27.0,20.0,17.0,17.0,29.0,37.0,33.0,19.0,27.0,27.0,28.0,4.0,20.0,27.0,20.0,26.175275681950087
2020-03-08,27.0,10.0,39.0,37.0,17.0,21.0,32.0,49.0,32.0,14.0,29.0,21.0,47.0,36.0,30.0,37.0,27.0,33.0,42.0,23.0,34.997098084735924
2020-03-09,29.0,59.0,46.0,43.0,31.0,19.0,46.0,39.0,28.0,45.0,46.0,37.0,37.0,47.0,50.0,33.0,24.0,30.0,37.0,50.0,45.037724898432955
2020-03-10,32.0,27.0,28.0,33.0,35.0,26.0,37.0,43.0,37.0,36.0,25.0,37.0,36.0,49.0,49.0,23.0,17.0,30.0,29.0,28.0,38.131166569936155
2020-03-11,48.0,22.0,91.0,42.0,55.0,44.0,53.0,66.0,37.0,44.0,46.0,37.0,68.0,44.0,40.0,46.0,57.0,33.0,37.0,52.0,55.832849680789316
2020-03-12,70.0,65.0,62.0,54.0,49.0,32.0,55.0,51.0,67.0,62.0,64.0,53.0,61.0,75.0,35.0,63.0,43.0,37.0,47.0,43.0,63.14567614625653
2020-03-13,56.0,52.0,92.0,55.0,86.0,87.0,65.0,92.0,75.0,52.0,60.0,78.0,100.0,89.0,57.0,89.0,55.0,67.0,76.0,66.0,84.09750435287289
