,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-01-29,12.0,15.0,10.0,12.0,2.0,6.0,13.0,8.0,13.0,7.0,9.0,9.0,14.0,6.0,11.0,10.0,9.0,7.0,15.0,0.0,9.858416360776088
2020-01-30,32.0,24.0,22.0,8.0,31.0,20.0,21.0,20.0,32.0,20.0,20.0,15.0,21.0,19.0,17.0,20.0,19.0,19.0,24.0,29.0,22.705820660723653
2020-01-31,20.0,15.0,16.0,12.0,25.0,9.0,13.0,19.0,23.0,9.0,17.0,17.0,14.0,19.0,17.0,21.0,17.0,10.0,18.0,11.0,16.88515993707394
2020-02-01,24.0,12.0,13.0,26.0,30.0,14.0,17.0,20.0,32.0,13.0,18.0,28.0,13.0,10.0,33.0,22.0,25.0,15.0,29.0,35.0,22.496067121132672
2020-02-02,13.0,14.0,24.0,8.0,19.0,5.0,18.0,13.0,19.0,7.0,14.0,12.0,12.0,12.0,20.0,11.0,12.0,6.0,17.0,26.0,14.787624541164133
2020-02-03,16.0,29.0,16.0,23.0,12.0,25.0,21.0,20.0,22.0,22.0,13.0,13.0,25.0,20.0,15.0,20.0,23.0,17.0,25.0,30.0,21.34242265338228
2020-02-04,10.0,12.0,12.0,23.0,11.0,15.0,15.0,10.0,9.0,11.0,5.0,14.0,20.0,17.0,8.0,18.0,18.0,10.0,15.0,6.0,13.581541688515994
2020-02-05,30.0,26.0,24.0,24.0,32.0,22.0,34.0,26.0,34.0,16.0,28.0,28.0,26.0,26.0,19.0,22.0,24.0,27.0,20.0,42.0,27.79234399580493
2020-02-06,12.0,13.0,16.0,14.0,16.0,20.0,22.0,17.0,16.0,14.0,17.0,9.0,17.0,16.0,22.0,12.0,6.0,18.0,18.0,14.0,16.203460933403253
2020-02-07,17.0,29.0,19.0,21.0,21.0,21.0,27.0,17.0,17.0,14.0,23.0,21.0,15.0,28.0,18.0,23.0,17.0,22.0,25.0,16.0,21.552176192973256
2020-02-08,16.0,14.0,9.0,11.0,15.0,17.0,20.0,14.0,18.0,15.0,21.0,17.0,21.0,21.0,21.0,14.0,15.0,12.0,25.0,22.0,17.72417409543786
2020-02-09,14.0,11.0,6.0,12.0,13.0,15.0,6.0,12.0,14.0,14.0,9.0,11.0,12.0,10.0,13.0,14.0,17.0,9.0,20.0,11.0,12.742527530152072
2020-02-10,21.0,18.0,19.0,24.0,17.0,18.0,12.0,13.0,17.0,21.0,16.0,22.0,24.0,18.0,16.0,17.0,14.0,18.0,8.0,19.0,18.458311484006295
2020-02-11,17.0,12.0,13.0,15.0,15.0,17.0,12.0,14.0,17.0,20.0,12.0,12.0,11.0,13.0,18.0,18.0,7.0,12.0,17.0,17.0,15.154693235448349
2020-02-12,25.0,32.0,31.0,21.0,28.0,25.0,8.0,18.0,26.0,28.0,21.0,25.0,29.0,15.0,24.0,20.0,9.0,20.0,30.0,19.0,23.807026743576298
2020-02-13,8.0,8.0,12.0,13.0,15.0,15.0,10.0,16.0,20.0,18.0,14.0,9.0,16.0,11.0,6.0,4.0,20.0,10.0,15.0,13.0,13.266911379129523
2020-02-14,16.0,13.0,8.0,16.0,16.0,18.0,15.0,8.0,21.0,21.0,6.0,21.0,14.0,19.0,9.0,21.0,9.0,7.0,18.0,9.0,14.944939695857368
2020-02-15,18.0,24.0,16.0,20.0,20.0,25.0,19.0,9.0,15.0,26.0,10.0,12.0,24.0,15.0,14.0,14.0,19.0,10.0,15.0,25.0,18.353434714210803
2020-02-16,6.0,15.0,10.0,4.0,7.0,2.0,4.0,8.0,9.0,12.0,6.0,6.0,7.0,8.0,11.0,14.0,11.0,9.0,13.0,9.0,8.966963817514422
2020-02-17,15.0,16.0,19.0,21.0,19.0,15.0,28.0,17.0,15.0,9.0,19.0,16.0,15.0,25.0,24.0,15.0,16.0,13.0,25.0,21.0,19.03513371788149
2020-02-18,34.0,33.0,21.0,26.0,24.0,25.0,28.0,15.0,26.0,28.0,21.0,33.0,35.0,25.0,16.0,26.0,38.0,26.0,27.0,32.0,28.264289459884637
2020-02-19,12.0,12.0,19.0,17.0,15.0,17.0,25.0,20.0,22.0,20.0,23.0,11.0,11.0,13.0,20.0,17.0,16.0,8.0,17.0,28.0,17.986366019926585
2020-02-20,18.0,23.0,17.0,19.0,22.0,26.0,17.0,23.0,20.0,24.0,16.0,29.0,14.0,22.0,17.0,24.0,27.0,12.0,23.0,24.0,21.86680650235973
2020-02-21,12.0,20.0,21.0,20.0,7.0,9.0,22.0,13.0,9.0,14.0,13.0,6.0,15.0,4.0,13.0,21.0,10.0,14.0,11.0,14.0,14.0534871525957
2020-02-22,15.0,24.0,18.0,22.0,20.0,17.0,14.0,20.0,10.0,13.0,12.0,16.0,13.0,15.0,17.0,9.0,8.0,8.0,17.0,10.0,15.626638699528055
2020-02-23,17.0,20.0,19.0,12.0,21.0,19.0,18.0,15.0,17.0,26.0,21.0,19.0,22.0,16.0,13.0,19.0,25.0,9.0,23.0,9.0,18.877818563188256
2020-02-24,17.0,21.0,12.0,21.0,4.0,19.0,23.0,14.0,11.0,11.0,16.0,27.0,25.0,20.0,14.0,20.0,18.0,17.0,30.0,24.0,19.087572102779234
2020-02-25,31.0,14.0,27.0,13.0,19.0,29.0,14.0,21.0,15.0,20.0,18.0,23.0,27.0,18.0,23.0,14.0,21.0,25.0,17.0,13.0,21.080230728893554
2020-02-26,25.0,24.0,17.0,21.0,11.0,19.0,18.0,17.0,24.0,26.0,19.0,2.0,11.0,18.0,24.0,12.0,14.0,20.0,21.0,25.0,19.297325642370215
2020-02-27,17.0,22.0,24.0,22.0,17.0,19.0,18.0,27.0,17.0,28.0,17.0,16.0,20.0,13.0,12.0,17.0,23.0,14.0,21.0,25.0,20.398531725222863
2020-02-28,10.0,26.0,12.0,26.0,29.0,24.0,15.0,14.0,25.0,32.0,17.0,17.0,33.0,12.0,15.0,24.0,17.0,21.0,13.0,20.0,21.080230728893554
2020-02-29,18.0,21.0,22.0,11.0,29.0,24.0,24.0,29.0,35.0,22.0,10.0,22.0,13.0,10.0,23.0,13.0,10.0,9.0,31.0,19.0,20.713162034609336
2020-03-01,17.0,20.0,15.0,14.0,19.0,23.0,16.0,21.0,21.0,24.0,8.0,8.0,7.0,14.0,22.0,6.0,15.0,9.0,16.0,21.0,16.570529627687467
2020-03-02,15.0,18.0,15.0,13.0,16.0,20.0,24.0,13.0,13.0,10.0,12.0,12.0,15.0,17.0,10.0,13.0,13.0,14.0,14.0,14.0,15.25957000524384
2020-03-03,19.0,22.0,15.0,15.0,17.0,15.0,27.0,25.0,28.0,32.0,21.0,17.0,33.0,23.0,24.0,17.0,16.0,21.0,15.0,27.0,22.496067121132672
2020-03-04,15.0,16.0,13.0,18.0,15.0,25.0,16.0,13.0,11.0,17.0,14.0,14.0,15.0,5.0,8.0,15.0,16.0,8.0,14.0,10.0,14.577871001573152
2020-03-05,26.0,18.0,25.0,19.0,24.0,12.0,20.0,12.0,21.0,21.0,16.0,16.0,15.0,11.0,18.0,23.0,16.0,20.0,17.0,21.0,19.45464079706345
2020-03-06,23.0,6.0,16.0,19.0,26.0,17.0,21.0,16.0,11.0,18.0,11.0,13.0,11.0,9.0,19.0,18.0,13.0,13.0,28.0,11.0,16.727844782380703
2020-03-07,11.0,19.0,22.0,19.0,27.0,24.0,26.0,18.0,22.0,25.0,24.0,24.0,15.0,17.0,21.0,20.0,20.0,15.0,22.0,22.0,21.65705296276875
2020-03-08,19.0,22.0,27.0,23.0,21.0,9.0,20.0,15.0,21.0,19.0,15.0,29.0,17.0,16.0,20.0,19.0,15.0,14.0,20.0,16.0,19.769271106449924
2020-03-09,15.0,26.0,7.0,11.0,17.0,24.0,14.0,18.0,13.0,21.0,18.0,17.0,15.0,10.0,14.0,17.0,19.0,19.0,12.0,20.0,17.14735186156267
2020-03-10,20.0,8.0,16.0,13.0,19.0,18.0,8.0,20.0,16.0,12.0,8.0,12.0,15.0,17.0,11.0,15.0,8.0,9.0,14.0,16.0,14.420555846879918
2020-03-11,11.0,15.0,15.0,9.0,20.0,12.0,15.0,24.0,16.0,12.0,18.0,17.0,11.0,14.0,13.0,15.0,12.0,15.0,16.0,18.0,15.626638699528055
2020-03-12,18.0,26.0,20.0,19.0,28.0,23.0,17.0,20.0,28.0,20.0,23.0,15.0,19.0,15.0,15.0,19.0,16.0,12.0,12.0,17.0,20.03146303093865
2020-03-13,27.0,19.0,17.0,19.0,20.0,30.0,25.0,20.0,20.0,36.0,16.0,9.0,16.0,13.0,17.0,14.0,9.0,12.0,22.0,22.0,20.08390141583639
2020-03-14,63.0,76.0,78.0,68.0,54.0,74.0,80.0,74.0,76.0,91.0,66.0,53.0,99.0,64.0,93.0,68.0,56.0,65.0,76.0,81.0,76.2978500262192
2020-03-15,73.0,69.0,60.0,53.0,72.0,75.0,76.0,64.0,78.0,71.0,51.0,67.0,100.0,53.0,75.0,67.0,50.0,56.0,59.0,90.0,71.26376507603567
2020-03-16,76.0,100.0,97.0,100.0,100.0,87.0,100.0,100.0,98.0,98.0,85.0,97.0,87.0,100.0,93.0,100.0,100.0,60.0,96.0,84.0,97.43051914001049
2020-03-17,100.0,89.0,100.0,90.0,100.0,100.0,92.0,89.0,100.0,100.0,100.0,100.0,90.0,86.0,100.0,93.0,78.0,100.0,100.0,100.0,100.0
2020-03-18,49.0,63.0,47.0,60.0,62.0,54.0,62.0,46.0,73.0,52.0,40.0,51.0,60.0,44.0,59.0,52.0,46.0,35.0,56.0,77.0,57.052962768746724
2020-03-19,32.0,28.0,50.0,40.0,48.0,53.0,42.0,41.0,57.0,44.0,32.0,39.0,54.0,34.0,47.0,49.0,31.0,28.0,37.0,41.0,43.36654431043524
2020-03-20,43.0,27.0,40.0,37.0,48.0,51.0,41.0,39.0,46.0,50.0,34.0,40.0,54.0,34.0,46.0,38.0,33.0,32.0,41.0,51.0,43.26166754063975
2020-03-21,29.0,20.0,31.0,25.0,42.0,32.0,32.0,23.0,55.0,38.0,21.0,27.0,37.0,22.0,25.0,29.0,31.0,27.0,25.0,33.0,31.67278447823807
2020-03-22,33.0,45.0,42.0,38.0,28.0,25.0,41.0,45.0,38.0,38.0,42.0,33.0,29.0,30.0,43.0,32.0,25.0,41.0,44.0,44.0,38.59465128474043
2020-03-23,29.0,27.0,21.0,19.0,25.0,30.0,20.0,24.0,23.0,33.0,24.0,30.0,28.0,20.0,24.0,24.0,27.0,19.0,30.0,34.0,26.796014682747774
2020-03-24,15.0,20.0,17.0,26.0,25.0,38.0,30.0,26.0,25.0,23.0,15.0,20.0,26.0,32.0,20.0,17.0,26.0,19.0,26.0,29.0,24.908232826428947
2020-03-25,26.0,30.0,19.0,26.0,23.0,27.0,36.0,30.0,19.0,24.0,17.0,17.0,28.0,21.0,24.0,32.0,23.0,11.0,27.0,27.0,25.53749344520189
2020-03-26,24.0,32.0,15.0,20.0,21.0,28.0,22.0,23.0,21.0,14.0,19.0,17.0,26.0,14.0,29.0,31.0,22.0,13.0,26.0,23.0,23.072889355007867
2020-03-27,29.0,28.0,23.0,22.0,27.0,34.0,24.0,19.0,33.0,25.0,27.0,19.0,36.0,20.0,17.0,21.0,29.0,19.0,36.0,30.0,27.163083377031988
2020-03-28,28.0,26.0,12.0,22.0,23.0,18.0,27.0,27.0,21.0,23.0,19.0,21.0,38.0,16.0,26.0,21.0,26.0,16.0,22.0,31.0,24.278972207656004
2020-03-29,17.0,21.0,23.0,19.0,28.0,21.0,25.0,19.0,27.0,22.0,25.0,14.0,22.0,17.0,17.0,10.0,25.0,15.0,26.0,22.0,21.761929732564237
2020-03-30,25.0,25.0,20.0,20.0,35.0,13.0,20.0,19.0,21.0,16.0,19.0,16.0,18.0,13.0,22.0,29.0,19.0,19.0,21.0,23.0,21.65705296276875
2020-03-31,19.0,21.0,12.0,22.0,8.0,25.0,23.0,12.0,16.0,18.0,8.0,16.0,22.0,17.0,13.0,23.0,13.0,12.0,8.0,15.0,16.93759832197168
2020-04-01,13.0,25.0,28.0,33.0,32.0,23.0,41.0,22.0,40.0,20.0,34.0,13.0,25.0,32.0,27.0,20.0,15.0,26.0,25.0,12.0,26.533822758259046
2020-04-02,14.0,20.0,22.0,22.0,31.0,15.0,15.0,21.0,23.0,23.0,14.0,19.0,18.0,18.0,20.0,17.0,16.0,15.0,29.0,11.0,20.08390141583639
2020-04-03,21.0,21.0,12.0,16.0,22.0,18.0,15.0,14.0,26.0,30.0,28.0,23.0,25.0,25.0,38.0,21.0,10.0,26.0,23.0,25.0,23.020450970110122
2020-04-04,17.0,23.0,17.0,30.0,19.0,30.0,25.0,19.0,31.0,26.0,26.0,26.0,22.0,20.0,20.0,20.0,16.0,18.0,26.0,26.0,23.964341898269534
2020-04-05,29.0,36.0,31.0,33.0,33.0,27.0,29.0,27.0,30.0,25.0,25.0,17.0,26.0,19.0,43.0,34.0,23.0,15.0,32.0,22.0,29.155742003146305
2020-04-06,28.0,34.0,14.0,30.0,32.0,23.0,19.0,27.0,18.0,30.0,16.0,20.0,31.0,18.0,28.0,21.0,20.0,24.0,22.0,18.0,24.803356056633458
2020-04-07,15.0,14.0,11.0,9.0,23.0,14.0,16.0,9.0,17.0,8.0,12.0,14.0,11.0,18.0,12.0,11.0,9.0,10.0,16.0,10.0,13.581541688515994
2020-04-08,19.0,20.0,17.0,11.0,30.0,18.0,22.0,21.0,19.0,23.0,17.0,14.0,24.0,19.0,22.0,9.0,10.0,19.0,25.0,23.0,20.03146303093865
2020-04-09,15.0,20.0,17.0,21.0,19.0,16.0,26.0,26.0,13.0,19.0,16.0,10.0,15.0,16.0,22.0,9.0,12.0,11.0,25.0,21.0,18.300996329313058
2020-04-10,12.0,24.0,16.0,25.0,26.0,12.0,19.0,20.0,22.0,13.0,20.0,5.0,14.0,11.0,16.0,17.0,9.0,12.0,23.0,11.0,17.14735186156267
2020-04-11,17.0,11.0,23.0,21.0,19.0,9.0,16.0,15.0,12.0,15.0,16.0,18.0,20.0,8.0,20.0,11.0,10.0,16.0,12.0,24.0,16.413214472994234
2020-04-12,12.0,7.0,8.0,16.0,14.0,11.0,11.0,8.0,16.0,5.0,10.0,13.0,19.0,8.0,2.0,2.0,12.0,9.0,11.0,2.0,10.277923439958052
2020-04-13,7.0,14.0,13.0,15.0,4.0,18.0,20.0,2.0,8.0,15.0,14.0,14.0,15.0,9.0,12.0,11.0,7.0,11.0,12.0,18.0,12.532773990561092
2020-04-14,14.0,15.0,12.0,12.0,10.0,15.0,11.0,11.0,8.0,12.0,15.0,10.0,16.0,13.0,13.0,16.0,15.0,15.0,6.0,10.0,13.057157839538544
2020-04-15,16.0,13.0,11.0,20.0,22.0,16.0,12.0,18.0,23.0,16.0,17.0,13.0,15.0,17.0,25.0,22.0,18.0,15.0,10.0,14.0,17.461982170949135
2020-04-16,28.0,24.0,11.0,19.0,25.0,24.0,26.0,17.0,19.0,25.0,21.0,29.0,22.0,16.0,14.0,26.0,16.0,19.0,30.0,23.0,22.758259045621397
2020-04-17,15.0,22.0,17.0,20.0,12.0,20.0,18.0,26.0,17.0,34.0,12.0,14.0,11.0,21.0,24.0,17.0,10.0,16.0,18.0,21.0,19.14001048767698
