date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1,batch_id
2020-01-01,7.0,13.0,0.0,23.0,13.0,0.0,4.0,5.0,11.0,9.0,9.593679458239276,0.0
2020-01-02,6.0,17.0,8.0,13.0,21.0,8.0,10.0,33.0,17.0,17.0,16.93002257336343,0.0
2020-01-03,6.0,7.0,12.0,9.0,10.0,8.0,10.0,12.0,4.0,10.0,9.932279909706548,0.0
2020-01-04,10.0,23.0,18.0,29.0,11.0,9.0,15.0,18.0,19.0,8.0,18.058690744920995,0.0
2020-01-05,3.0,0.0,4.0,5.0,5.0,0.0,7.0,4.0,0.0,11.0,4.401805869074493,0.0
2020-01-06,8.0,7.0,8.0,9.0,5.0,8.0,6.0,12.0,12.0,10.0,9.593679458239276,0.0
2020-01-07,3.0,10.0,8.0,13.0,10.0,15.0,3.0,4.0,12.0,3.0,9.142212189616254,0.0
2020-01-08,5.0,6.0,19.0,8.0,9.0,7.0,6.0,4.0,12.0,6.0,9.255079006772007,0.0
2020-01-09,5.0,3.0,20.0,13.0,0.0,8.0,3.0,8.0,4.0,7.0,8.013544018058692,0.0
2020-01-10,6.0,3.0,0.0,13.0,5.0,4.0,0.0,4.0,8.0,0.0,4.853273137697517,0.0
2020-01-11,6.0,15.0,9.0,5.0,6.0,4.0,7.0,9.0,0.0,4.0,7.336343115124153,0.0
2020-01-12,6.0,4.0,0.0,5.0,0.0,8.0,10.0,0.0,9.0,4.0,5.1918735891647865,0.0
2020-01-13,7.0,15.0,14.0,15.0,31.0,7.0,15.0,14.0,11.0,6.0,15.237020316027088,0.0
2020-01-14,5.0,0.0,14.0,11.0,13.0,0.0,6.0,7.0,0.0,6.0,6.9977426636568865,0.0
2020-01-15,8.0,6.0,11.0,16.0,5.0,7.0,9.0,4.0,8.0,10.0,9.480812641083523,0.0
2020-01-16,3.0,7.0,8.0,9.0,10.0,4.0,3.0,8.0,9.0,10.0,8.013544018058692,0.0
2020-01-17,3.0,7.0,8.0,9.0,0.0,16.0,0.0,8.0,9.0,3.0,7.110609480812641,0.0
2020-01-18,3.0,4.0,4.0,10.0,11.0,4.0,4.0,13.0,5.0,0.0,6.54627539503386,0.0
2020-01-19,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,7.0,2.5959367945823932,0.0
2020-01-20,3.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,12.0,3.0,3.27313769751693,0.0
2020-01-21,6.0,3.0,4.0,13.0,10.0,8.0,3.0,12.0,8.0,10.0,8.690744920993229,0.0
2020-01-22,6.0,3.0,4.0,8.0,5.0,4.0,13.0,0.0,17.0,13.0,8.239277652370204,0.0
2020-01-23,6.0,10.0,24.0,9.0,10.0,8.0,10.0,4.0,13.0,13.0,12.076749435665915,0.0
2020-01-24,6.0,0.0,0.0,4.0,5.0,4.0,3.0,0.0,9.0,0.0,3.4988713318284432,0.0
2020-01-25,3.0,8.0,9.0,10.0,22.0,4.0,4.0,18.0,14.0,11.0,11.62528216704289,0.0
2020-01-26,6.0,7.0,4.0,5.0,11.0,0.0,7.0,4.0,5.0,11.0,6.772009029345372,0.0
2020-01-27,8.0,13.0,8.0,8.0,9.0,11.0,3.0,15.0,12.0,0.0,9.81941309255079,0.0
2020-01-28,11.0,7.0,4.0,0.0,10.0,19.0,0.0,8.0,12.0,13.0,9.480812641083523,0.0
2020-01-29,8.0,3.0,8.0,0.0,10.0,8.0,3.0,19.0,4.0,10.0,8.239277652370204,0.0
2020-01-30,3.0,3.0,16.0,17.0,15.0,16.0,13.0,4.0,8.0,0.0,10.72234762979684,0.0
2020-01-31,3.0,14.0,8.0,9.0,10.0,4.0,7.0,8.0,13.0,3.0,8.91647855530474,0.0
2020-02-01,3.0,4.0,4.0,0.0,6.0,0.0,4.0,13.0,5.0,7.0,5.1918735891647865,0.0
2020-02-02,9.0,4.0,9.0,0.0,21.0,12.0,11.0,8.0,4.0,0.0,8.803611738148986,0.0
2020-02-03,10.0,3.0,7.0,8.0,4.0,7.0,0.0,7.0,4.0,6.0,6.320541760722348,0.0
2020-02-04,8.0,7.0,12.0,9.0,25.0,19.0,16.0,8.0,21.0,7.0,14.89841986455982,0.0
2020-02-05,11.0,10.0,8.0,9.0,5.0,16.0,13.0,12.0,8.0,7.0,11.173814898419865,0.0
2020-02-06,12.0,3.0,8.0,13.0,26.0,12.0,14.0,8.0,4.0,3.0,11.62528216704289,0.0
2020-02-07,3.0,11.0,17.0,9.0,11.0,8.0,3.0,8.0,4.0,11.0,9.593679458239276,0.0
2020-02-08,16.0,15.0,18.0,10.0,39.0,13.0,22.0,14.0,33.0,23.0,22.91196388261851,0.0
2020-02-09,3.0,14.0,12.0,13.0,10.0,12.0,3.0,16.0,9.0,7.0,11.173814898419865,0.0
2020-02-10,3.0,6.0,4.0,4.0,5.0,7.0,6.0,7.0,8.0,9.0,6.659142212189617,0.0
2020-02-11,5.0,7.0,12.0,13.0,5.0,8.0,10.0,4.0,8.0,10.0,9.255079006772007,0.0
2020-02-12,5.0,0.0,0.0,8.0,10.0,8.0,6.0,0.0,12.0,13.0,6.9977426636568865,0.0
2020-02-13,8.0,7.0,15.0,17.0,10.0,11.0,13.0,4.0,16.0,16.0,13.205417607223476,0.0
2020-02-14,3.0,4.0,4.0,4.0,10.0,4.0,10.0,17.0,9.0,7.0,8.126410835214447,0.0
2020-02-15,3.0,4.0,0.0,10.0,11.0,0.0,4.0,0.0,0.0,4.0,4.063205417607223,0.0
2020-02-16,6.0,10.0,4.0,9.0,16.0,0.0,7.0,0.0,17.0,10.0,8.91647855530474,0.0
2020-02-17,8.0,6.0,15.0,8.0,10.0,0.0,9.0,8.0,4.0,3.0,8.013544018058692,0.0
2020-02-18,3.0,6.0,4.0,4.0,5.0,7.0,3.0,4.0,0.0,3.0,4.401805869074493,0.0
2020-02-19,16.0,7.0,8.0,17.0,10.0,15.0,3.0,23.0,16.0,13.0,14.446952595936795,0.0
2020-02-20,3.0,3.0,0.0,4.0,5.0,0.0,0.0,4.0,4.0,0.0,2.5959367945823932,0.0
2020-02-21,3.0,7.0,12.0,0.0,0.0,8.0,7.0,12.0,4.0,7.0,6.772009029345372,0.0
2020-02-22,9.0,11.0,18.0,15.0,11.0,13.0,0.0,13.0,5.0,8.0,11.62528216704289,0.0
2020-02-23,3.0,11.0,4.0,9.0,5.0,4.0,7.0,13.0,4.0,0.0,6.772009029345372,0.0
2020-02-24,0.0,6.0,12.0,13.0,0.0,7.0,0.0,8.0,8.0,10.0,7.223476297968397,0.0
2020-02-25,11.0,7.0,0.0,17.0,5.0,11.0,6.0,4.0,8.0,6.0,8.465011286681715,0.0
2020-02-26,13.0,6.0,8.0,17.0,24.0,15.0,6.0,8.0,4.0,0.0,11.399548532731378,0.0
2020-02-27,5.0,9.0,0.0,4.0,14.0,4.0,12.0,4.0,8.0,9.0,7.787810383747178,0.0
2020-02-28,11.0,3.0,8.0,4.0,5.0,20.0,7.0,8.0,17.0,10.0,10.49661399548533,0.0
2020-02-29,6.0,7.0,4.0,9.0,11.0,9.0,0.0,9.0,5.0,4.0,7.223476297968397,0.0
2020-03-01,15.0,14.0,12.0,18.0,16.0,12.0,10.0,4.0,22.0,3.0,14.221218961625285,0.0
2020-03-02,20.0,22.0,22.0,28.0,37.0,25.0,18.0,37.0,27.0,15.0,28.329571106094807,0.0
2020-03-03,24.0,19.0,38.0,49.0,43.0,26.0,31.0,34.0,32.0,25.0,36.230248306997744,0.0
2020-03-04,5.0,13.0,8.0,12.0,14.0,15.0,3.0,15.0,4.0,16.0,11.851015801354404,0.0
2020-03-05,13.0,32.0,27.0,45.0,34.0,48.0,22.0,34.0,24.0,26.0,34.42437923250564,0.0
2020-03-06,16.0,23.0,39.0,34.0,44.0,15.0,19.0,35.0,37.0,13.0,31.038374717832962,0.0
2020-03-07,9.0,11.0,18.0,34.0,34.0,4.0,26.0,18.0,33.0,19.0,23.25056433408578,0.0
2020-03-08,12.0,14.0,29.0,22.0,16.0,12.0,14.0,16.0,13.0,14.0,18.284424379232508,0.0
2020-03-09,10.0,31.0,37.0,32.0,23.0,28.0,15.0,40.0,27.0,22.0,29.909706546275395,0.0
2020-03-10,21.0,15.0,29.0,32.0,41.0,21.0,12.0,58.0,46.0,21.0,33.40857787810384,0.0
2020-03-11,33.0,25.0,40.0,39.0,50.0,28.0,30.0,22.0,34.0,33.0,37.697516930022566,0.0
2020-03-12,45.0,48.0,43.0,66.0,98.0,55.0,41.0,57.0,26.0,36.0,58.12641083521445,0.0
2020-03-13,48.0,61.0,59.0,96.0,71.0,65.0,56.0,75.0,59.0,43.0,71.44469525959369,0.0
2020-03-14,46.0,33.0,35.0,61.0,60.0,42.0,40.0,43.0,64.0,62.0,54.85327313769753,0.0
2020-03-15,39.0,36.0,47.0,47.0,70.0,50.0,35.0,34.0,36.0,47.0,49.7742663656885,0.0
2020-03-16,100.0,70.0,100.0,82.0,100.0,87.0,78.0,100.0,69.0,100.0,100.0,0.0
2020-03-17,56.0,61.0,84.0,100.0,97.0,39.0,100.0,62.0,100.0,52.0,84.7629796839729,0.0
2020-03-18,68.0,100.0,99.0,88.0,96.0,100.0,63.0,68.0,81.0,54.0,92.21218961625284,0.0
2020-03-19,43.0,54.0,56.0,58.0,81.0,62.0,34.0,48.0,64.0,45.0,61.51241534988714,0.0
2020-03-20,43.0,54.0,57.0,70.0,67.0,56.0,79.0,60.0,71.0,63.0,69.97742663656885,0.0
2020-03-21,42.0,32.0,29.0,46.0,47.0,41.0,35.0,42.0,40.0,25.0,42.776523702031604,0.0
2020-03-22,27.0,29.0,46.0,37.0,37.0,45.0,38.0,42.0,54.0,32.0,43.67945823927766,0.0
2020-03-23,29.0,32.0,51.0,52.0,30.0,43.0,51.0,37.0,29.0,40.0,44.46952595936795,0.0
2020-03-24,34.0,41.0,33.0,53.0,47.0,36.0,47.0,48.0,59.0,25.0,47.74266365688488,0.0
2020-03-25,27.0,38.0,42.0,37.0,53.0,49.0,10.0,41.0,48.0,41.0,43.566591422121896,0.0
2020-03-26,39.0,41.0,33.0,81.0,65.0,29.0,40.0,41.0,70.0,34.0,53.38600451467269,0.0
2020-03-27,22.0,21.0,21.0,45.0,48.0,23.0,37.0,17.0,40.0,32.0,34.5372460496614,0.0
2020-03-28,26.0,42.0,21.0,63.0,52.0,32.0,31.0,41.0,39.0,34.0,43.00225733634311,0.0
2020-03-29,8.0,10.0,16.0,26.0,44.0,15.0,26.0,27.0,29.0,23.0,25.28216704288939,0.0
2020-03-30,27.0,21.0,24.0,41.0,48.0,27.0,23.0,34.0,33.0,32.0,34.988713318284425,0.0
2020-03-31,37.0,41.0,56.0,38.0,57.0,54.0,32.0,42.0,55.0,41.0,51.12866817155757,0.0
2020-04-01,20.0,36.0,35.0,27.0,32.0,24.0,29.0,11.0,38.0,15.0,30.13544018058691,0.0
2020-04-02,17.0,26.0,24.0,30.0,44.0,17.0,20.0,28.0,18.0,29.0,28.55530474040632,0.0
2020-04-03,10.0,21.0,18.0,23.0,22.0,38.0,12.0,14.0,22.0,9.0,21.331828442437924,0.0
2020-04-04,21.0,33.0,26.0,24.0,32.0,17.0,25.0,17.0,23.0,18.0,26.63656884875847,0.0
2020-04-05,9.0,26.0,18.0,15.0,6.0,17.0,0.0,22.0,14.0,4.0,14.785553047404065,0.0
2020-04-06,30.0,24.0,32.0,23.0,31.0,38.0,15.0,25.0,37.0,24.0,31.489841986455986,0.0
2020-04-07,10.0,16.0,15.0,12.0,23.0,25.0,25.0,7.0,19.0,25.0,19.97742663656885,0.0
2020-04-08,11.0,16.0,22.0,25.0,38.0,11.0,22.0,26.0,43.0,19.0,26.297968397291196,0.0
2020-04-09,3.0,3.0,19.0,12.0,14.0,18.0,3.0,15.0,4.0,10.0,11.399548532731378,0.0
2020-04-10,11.0,26.0,23.0,34.0,53.0,19.0,26.0,19.0,16.0,29.0,28.893905191873593,0.0
2020-04-11,6.0,29.0,22.0,23.0,38.0,21.0,21.0,17.0,23.0,29.0,25.84650112866817,0.0
2020-04-12,9.0,14.0,25.0,36.0,26.0,32.0,20.0,41.0,39.0,21.0,29.683972911963888,0.0
2020-04-13,11.0,22.0,30.0,29.0,9.0,22.0,12.0,18.0,28.0,16.0,22.23476297968397,0.0
2020-04-14,17.0,15.0,14.0,30.0,43.0,17.0,20.0,46.0,33.0,15.0,28.216704288939052,0.0
2020-04-15,23.0,31.0,11.0,28.0,41.0,28.0,24.0,36.0,23.0,21.0,30.022573363431157,0.0
2020-04-16,16.0,13.0,15.0,29.0,19.0,22.0,18.0,26.0,20.0,19.0,22.23476297968397,0.0
2020-04-17,16.0,9.0,7.0,24.0,33.0,29.0,15.0,26.0,31.0,19.0,23.58916478555305,0.0
2020-04-18,13.0,19.0,11.0,16.0,14.0,11.0,19.0,11.0,32.0,19.0,18.623024830699773,0.0
2020-04-19,5.0,10.0,4.0,13.0,0.0,19.0,6.0,8.0,20.0,10.0,10.72234762979684,0.0
2020-04-20,19.0,26.0,17.0,30.0,17.0,20.0,8.0,24.0,14.0,20.0,22.00902934537246,0.0
2020-04-21,15.0,27.0,39.0,34.0,22.0,34.0,23.0,45.0,33.0,26.0,33.63431151241535,0.0
2020-04-22,15.0,24.0,36.0,28.0,27.0,17.0,21.0,32.0,26.0,15.0,27.200902934537247,0.0
2020-04-23,10.0,15.0,18.0,12.0,18.0,14.0,9.0,17.0,15.0,6.0,15.124153498871332,0.0
2020-04-24,17.0,12.0,18.0,19.0,35.0,21.0,9.0,14.0,15.0,21.0,20.42889390519188,0.0
2020-04-25,9.0,10.0,20.0,13.0,21.0,12.0,10.0,20.0,9.0,7.0,14.785553047404065,0.0
2020-04-26,21.0,21.0,21.0,14.0,16.0,20.0,14.0,25.0,26.0,10.0,21.21896162528217,0.0
2020-04-27,17.0,18.0,39.0,35.0,40.0,10.0,26.0,21.0,26.0,18.0,28.216704288939052,0.0
2020-04-28,16.0,8.0,23.0,18.0,25.0,19.0,11.0,16.0,14.0,8.0,17.83295711060948,0.0
2020-04-29,9.0,28.0,44.0,26.0,30.0,20.0,20.0,23.0,36.0,25.0,29.458239277652375,0.0
2020-04-30,18.0,8.0,19.0,10.0,32.0,12.0,19.0,19.0,17.0,16.0,19.187358916478555,0.0
2020-05-01,5.0,9.0,7.0,12.0,9.0,3.0,9.0,11.0,11.0,6.0,9.255079006772007,0.0
2020-05-02,16.0,9.0,37.0,24.0,43.0,25.0,21.0,26.0,20.0,6.0,25.62076749435666,0.0
2020-05-03,22.0,17.0,15.0,30.0,25.0,19.0,16.0,12.0,17.0,23.0,22.12189616252822,0.0
2020-05-04,16.0,8.0,23.0,28.0,29.0,16.0,19.0,16.0,31.0,22.0,23.476297968397287,0.0
2020-05-05,7.0,25.0,19.0,25.0,16.0,41.0,19.0,6.0,14.0,19.0,21.557562076749438,0.0
2020-05-06,12.0,33.0,18.0,15.0,26.0,21.0,15.0,25.0,18.0,15.0,22.34762979683973,0.0
2020-05-07,10.0,12.0,18.0,16.0,14.0,0.0,6.0,11.0,30.0,18.0,15.237020316027088,0.0
2020-05-08,16.0,25.0,30.0,12.0,19.0,35.0,21.0,33.0,27.0,19.0,26.749435665914227,0.0
2020-05-09,6.0,14.0,21.0,23.0,21.0,16.0,14.0,9.0,9.0,18.0,17.04288939051919,0.0
2020-05-10,19.0,19.0,15.0,8.0,39.0,30.0,9.0,19.0,20.0,16.0,21.896162528216706,0.0
2020-05-11,16.0,16.0,20.0,29.0,21.0,29.0,24.0,29.0,24.0,19.0,25.62076749435666,0.0
2020-05-12,22.0,14.0,17.0,22.0,26.0,23.0,11.0,20.0,14.0,6.0,19.751693002257337,0.0
2020-05-13,5.0,18.0,10.0,15.0,17.0,20.0,20.0,10.0,14.0,17.0,16.478555304740407,0.0
2020-05-14,7.0,21.0,21.0,8.0,13.0,31.0,12.0,14.0,7.0,15.0,16.817155756207676,0.0
2020-05-15,10.0,25.0,18.0,12.0,28.0,7.0,24.0,22.0,31.0,15.0,21.670428893905196,0.0
2020-05-16,21.0,21.0,17.0,22.0,36.0,20.0,14.0,8.0,22.0,17.0,22.34762979683973,0.0
2020-05-17,6.0,11.0,4.0,0.0,11.0,8.0,0.0,0.0,9.0,7.0,6.320541760722348,0.0
2020-05-18,15.0,21.0,25.0,34.0,44.0,27.0,15.0,10.0,26.0,23.0,27.08803611738149,0.0
2020-05-19,8.0,15.0,11.0,31.0,40.0,14.0,9.0,21.0,23.0,15.0,21.10609480812641,0.0
2020-05-20,21.0,12.0,15.0,16.0,18.0,29.0,12.0,18.0,27.0,9.0,19.97742663656885,0.0
2020-05-21,23.0,18.0,33.0,40.0,26.0,36.0,17.0,37.0,48.0,21.0,33.747178329571106,0.0
2020-05-22,18.0,18.0,18.0,23.0,45.0,28.0,21.0,29.0,26.0,6.0,26.18510158013544,0.0
2020-05-23,8.0,10.0,8.0,9.0,15.0,8.0,10.0,8.0,20.0,3.0,11.173814898419865,0.0
2020-05-24,5.0,6.0,15.0,13.0,14.0,22.0,19.0,11.0,8.0,10.0,13.882618510158016,0.0
2020-05-25,7.0,0.0,17.0,11.0,17.0,20.0,9.0,17.0,18.0,12.0,14.446952595936795,0.0
2020-05-26,3.0,9.0,14.0,8.0,18.0,21.0,12.0,11.0,19.0,15.0,14.672686230248306,0.0
2020-05-27,20.0,12.0,18.0,27.0,22.0,17.0,9.0,14.0,22.0,12.0,19.525959367945823,0.0
2020-05-28,15.0,12.0,25.0,23.0,36.0,20.0,15.0,14.0,18.0,12.0,21.44469525959368,0.0
2020-05-29,8.0,25.0,22.0,20.0,18.0,14.0,18.0,22.0,15.0,25.0,21.10609480812641,0.0
2020-05-30,3.0,4.0,0.0,5.0,5.0,8.0,3.0,0.0,0.0,0.0,3.160270880361174,0.0
2020-05-31,9.0,14.0,13.0,14.0,11.0,4.0,3.0,17.0,13.0,14.0,12.641083521444695,0.0
2020-06-01,6.0,13.0,16.0,25.0,30.0,8.0,23.0,19.0,16.0,13.0,19.0744920993228,0.0
2020-06-02,7.0,9.0,14.0,11.0,4.0,10.0,3.0,10.0,11.0,9.0,9.932279909706548,0.0
2020-06-03,7.0,8.0,16.0,17.0,16.0,9.0,13.0,10.0,10.0,13.0,13.431151241534991,0.0
2020-06-04,6.0,8.0,6.0,7.0,15.0,6.0,8.0,9.0,6.0,3.0,8.35214446952596,0.0
2020-06-05,9.0,8.0,13.0,14.0,20.0,9.0,5.0,6.0,10.0,11.0,11.851015801354404,0.0
2020-06-06,8.0,12.0,4.0,16.0,9.0,4.0,12.0,4.0,12.0,6.0,9.81941309255079,0.0
2020-06-07,3.0,13.0,15.0,20.0,19.0,7.0,9.0,15.0,4.0,6.0,12.52821670428894,0.0
2020-06-08,15.0,10.0,9.0,7.0,19.0,12.0,5.0,12.0,6.0,8.0,11.62528216704289,0.0
2020-06-09,20.0,16.0,19.0,24.0,32.0,34.0,16.0,29.0,20.0,21.0,26.072234762979694,0.0
2020-06-10,9.0,6.0,7.0,18.0,21.0,13.0,8.0,7.0,11.0,11.0,12.52821670428894,0.0
2020-06-11,0.0,3.0,7.0,8.0,13.0,3.0,8.0,3.0,7.0,9.0,6.884875846501129,0.0
2020-06-12,10.0,18.0,21.0,8.0,22.0,21.0,20.0,14.0,19.0,15.0,18.961625282167045,0.0
2020-06-13,12.0,10.0,4.0,5.0,16.0,4.0,20.0,25.0,9.0,0.0,11.851015801354404,0.0
