date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21_10,/m/01b_21_11,/m/01b_21_12,/m/01b_21_13,/m/01b_21_14,/m/01b_21_15,/m/01b_21_16,/m/01b_21_17,/m/01b_21_18,/m/01b_21_19,/m/01b_21
2020-10-05,58.0,56.0,49.0,68.0,90.0,66.0,63.0,33.0,36.0,45.0,53.0,92.0,65.0,64.0,64.0,81.0,63.0,61.0,68.0,32.0,68.97142857142858
2020-10-06,59.0,29.0,44.0,20.0,53.0,23.0,58.0,22.0,32.0,46.0,16.0,41.0,40.0,30.0,18.0,42.0,35.0,47.0,32.0,38.0,41.42857142857143
2020-10-07,60.0,52.0,44.0,30.0,40.0,34.0,45.0,45.0,42.0,46.0,38.0,24.0,35.0,42.0,47.0,48.0,40.0,21.0,45.0,43.0,46.914285714285704
2020-10-08,36.0,29.0,25.0,35.0,46.0,51.0,45.0,45.0,42.0,31.0,65.0,18.0,45.0,48.0,42.0,30.0,35.0,26.0,44.0,55.0,45.31428571428572
2020-10-09,92.0,64.0,56.0,55.0,44.0,75.0,64.0,75.0,82.0,28.0,79.0,72.0,84.0,100.0,40.0,47.0,38.0,52.0,63.0,48.0,71.88571428571429
2020-10-10,94.0,83.0,100.0,30.0,80.0,55.0,54.0,55.0,32.0,62.0,53.0,80.0,68.0,66.0,58.0,43.0,54.0,51.0,69.0,46.0,70.45714285714286
2020-10-11,69.0,47.0,65.0,40.0,76.0,45.0,88.0,46.0,62.0,42.0,57.0,41.0,58.0,49.0,68.0,68.0,28.0,60.0,37.0,70.0,63.771428571428565
2020-10-12,50.0,55.0,54.0,21.0,63.0,84.0,67.0,84.0,66.0,43.0,51.0,74.0,43.0,51.0,88.0,31.0,42.0,38.0,67.0,40.0,63.542857142857144
2020-10-13,37.0,74.0,53.0,37.0,56.0,36.0,81.0,65.0,61.0,48.0,40.0,75.0,53.0,69.0,68.0,38.0,42.0,49.0,80.0,52.0,63.65714285714286
2020-10-14,74.0,60.0,53.0,31.0,35.0,42.0,54.0,59.0,66.0,48.0,51.0,37.0,48.0,44.0,68.0,37.0,57.0,38.0,33.0,46.0,56.05714285714286
2020-10-15,84.0,100.0,68.0,54.0,71.0,81.0,97.0,79.0,75.0,100.0,77.0,58.0,44.0,52.0,96.0,71.0,59.0,57.0,76.0,100.0,85.65714285714286
2020-10-16,45.0,56.0,55.0,33.0,57.0,49.0,63.0,49.0,40.0,22.0,47.0,70.0,50.0,52.0,52.0,32.0,70.0,46.0,82.0,60.0,58.85714285714285
2020-10-17,65.0,77.0,68.0,66.0,95.0,69.0,69.0,48.0,58.0,74.0,59.0,43.0,61.0,73.0,72.0,93.0,72.0,90.0,100.0,53.0,80.28571428571429
2020-10-18,100.0,69.0,38.0,53.0,95.0,89.0,100.0,81.0,70.0,68.0,78.0,94.0,80.0,72.0,92.0,78.0,53.0,88.0,98.0,72.0,89.60000000000002
2020-10-19,57.0,50.0,94.0,37.0,63.0,37.0,69.0,73.0,69.0,77.0,81.0,51.0,87.0,32.0,58.0,64.0,48.0,62.0,54.0,17.0,67.42857142857143
2020-10-20,62.0,54.0,98.0,77.0,95.0,100.0,80.0,76.0,100.0,63.0,34.0,92.0,100.0,75.0,37.0,93.0,78.0,99.0,92.0,78.0,90.45714285714287
2020-10-21,67.0,47.0,46.0,41.0,61.0,59.0,46.0,87.0,60.0,53.0,51.0,55.0,31.0,62.0,80.0,62.0,46.0,38.0,59.0,56.0,63.25714285714286
2020-10-22,44.0,43.0,54.0,21.0,35.0,36.0,62.0,66.0,11.0,55.0,47.0,44.0,44.0,39.0,25.0,51.0,69.0,56.0,61.0,64.0,52.97142857142857
2020-10-23,96.0,68.0,88.0,37.0,70.0,61.0,68.0,90.0,62.0,49.0,58.0,57.0,98.0,64.0,89.0,64.0,74.0,68.0,88.0,64.0,80.74285714285716
2020-10-24,67.0,84.0,85.0,100.0,88.0,76.0,79.0,100.0,83.0,90.0,97.0,100.0,56.0,87.0,100.0,100.0,100.0,100.0,84.0,74.0,100.0
2020-10-25,58.0,68.0,74.0,64.0,78.0,67.0,82.0,84.0,96.0,49.0,64.0,76.0,76.0,78.0,84.0,77.0,53.0,51.0,94.0,82.0,83.14285714285714
2020-10-26,55.0,59.0,85.0,56.0,95.0,58.0,92.0,69.0,77.0,47.0,34.0,61.0,68.0,43.0,79.0,80.0,61.0,65.0,65.0,78.0,75.82857142857142
2020-10-27,85.0,64.0,71.0,76.0,81.0,52.0,78.0,81.0,76.0,36.0,100.0,42.0,68.0,61.0,73.0,98.0,46.0,59.0,65.0,67.0,78.8
2020-10-28,70.0,40.0,88.0,84.0,72.0,83.0,69.0,44.0,63.0,61.0,43.0,41.0,91.0,87.0,71.0,64.0,49.0,52.0,100.0,32.0,74.51428571428572
2020-10-29,42.0,64.0,19.0,45.0,60.0,46.0,65.0,86.0,69.0,46.0,61.0,47.0,51.0,42.0,60.0,78.0,40.0,59.0,83.0,38.0,62.914285714285704
2020-10-30,42.0,35.0,38.0,15.0,60.0,28.0,51.0,40.0,37.0,35.0,33.0,53.0,21.0,60.0,30.0,36.0,35.0,37.0,19.0,65.0,44.0
2020-10-31,33.0,46.0,43.0,34.0,22.0,52.0,72.0,45.0,24.0,41.0,44.0,40.0,34.0,41.0,47.0,20.0,11.0,36.0,50.0,50.0,44.85714285714285
2020-11-01,64.0,37.0,61.0,64.0,100.0,61.0,96.0,67.0,69.0,44.0,53.0,70.0,82.0,58.0,64.0,58.0,43.0,79.0,89.0,71.0,76.0
2020-11-02,65.0,58.0,62.0,30.0,66.0,56.0,51.0,34.0,53.0,46.0,38.0,41.0,31.0,78.0,35.0,48.0,49.0,52.0,50.0,49.0,56.68571428571428
2020-11-03,48.0,46.0,58.0,50.0,80.0,80.0,78.0,17.0,59.0,41.0,55.0,42.0,72.0,55.0,42.0,60.0,55.0,42.0,96.0,50.0,64.34285714285714
2020-11-04,38.0,42.0,41.0,27.0,30.0,37.0,47.0,31.0,19.0,23.0,36.0,55.0,33.0,50.0,49.0,16.0,45.0,24.0,41.0,30.0,40.8
2020-11-05,55.0,49.0,35.0,65.0,31.0,53.0,48.0,42.0,45.0,24.0,56.0,33.0,52.0,62.0,44.0,50.0,41.0,53.0,59.0,31.0,53.02857142857143
2020-11-06,35.0,39.0,56.0,35.0,51.0,39.0,44.0,50.0,47.0,45.0,37.0,53.0,50.0,60.0,23.0,35.0,34.0,16.0,50.0,37.0,47.771428571428565
2020-11-07,39.0,50.0,56.0,32.0,22.0,31.0,14.0,31.0,23.0,39.0,24.0,26.0,11.0,26.0,39.0,46.0,5.0,29.0,35.0,30.0,34.74285714285714
