date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06,batch_id
2020-01-01,12.0,16.0,26.0,27.0,5.0,18.0,15.0,23.0,12.0,11.0,18.232044198895032,0.0
2020-01-02,21.0,9.0,11.0,0.0,9.0,5.0,4.0,5.0,16.0,18.0,10.828729281767957,0.0
2020-01-03,5.0,9.0,22.0,28.0,13.0,5.0,0.0,15.0,16.0,14.0,14.033149171270713,0.0
2020-01-04,11.0,5.0,12.0,12.0,5.0,5.0,4.0,5.0,0.0,5.0,7.071823204419888,0.0
2020-01-05,11.0,10.0,6.0,24.0,19.0,11.0,14.0,11.0,11.0,24.0,15.58011049723757,0.0
2020-01-06,0.0,5.0,0.0,16.0,17.0,5.0,8.0,5.0,15.0,13.0,9.281767955801103,0.0
2020-01-07,35.0,18.0,39.0,22.0,30.0,20.0,12.0,19.0,36.0,35.0,29.392265193370164,0.0
2020-01-08,10.0,9.0,5.0,22.0,4.0,10.0,12.0,14.0,5.0,18.0,12.044198895027625,0.0
2020-01-09,15.0,23.0,28.0,17.0,9.0,20.0,4.0,5.0,21.0,4.0,16.132596685082873,0.0
2020-01-10,27.0,14.0,29.0,11.0,4.0,10.0,4.0,10.0,32.0,14.0,17.12707182320442,0.0
2020-01-11,6.0,5.0,0.0,19.0,0.0,17.0,5.0,11.0,12.0,0.0,8.287292817679559,0.0
2020-01-12,0.0,15.0,18.0,24.0,19.0,0.0,9.0,21.0,6.0,0.0,12.375690607734807,0.0
2020-01-13,0.0,16.0,5.0,10.0,4.0,4.0,4.0,13.0,14.0,8.0,8.61878453038674,0.0
2020-01-14,0.0,4.0,5.0,15.0,4.0,4.0,0.0,4.0,5.0,16.0,6.298342541436464,0.0
2020-01-15,15.0,18.0,16.0,17.0,21.0,25.0,8.0,14.0,21.0,13.0,18.563535911602205,0.0
2020-01-16,26.0,5.0,11.0,17.0,9.0,5.0,0.0,10.0,21.0,4.0,11.933701657458565,0.0
2020-01-17,5.0,10.0,17.0,0.0,5.0,5.0,4.0,0.0,5.0,0.0,5.635359116022098,0.0
2020-01-18,12.0,26.0,31.0,44.0,34.0,28.0,24.0,16.0,12.0,40.0,29.50276243093923,0.0
2020-01-19,17.0,20.0,12.0,12.0,9.0,5.0,14.0,5.0,23.0,14.0,14.475138121546962,0.0
2020-01-20,29.0,27.0,27.0,32.0,13.0,24.0,32.0,28.0,15.0,34.0,28.83977900552486,0.0
2020-01-21,20.0,18.0,16.0,22.0,9.0,20.0,12.0,24.0,26.0,13.0,19.889502762430944,0.0
2020-01-22,10.0,0.0,11.0,6.0,4.0,5.0,13.0,0.0,0.0,9.0,6.4088397790055245,0.0
2020-01-23,5.0,0.0,0.0,11.0,9.0,5.0,13.0,10.0,11.0,9.0,8.066298342541437,0.0
2020-01-24,27.0,15.0,41.0,41.0,28.0,26.0,31.0,41.0,39.0,19.0,34.033149171270715,0.0
2020-01-25,54.0,27.0,26.0,33.0,35.0,52.0,24.0,22.0,67.0,31.0,40.99447513812154,0.0
2020-01-26,39.0,40.0,49.0,37.0,28.0,44.0,41.0,37.0,23.0,39.0,41.657458563535926,0.0
2020-01-27,29.0,13.0,43.0,48.0,25.0,29.0,40.0,41.0,40.0,47.0,39.226519337016576,0.0
2020-01-28,30.0,40.0,38.0,38.0,21.0,24.0,29.0,28.0,15.0,35.0,32.92817679558011,0.0
2020-01-29,16.0,19.0,22.0,34.0,35.0,30.0,17.0,19.0,26.0,9.0,25.082872928176798,0.0
2020-01-30,47.0,19.0,11.0,23.0,18.0,20.0,26.0,34.0,27.0,27.0,27.84530386740332,0.0
2020-01-31,27.0,19.0,0.0,23.0,18.0,16.0,13.0,20.0,22.0,9.0,18.45303867403315,0.0
2020-02-01,24.0,11.0,33.0,33.0,25.0,18.0,24.0,23.0,30.0,21.0,26.740331491712702,0.0
2020-02-02,39.0,35.0,42.0,42.0,23.0,32.0,27.0,21.0,39.0,19.0,35.24861878453038,0.0
2020-02-03,18.0,12.0,15.0,39.0,23.0,22.0,19.0,34.0,23.0,28.0,25.74585635359116,0.0
2020-02-04,15.0,22.0,5.0,11.0,13.0,10.0,12.0,14.0,10.0,17.0,14.254143646408837,0.0
2020-02-05,26.0,28.0,11.0,6.0,9.0,30.0,21.0,19.0,26.0,5.0,20.000000000000004,0.0
2020-02-06,26.0,28.0,6.0,6.0,13.0,15.0,25.0,25.0,27.0,23.0,21.436464088397788,0.0
2020-02-07,5.0,15.0,12.0,23.0,14.0,11.0,13.0,20.0,16.0,0.0,14.254143646408837,0.0
2020-02-08,24.0,27.0,33.0,13.0,21.0,18.0,10.0,23.0,18.0,16.0,22.430939226519328,0.0
2020-02-09,17.0,10.0,18.0,24.0,23.0,16.0,23.0,32.0,11.0,44.0,24.08839779005525,0.0
2020-02-10,24.0,21.0,21.0,31.0,8.0,14.0,8.0,18.0,14.0,16.0,19.33701657458564,0.0
2020-02-11,30.0,22.0,11.0,27.0,21.0,10.0,20.0,19.0,25.0,30.0,23.756906077348066,0.0
2020-02-12,35.0,5.0,16.0,16.0,21.0,34.0,20.0,5.0,20.0,13.0,20.441988950276247,0.0
2020-02-13,25.0,37.0,28.0,39.0,17.0,25.0,8.0,19.0,21.0,14.0,25.74585635359116,0.0
2020-02-14,37.0,14.0,28.0,23.0,18.0,20.0,35.0,29.0,32.0,14.0,27.6243093922652,0.0
2020-02-15,30.0,16.0,25.0,13.0,25.0,6.0,10.0,11.0,24.0,5.0,18.232044198895032,0.0
2020-02-16,33.0,5.0,24.0,18.0,14.0,5.0,14.0,16.0,11.0,5.0,16.02209944751381,0.0
2020-02-17,20.0,13.0,21.0,21.0,12.0,14.0,20.0,14.0,15.0,4.0,17.016574585635354,0.0
2020-02-18,25.0,22.0,32.0,21.0,4.0,29.0,16.0,19.0,45.0,17.0,25.41436464088397,0.0
2020-02-19,5.0,9.0,27.0,11.0,13.0,15.0,8.0,5.0,15.0,17.0,13.812154696132595,0.0
2020-02-20,31.0,14.0,33.0,11.0,17.0,30.0,13.0,24.0,26.0,26.0,24.861878453038678,0.0
2020-02-21,31.0,9.0,29.0,11.0,9.0,15.0,9.0,15.0,16.0,5.0,16.464088397790054,0.0
2020-02-22,24.0,16.0,25.0,45.0,30.0,23.0,15.0,0.0,24.0,26.0,25.19337016574585,0.0
2020-02-23,21.0,14.0,28.0,23.0,22.0,20.0,0.0,5.0,16.0,14.0,18.01104972375691,0.0
2020-02-24,34.0,26.0,16.0,47.0,28.0,47.0,20.0,18.0,49.0,13.0,32.92817679558011,0.0
2020-02-25,19.0,47.0,36.0,47.0,41.0,46.0,27.0,13.0,10.0,17.0,33.48066298342541,0.0
2020-02-26,29.0,39.0,36.0,42.0,45.0,28.0,48.0,45.0,44.0,38.0,43.53591160220994,0.0
2020-02-27,70.0,36.0,43.0,54.0,42.0,58.0,49.0,61.0,61.0,47.0,57.56906077348064,0.0
2020-02-28,31.0,33.0,40.0,46.0,31.0,36.0,30.0,49.0,53.0,18.0,40.55248618784531,0.0
2020-02-29,28.0,30.0,48.0,24.0,14.0,27.0,37.0,31.0,57.0,39.0,37.01657458563536,0.0
2020-03-01,32.0,44.0,58.0,53.0,50.0,62.0,53.0,45.0,38.0,47.0,53.25966850828728,0.0
2020-03-02,34.0,35.0,63.0,58.0,57.0,43.0,36.0,55.0,65.0,51.0,54.91712707182322,0.0
