date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1,batch_id
2020-01-01,34.0,15.0,6.0,21.0,21.0,27.0,20.0,17.0,21.0,28.0,24.110218140068888,0.0
2020-01-02,10.0,9.0,14.0,18.0,18.0,19.0,30.0,15.0,22.0,24.0,20.551090700344428,0.0
2020-01-03,19.0,22.0,9.0,19.0,18.0,19.0,26.0,24.0,13.0,0.0,19.402985074626862,0.0
2020-01-04,21.0,14.0,0.0,5.0,11.0,8.0,23.0,10.0,0.0,10.0,11.71067738231917,0.0
2020-01-05,21.0,9.0,20.0,0.0,8.0,12.0,19.0,21.0,10.0,15.0,15.499425947187142,0.0
2020-01-06,23.0,30.0,19.0,22.0,14.0,19.0,25.0,42.0,17.0,9.0,25.258323765786447,0.0
2020-01-07,24.0,30.0,23.0,14.0,18.0,15.0,17.0,33.0,17.0,14.0,23.53616532721011,0.0
2020-01-08,19.0,21.0,14.0,22.0,28.0,11.0,25.0,9.0,13.0,9.0,19.632606199770386,0.0
2020-01-09,19.0,17.0,9.0,27.0,18.0,11.0,17.0,14.0,13.0,14.0,18.254879448909303,0.0
2020-01-10,20.0,14.0,14.0,14.0,7.0,12.0,22.0,10.0,9.0,5.0,14.580941446613087,0.0
2020-01-11,16.0,10.0,21.0,15.0,25.0,30.0,25.0,17.0,10.0,27.0,22.502870264064303,0.0
2020-01-12,16.0,14.0,20.0,15.0,12.0,12.0,19.0,16.0,24.0,21.0,19.402985074626862,0.0
2020-01-13,30.0,31.0,17.0,24.0,32.0,17.0,34.0,22.0,31.0,42.0,32.14695752009185,0.0
2020-01-14,8.0,34.0,24.0,24.0,19.0,20.0,22.0,13.0,22.0,33.0,25.1435132032147,0.0
2020-01-15,14.0,26.0,23.0,14.0,14.0,4.0,25.0,28.0,17.0,28.0,22.158438576349024,0.0
2020-01-16,10.0,9.0,24.0,14.0,14.0,12.0,13.0,10.0,4.0,5.0,13.20321469575201,0.0
2020-01-17,20.0,18.0,34.0,28.0,15.0,20.0,13.0,35.0,27.0,30.0,27.554535017221585,0.0
2020-01-18,32.0,24.0,10.0,25.0,12.0,22.0,14.0,11.0,24.0,16.0,21.814006888633763,0.0
2020-01-19,10.0,19.0,25.0,20.0,16.0,33.0,28.0,21.0,19.0,31.0,25.48794489092997,0.0
2020-01-20,18.0,8.0,18.0,13.0,21.0,18.0,12.0,23.0,25.0,23.0,20.551090700344428,0.0
2020-01-21,33.0,17.0,28.0,22.0,28.0,15.0,17.0,28.0,17.0,33.0,27.324913892078072,0.0
2020-01-22,34.0,35.0,23.0,23.0,18.0,38.0,30.0,24.0,26.0,24.0,31.57290470723307,0.0
2020-01-23,15.0,18.0,14.0,5.0,11.0,4.0,13.0,15.0,9.0,14.0,13.547646383467278,0.0
2020-01-24,10.0,14.0,10.0,5.0,8.0,4.0,9.0,20.0,19.0,10.0,12.514351320321472,0.0
2020-01-25,11.0,10.0,33.0,11.0,25.0,13.0,10.0,11.0,25.0,6.0,17.795637198622273,0.0
2020-01-26,31.0,33.0,46.0,45.0,39.0,41.0,37.0,52.0,24.0,41.0,44.66130884041332,0.0
2020-01-27,9.0,8.0,27.0,22.0,27.0,36.0,20.0,5.0,21.0,27.0,23.191733639494835,0.0
2020-01-28,19.0,25.0,14.0,31.0,25.0,26.0,25.0,33.0,26.0,19.0,27.898966704936857,0.0
2020-01-29,57.0,18.0,9.0,27.0,29.0,27.0,34.0,34.0,22.0,14.0,31.113662456946038,0.0
2020-01-30,19.0,22.0,29.0,42.0,15.0,27.0,17.0,30.0,22.0,10.0,26.750861079219288,0.0
2020-01-31,30.0,18.0,34.0,19.0,8.0,12.0,13.0,15.0,27.0,15.0,21.928817451205514,0.0
2020-02-01,28.0,26.0,22.0,32.0,25.0,35.0,30.0,45.0,15.0,11.0,30.884041331802532,0.0
2020-02-02,36.0,28.0,51.0,40.0,31.0,29.0,32.0,47.0,28.0,46.0,42.25028702640642,0.0
2020-02-03,25.0,15.0,37.0,16.0,16.0,10.0,22.0,21.0,12.0,29.0,23.306544202066593,0.0
2020-02-04,19.0,17.0,32.0,22.0,17.0,15.0,29.0,33.0,21.0,28.0,26.750861079219288,0.0
2020-02-05,29.0,31.0,19.0,28.0,0.0,8.0,17.0,10.0,22.0,19.0,21.010332950631454,0.0
2020-02-06,24.0,18.0,24.0,18.0,18.0,35.0,22.0,20.0,26.0,15.0,25.258323765786447,0.0
2020-02-07,30.0,32.0,20.0,10.0,23.0,24.0,23.0,21.0,37.0,30.0,28.702640642939148,0.0
2020-02-08,28.0,36.0,39.0,32.0,21.0,22.0,20.0,11.0,15.0,56.0,32.14695752009185,0.0
2020-02-09,10.0,19.0,0.0,15.0,12.0,8.0,14.0,16.0,14.0,16.0,14.236509758897819,0.0
2020-02-10,26.0,8.0,22.0,17.0,13.0,31.0,8.0,27.0,16.0,22.0,21.814006888633763,0.0
2020-02-11,23.0,13.0,13.0,18.0,17.0,15.0,20.0,0.0,13.0,23.0,17.795637198622273,0.0
2020-02-12,28.0,21.0,18.0,13.0,7.0,29.0,12.0,14.0,13.0,14.0,19.402985074626862,0.0
2020-02-13,44.0,26.0,42.0,45.0,29.0,27.0,34.0,43.0,22.0,34.0,39.72445464982777,0.0
2020-02-14,15.0,13.0,14.0,19.0,7.0,8.0,4.0,10.0,22.0,19.0,15.040183696900115,0.0
2020-02-15,33.0,30.0,16.0,21.0,20.0,26.0,15.0,17.0,20.0,33.0,26.521239954075774,0.0
2020-02-16,26.0,47.0,15.0,34.0,31.0,29.0,32.0,41.0,42.0,31.0,37.657864523536155,0.0
2020-02-17,9.0,29.0,13.0,30.0,31.0,22.0,45.0,41.0,33.0,36.0,33.18025258323766,0.0
2020-02-18,32.0,17.0,13.0,26.0,21.0,15.0,12.0,23.0,25.0,18.0,23.191733639494835,0.0
2020-02-19,41.0,17.0,14.0,22.0,14.0,18.0,25.0,14.0,21.0,18.0,23.42135476463834,0.0
2020-02-20,19.0,13.0,14.0,18.0,7.0,11.0,8.0,14.0,22.0,9.0,15.499425947187142,0.0
2020-02-21,19.0,22.0,14.0,14.0,18.0,15.0,26.0,15.0,13.0,19.0,20.091848450057405,0.0
2020-02-22,11.0,15.0,11.0,11.0,12.0,4.0,10.0,11.0,15.0,11.0,12.743972445464985,0.0
2020-02-23,10.0,13.0,24.0,9.0,19.0,16.0,13.0,15.0,23.0,10.0,17.451205510907005,0.0
2020-02-24,31.0,29.0,17.0,17.0,23.0,18.0,20.0,14.0,33.0,9.0,24.225028702640646,0.0
2020-02-25,0.0,20.0,30.0,26.0,23.0,29.0,20.0,18.0,12.0,13.0,21.928817451205514,0.0
2020-02-26,40.0,29.0,22.0,21.0,20.0,14.0,28.0,23.0,0.0,27.0,25.71756601607348,0.0
2020-02-27,9.0,13.0,27.0,26.0,14.0,18.0,17.0,9.0,8.0,9.0,17.221584385763492,0.0
2020-02-28,15.0,36.0,14.0,23.0,18.0,23.0,13.0,29.0,13.0,24.0,23.88059701492537,0.0
2020-02-29,26.0,28.0,20.0,25.0,20.0,45.0,14.0,11.0,28.0,31.0,28.473019517795638,0.0
2020-03-01,25.0,32.0,24.0,33.0,15.0,12.0,31.0,25.0,32.0,20.0,28.587830080367397,0.0
2020-03-02,27.0,45.0,44.0,51.0,24.0,25.0,40.0,32.0,33.0,45.0,42.02066590126292,0.0
2020-03-03,53.0,36.0,22.0,33.0,37.0,39.0,43.0,45.0,48.0,35.0,44.89092996555684,0.0
2020-03-04,46.0,13.0,27.0,18.0,31.0,26.0,21.0,28.0,13.0,32.0,29.276693455797936,0.0
2020-03-05,38.0,39.0,32.0,13.0,18.0,38.0,26.0,34.0,38.0,28.0,34.90241102181401,0.0
2020-03-06,14.0,38.0,23.0,22.0,17.0,18.0,17.0,33.0,26.0,37.0,28.12858783008037,0.0
2020-03-07,51.0,33.0,40.0,24.0,19.0,12.0,14.0,31.0,28.0,45.0,34.09873708381171,0.0
2020-03-08,10.0,32.0,45.0,29.0,27.0,28.0,32.0,20.0,42.0,25.0,33.295063145809415,0.0
2020-03-09,35.0,57.0,43.0,67.0,46.0,38.0,47.0,66.0,48.0,48.0,56.83122847301952,0.0
2020-03-10,34.0,32.0,30.0,45.0,32.0,27.0,42.0,39.0,47.0,34.0,41.5614236509759,0.0
2020-03-11,80.0,46.0,46.0,80.0,54.0,57.0,53.0,64.0,80.0,71.0,72.44546498277843,0.0
2020-03-12,93.0,100.0,100.0,100.0,47.0,64.0,75.0,81.0,100.0,93.0,97.93340987370838,0.0
2020-03-13,75.0,69.0,95.0,93.0,100.0,88.0,100.0,94.0,64.0,93.0,100.0,0.0
2020-03-14,99.0,82.0,78.0,90.0,68.0,100.0,93.0,70.0,86.0,70.0,95.98163030998852,0.0
2020-03-15,56.0,56.0,64.0,54.0,42.0,49.0,46.0,66.0,64.0,56.0,63.49024110218141,0.0
2020-03-16,78.0,63.0,80.0,89.0,73.0,77.0,77.0,86.0,77.0,69.0,88.28932261768084,0.0
2020-03-17,77.0,82.0,59.0,45.0,77.0,68.0,72.0,86.0,78.0,77.0,82.77841561423652,0.0
2020-03-18,82.0,71.0,84.0,65.0,72.0,65.0,81.0,100.0,75.0,64.0,87.14121699196328,0.0
2020-03-19,73.0,70.0,57.0,78.0,68.0,68.0,72.0,78.0,74.0,77.0,82.08955223880598,0.0
2020-03-20,74.0,56.0,55.0,74.0,68.0,42.0,58.0,70.0,59.0,69.0,71.75660160734787,0.0
2020-03-21,55.0,66.0,58.0,43.0,41.0,43.0,57.0,55.0,67.0,72.0,63.949483352468434,0.0
2020-03-22,45.0,37.0,44.0,34.0,31.0,29.0,48.0,41.0,45.0,40.0,45.23536165327211,0.0
2020-03-23,31.0,21.0,45.0,40.0,37.0,37.0,52.0,39.0,24.0,62.0,44.54649827784156,0.0
2020-03-24,47.0,54.0,49.0,49.0,38.0,48.0,31.0,47.0,54.0,67.0,55.568312284730204,0.0
2020-03-25,43.0,70.0,42.0,61.0,64.0,57.0,45.0,64.0,59.0,59.0,64.75315729047071,0.0
2020-03-26,43.0,54.0,25.0,53.0,25.0,27.0,53.0,60.0,38.0,64.0,50.746268656716424,0.0
2020-03-27,81.0,43.0,66.0,53.0,48.0,54.0,57.0,52.0,66.0,63.0,66.9345579793341,0.0
2020-03-28,51.0,42.0,60.0,68.0,35.0,36.0,36.0,72.0,61.0,82.0,62.342135476463845,0.0
2020-03-29,100.0,50.0,84.0,69.0,58.0,69.0,77.0,55.0,66.0,85.0,81.85993111366247,0.0
2020-03-30,88.0,95.0,79.0,91.0,60.0,54.0,100.0,76.0,80.0,100.0,94.4890929965557,0.0
2020-03-31,44.0,58.0,54.0,53.0,65.0,54.0,67.0,76.0,73.0,59.0,69.23076923076924,0.0
2020-04-01,96.0,64.0,81.0,84.0,71.0,77.0,86.0,80.0,80.0,86.0,92.42250287026407,0.0
2020-04-02,55.0,43.0,41.0,53.0,41.0,44.0,34.0,38.0,35.0,38.0,48.450057405281285,0.0
2020-04-03,51.0,35.0,54.0,41.0,35.0,37.0,50.0,38.0,23.0,52.0,47.76119402985075,0.0
2020-04-04,65.0,41.0,74.0,58.0,45.0,32.0,58.0,50.0,59.0,60.0,62.227324913892076,0.0
2020-04-05,10.0,18.0,39.0,14.0,23.0,12.0,13.0,25.0,27.0,50.0,26.521239954075774,0.0
2020-04-06,25.0,35.0,54.0,40.0,25.0,27.0,41.0,64.0,15.0,50.0,43.16877152698049,0.0
2020-04-07,26.0,8.0,64.0,38.0,16.0,35.0,31.0,40.0,28.0,26.0,35.820895522388064,0.0
