date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty,batch_id
2020-01-01,0.0,41.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,34.0,19.81651376146789,0.0
2020-01-02,0.0,33.0,33.0,26.0,0.0,35.0,0.0,26.0,66.0,0.0,40.18348623853211,0.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,0.0,71.0,36.0,0.0,0.0,39.0,29.0,29.0,37.0,30.0,49.72477064220183,0.0
2020-01-05,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0,10.642201834862384,0.0
2020-01-06,0.0,0.0,32.0,0.0,25.0,33.0,25.0,25.0,0.0,0.0,25.68807339449541,0.0
2020-01-07,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,4.587155963302752,0.0
2020-01-08,0.0,32.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,27.0,15.596330275229358,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,49.0,38.0,39.0,30.0,0.0,41.0,30.0,30.0,0.0,32.0,53.02752293577981,0.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.321100917431193,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,49.0,38.0,0.0,30.0,31.0,41.0,0.0,0.0,0.0,32.0,40.55045871559633,0.0
2020-01-20,40.0,0.0,32.0,25.0,0.0,34.0,25.0,25.0,0.0,0.0,33.21100917431193,0.0
2020-01-21,0.0,0.0,32.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,10.642201834862384,0.0
