date,/m/0m7pl_0,/m/0m7pl_1,/m/0m7pl_2,/m/0m7pl_3,/m/0m7pl_4,/m/0m7pl_5,/m/0m7pl_6,/m/0m7pl_7,/m/0m7pl_8,/m/0m7pl_9,/m/0m7pl_10,/m/0m7pl_11,/m/0m7pl_12,/m/0m7pl_13,/m/0m7pl_14,/m/0m7pl_15,/m/0m7pl_16,/m/0m7pl_17,/m/0m7pl_18,/m/0m7pl_19,/m/0m7pl
2020-09-21,0.0,0.0,44.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,46.0,0.0,0.0,0.0,20.399113082039907
2020-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-23,0.0,43.0,40.0,0.0,0.0,36.0,41.0,0.0,0.0,0.0,0.0,36.0,40.0,42.0,30.0,0.0,84.0,72.0,40.0,36.0,59.866962305986696
2020-09-24,73.0,43.0,39.0,40.0,0.0,74.0,0.0,43.0,28.0,40.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,36.0,55.432372505543235
2020-09-25,0.0,46.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,19.401330376940134
2020-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,84.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,41.0,29.15742793791574
2020-09-28,79.0,47.0,0.0,43.0,0.0,39.0,45.0,0.0,0.0,0.0,0.0,39.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,42.68292682926829
2020-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,84.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.16851441241685
