,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-11-19,0.0,56.0,48.0,0.0,49.0,36.0,90.0,49.0,0.0,27.0,96.0,33.0,25.0,0.0,72.0,32.0,33.0,0.0,95.89041095890411,0.0,58.09635168041536
2020-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-21,24.0,0.0,0.0,0.0,51.0,0.0,47.0,50.0,0.0,27.0,100.0,34.0,25.0,28.0,37.0,33.0,34.0,0.0,50.68493150684932,94.0,49.70124757297176
2020-11-22,0.0,0.0,49.0,0.0,50.0,37.0,46.0,49.0,0.0,0.0,49.0,68.0,0.0,28.0,0.0,100.0,0.0,50.0,0.0,46.0,44.79248238057948
2020-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,46.0,54.0,47.0,30.0,48.0,35.0,89.0,0.0,71.0,53.0,0.0,0.0,49.0,27.0,36.0,0.0,32.0,24.0,47.945205479452056,45.0,57.47417427403696
2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,47.0,32.0,0.0,0.0,0.0,31.0,0.0,24.0,0.0,0.0,12.529365700861394
2020-11-26,24.0,0.0,48.0,30.0,0.0,37.0,47.0,99.0,0.0,28.0,49.0,33.0,49.0,0.0,36.0,33.0,66.0,25.0,0.0,0.0,47.29835552075176
2020-11-27,23.0,55.0,0.0,31.0,49.0,35.0,0.0,0.0,36.0,27.0,48.0,33.0,0.0,0.0,36.0,32.0,33.0,24.0,49.31506849315068,0.0,40.04033425944798
2020-11-28,0.0,0.0,48.0,0.0,0.0,36.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,24.0,47.945205479452056,0.0,18.319906458845107
2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,55.0,47.0,30.0,0.0,0.0,0.0,48.0,0.0,54.0,0.0,33.0,25.0,0.0,0.0,0.0,65.0,24.0,47.945205479452056,45.0,37.1139550101372
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,31.0,50.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,37.0,32.0,33.0,25.0,0.0,0.0,21.29992169146437
2020-12-04,23.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,26.0,47.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,46.57534246575342,0.0,17.429549135924304
2020-12-05,0.0,0.0,49.0,63.0,51.0,0.0,0.0,50.0,37.0,28.0,49.0,34.0,0.0,28.0,0.0,0.0,0.0,0.0,49.31506849315068,0.0,34.32381115842996
2020-12-06,23.0,56.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,48.0,0.0,0.0,27.0,36.0,32.0,0.0,0.0,0.0,0.0,21.221613155833985
2020-12-07,0.0,55.0,0.0,0.0,0.0,36.0,44.0,0.0,36.0,0.0,0.0,0.0,25.0,0.0,0.0,32.0,0.0,0.0,49.31506849315068,0.0,21.71613692193819
2020-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,5.873140172278778
2020-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-11,25.0,0.0,100.0,32.0,51.0,39.0,0.0,50.0,0.0,28.0,0.0,0.0,52.0,0.0,38.0,0.0,34.0,51.0,0.0,95.0,46.59357870007831
2020-12-12,0.0,0.0,50.0,0.0,52.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,26.0,0.0,37.0,0.0,0.0,0.0,0.0,47.0,18.872357086922474
2020-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-14,46.0,0.0,0.0,31.0,50.0,36.0,45.0,0.0,72.0,26.0,48.0,0.0,25.0,0.0,36.0,0.0,0.0,0.0,47.945205479452056,46.0,39.854753757200626
2020-12-15,24.0,0.0,0.0,0.0,51.0,0.0,47.0,0.0,38.0,0.0,0.0,34.0,0.0,28.0,37.0,0.0,34.0,0.0,49.31506849315068,47.0,30.486692912541166
2020-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-17,25.0,0.0,0.0,33.0,0.0,39.0,0.0,52.0,39.0,29.0,0.0,35.0,0.0,0.0,0.0,70.0,0.0,26.0,0.0,0.0,27.251370399373528
2020-12-18,26.0,0.0,0.0,100.0,54.0,39.0,100.0,53.0,80.0,29.0,53.0,0.0,27.0,0.0,39.0,36.0,0.0,55.0,53.42465753424658,100.0,66.1256583816951
2020-12-19,27.0,0.0,54.0,0.0,0.0,41.0,51.0,54.0,41.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.41425215348473
2020-12-20,0.0,0.0,0.0,0.0,0.0,40.0,49.0,0.0,0.0,30.0,53.0,0.0,0.0,30.0,40.0,0.0,37.0,0.0,53.42465753424658,51.0,30.025423456088223
2020-12-21,25.0,58.0,50.0,32.0,53.0,0.0,47.0,52.0,38.0,0.0,52.0,36.0,52.0,0.0,0.0,0.0,35.0,0.0,0.0,48.0,45.262333594361785
2020-12-22,0.0,0.0,52.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,36.0,27.0,0.0,39.0,0.0,36.0,27.0,0.0,0.0,21.1433046202036
2020-12-23,0.0,60.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,51.0,0.0,0.0,29.0,38.0,0.0,36.0,0.0,0.0,0.0,20.830070477682067
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-25,28.0,0.0,58.0,37.0,0.0,44.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,40.0,30.0,0.0,0.0,26.62490211433046
2020-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,100.0,60.0,0.0,64.0,51.0,39.0,0.0,0.0,78.0,0.0,50.0,35.0,26.0,86.0,38.0,34.0,70.0,78.0,50.68493150684932,97.0,74.91659604595532
2020-12-28,47.0,55.0,97.0,31.0,100.0,73.0,90.0,49.0,0.0,0.0,98.0,0.0,50.0,81.0,73.0,32.0,67.0,74.0,49.31506849315068,93.0,90.78426534793662
2020-12-29,23.0,0.0,47.0,30.0,0.0,36.0,44.0,47.0,0.0,26.0,48.0,0.0,24.0,26.0,0.0,0.0,0.0,0.0,47.945205479452056,44.0,34.686390405595304
2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,26.0,0.0,53.0,34.0,0.0,41.0,50.0,0.0,40.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,28.0,0.0,0.0,25.998433829287396
2021-01-02,24.0,58.0,0.0,0.0,51.0,0.0,0.0,50.0,75.0,28.0,100.0,34.0,52.0,28.0,37.0,0.0,0.0,26.0,52.054794520547944,94.0,55.52504264060672
2021-01-03,0.0,56.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,36.0,0.0,34.0,25.0,0.0,46.0,19.81205951448708
2021-01-04,44.0,100.0,44.0,28.0,90.0,100.0,0.0,90.0,100.0,100.0,0.0,0.0,46.0,100.0,100.0,29.0,61.0,68.0,45.205479452054796,83.0,96.17897254910373
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,21.0,50.0,0.0,0.0,0.0,0.0,40.0,43.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,15.583398590446356
2021-01-07,22.0,51.0,44.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,33.0,30.0,30.0,23.0,0.0,0.0,23.962411902897415
2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-09,25.0,60.0,51.0,33.0,0.0,0.0,49.0,0.0,0.0,60.0,0.0,0.0,53.0,0.0,0.0,0.0,36.0,27.0,0.0,0.0,30.85356303837118
2021-01-10,0.0,0.0,52.0,0.0,55.0,40.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,27.0,0.0,0.0,20.6734534064213
2021-01-11,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,31.0,0.0,24.0,0.0,0.0,12.137823022709474
2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,0.0,0.0,48.0,30.0,0.0,72.0,45.0,95.0,36.0,27.0,0.0,0.0,25.0,27.0,0.0,32.0,0.0,0.0,47.945205479452056,0.0,37.97534890207142
2021-01-14,0.0,56.0,0.0,62.0,50.0,0.0,90.0,0.0,74.0,0.0,49.0,0.0,50.0,27.0,73.0,65.0,0.0,0.0,0.0,0.0,46.67188723570869
2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-16,0.0,64.0,55.0,34.0,0.0,0.0,0.0,55.0,0.0,30.0,0.0,0.0,0.0,31.0,41.0,37.0,38.0,28.0,0.0,0.0,32.34142521534847
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,56.0,96.0,92.0,50.0,0.0,45.0,100.0,73.0,54.0,0.0,100.0,100.0,27.0,73.0,65.0,100.0,100.0,100.0,46.0,100.0
2021-01-19,0.0,56.0,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,33.0,0.0,49.31506849315068,0.0,18.897029639244373
2021-01-20,23.0,53.0,46.0,59.0,0.0,70.0,0.0,47.0,36.0,0.0,46.0,32.0,48.0,27.0,0.0,31.0,64.0,24.0,47.945205479452056,44.0,54.655066991343155
2021-01-21,0.0,0.0,48.0,0.0,50.0,74.0,0.0,0.0,37.0,55.0,49.0,0.0,25.0,28.0,0.0,32.0,0.0,0.0,49.31506849315068,46.0,38.63078061810107
