date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21_10,/m/01b_21_11,/m/01b_21_12,/m/01b_21_13,/m/01b_21_14,/m/01b_21_15,/m/01b_21_16,/m/01b_21_17,/m/01b_21_18,/m/01b_21_19,/m/01b_21
2020-01-29,22.0,30.0,7.0,18.0,31.0,26.0,16.0,25.0,28.0,18.0,32.0,22.0,18.0,18.0,40.0,10.0,55.0,27.0,45.0,8.0,27.787114845938376
2020-01-30,8.0,0.0,7.0,9.0,8.0,0.0,8.0,9.0,10.0,0.0,8.0,0.0,9.0,0.0,0.0,10.0,10.0,9.0,0.0,8.0,6.330532212885154
2020-01-31,16.0,33.0,7.0,19.0,8.0,18.0,17.0,9.0,21.0,10.0,8.0,16.0,29.0,10.0,21.0,22.0,29.0,0.0,24.0,26.0,19.2156862745098
2020-02-01,41.0,67.0,37.0,29.0,50.0,56.0,26.0,28.0,41.0,39.0,44.0,8.0,29.0,30.0,54.0,66.0,41.0,49.0,0.0,17.0,42.128851540616246
2020-02-02,8.0,32.0,7.0,10.0,8.0,0.0,17.0,0.0,40.0,19.0,26.0,16.0,0.0,19.0,42.0,11.0,29.0,10.0,8.0,8.0,17.366946778711483
2020-02-03,0.0,9.0,13.0,0.0,14.0,8.0,0.0,0.0,18.0,17.0,7.0,14.0,25.0,9.0,28.0,37.0,25.0,25.0,0.0,7.0,14.341736694677872
2020-02-04,23.0,32.0,21.0,37.0,16.0,27.0,34.0,36.0,20.0,9.0,17.0,23.0,9.0,19.0,10.0,10.0,39.0,19.0,15.0,16.0,24.201680672268907
2020-02-05,31.0,10.0,21.0,37.0,47.0,26.0,33.0,9.0,59.0,46.0,25.0,47.0,37.0,37.0,41.0,41.0,39.0,56.0,8.0,34.0,38.31932773109244
2020-02-06,24.0,66.0,29.0,40.0,25.0,74.0,86.0,28.0,10.0,49.0,34.0,40.0,38.0,30.0,43.0,54.0,20.0,19.0,40.0,26.0,43.417366946778714
2020-02-07,66.0,79.0,52.0,80.0,25.0,47.0,70.0,47.0,53.0,39.0,44.0,66.0,48.0,60.0,54.0,89.0,71.0,100.0,57.0,86.0,69.07563025210084
2020-02-08,34.0,12.0,15.0,20.0,26.0,20.0,37.0,10.0,11.0,50.0,9.0,17.0,30.0,10.0,22.0,23.0,10.0,0.0,8.0,9.0,20.896358543417364
2020-02-09,16.0,33.0,7.0,19.0,8.0,9.0,0.0,9.0,20.0,19.0,0.0,16.0,28.0,29.0,0.0,21.0,20.0,10.0,0.0,0.0,14.789915966386555
2020-02-10,0.0,10.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,9.0,8.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,3.9215686274509802
2020-02-11,23.0,31.0,21.0,9.0,8.0,17.0,16.0,17.0,39.0,37.0,16.0,30.0,18.0,19.0,20.0,20.0,46.0,36.0,15.0,40.0,26.77871148459384
2020-02-12,8.0,10.0,7.0,27.0,16.0,17.0,0.0,17.0,19.0,18.0,24.0,15.0,0.0,9.0,20.0,10.0,9.0,9.0,15.0,16.0,14.901960784313726
2020-02-13,31.0,11.0,21.0,28.0,32.0,9.0,33.0,26.0,39.0,28.0,17.0,31.0,45.0,28.0,20.0,0.0,29.0,28.0,39.0,17.0,28.683473389355743
2020-02-14,0.0,11.0,0.0,10.0,0.0,9.0,8.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,4.257703081232493
2020-02-15,26.0,24.0,32.0,42.0,36.0,10.0,28.0,10.0,0.0,21.0,10.0,18.0,10.0,11.0,59.0,35.0,22.0,32.0,9.0,19.0,25.434173669467786
2020-02-16,43.0,47.0,31.0,42.0,35.0,20.0,19.0,40.0,67.0,21.0,9.0,34.0,50.0,53.0,46.0,12.0,32.0,31.0,42.0,28.0,39.32773109243698
2020-02-17,15.0,32.0,14.0,38.0,16.0,35.0,8.0,35.0,39.0,28.0,25.0,23.0,36.0,19.0,21.0,31.0,29.0,28.0,8.0,0.0,26.89075630252101
2020-02-18,31.0,42.0,35.0,47.0,55.0,52.0,24.0,35.0,19.0,28.0,16.0,23.0,45.0,56.0,82.0,41.0,28.0,37.0,30.0,24.0,42.016806722689076
