,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-10-05,0.0,0.0,41.0,45.0,0.0,0.0,0.0,0.0,0.0,46.0,45.0,46.0,0.0,81.81818181818181,46.0,0.0,44.0,0.0,45.0,0.0,32.4073453842547
2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-07,45.0,0.0,41.0,46.0,0.0,33.0,0.0,0.0,31.0,47.0,0.0,48.0,0.0,0.0,47.0,32.0,90.0,33.0,46.0,41.0,42.736433144180445
2020-10-08,49.0,0.0,0.0,100.0,0.0,0.0,35.0,0.0,33.0,50.0,0.0,0.0,0.0,88.31168831168831,100.0,0.0,0.0,0.0,50.0,45.0,40.54889426895438
2020-10-09,0.0,0.0,48.0,0.0,100.0,39.0,0.0,0.0,36.0,0.0,0.0,54.0,36.0,48.05194805194805,54.0,36.0,52.0,0.0,0.0,47.0,40.52975569611775
2020-10-10,55.0,0.0,100.0,56.0,0.0,0.0,0.0,37.0,0.0,0.0,56.0,0.0,0.0,100.0,0.0,0.0,0.0,40.0,0.0,100.0,40.08382694902441
2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.631515487890069
2020-10-12,50.0,100.0,47.0,0.0,0.0,74.0,35.0,67.0,69.0,53.0,0.0,0.0,0.0,0.0,0.0,69.0,100.0,0.0,0.0,46.0,52.31528884891054
2020-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-14,48.0,0.0,0.0,0.0,46.0,36.0,35.0,33.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,44.0,25.199758853982264
2020-10-15,52.0,0.0,0.0,0.0,50.0,0.0,73.0,0.0,0.0,0.0,53.0,54.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,47.0,29.547085673821307
2020-10-16,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,54.0,53.0,54.0,0.0,48.05194805194805,54.0,0.0,52.0,0.0,0.0,48.0,33.23508865943867
2020-10-17,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9473402168400304
2020-10-18,56.0,0.0,0.0,58.0,0.0,0.0,40.0,38.0,0.0,58.0,57.0,58.0,0.0,51.94805194805195,58.0,39.0,0.0,40.0,0.0,0.0,40.81683428866709
2020-10-19,49.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,50.0,0.0,35.0,45.45454545454545,51.0,0.0,49.0,0.0,0.0,0.0,23.170113204658332
2020-10-20,0.0,91.0,0.0,47.0,44.0,34.0,0.0,32.0,31.0,0.0,93.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,94.0,42.0,39.78909292734041
2020-10-21,48.0,95.0,44.0,98.0,93.0,71.0,0.0,33.0,100.0,50.0,98.0,99.0,67.0,44.15584415584416,0.0,100.0,96.0,35.0,98.0,88.0,100.0
2020-10-22,48.0,0.0,88.0,96.0,46.0,35.0,0.0,32.0,33.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,69.0,48.0,0.0,46.27324140438848
2020-10-23,0.0,0.0,45.0,51.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,51.0,34.0,45.45454545454545,50.0,0.0,0.0,0.0,0.0,0.0,23.022746193816324
2020-10-24,54.0,0.0,50.0,56.0,0.0,0.0,38.0,37.0,0.0,0.0,55.0,56.0,38.0,49.35064935064935,56.0,38.0,0.0,0.0,55.0,0.0,42.90963722835188
2020-10-25,100.0,0.0,0.0,51.0,0.0,73.0,35.0,100.0,68.0,0.0,100.0,51.0,0.0,44.15584415584416,51.0,34.0,0.0,71.0,50.0,90.0,67.65294112018067
