date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-10-05,70.0,85.0,29.0,36.0,47.0,65.0,26.0,48.0,51.0,42.0,66.0,54.0,27.0,72.0,88.0,100.0,77.0,59.0,54.0,76.0,100.0
2020-10-06,35.0,17.0,0.0,18.0,47.0,33.0,39.0,48.0,0.0,43.0,45.0,19.0,41.0,72.0,45.0,81.0,78.0,60.0,73.0,62.0,73.03754266211605
2020-10-07,36.0,35.0,14.0,55.0,32.0,68.0,0.0,50.0,52.0,43.0,11.0,55.0,28.0,56.0,30.0,62.0,13.0,15.0,56.0,16.0,62.03071672354949
2020-10-08,77.0,19.0,31.0,40.0,17.0,18.0,28.0,35.0,37.0,0.0,12.0,20.0,15.0,40.0,17.0,22.0,0.0,16.0,40.0,34.0,44.19795221843003
2020-10-09,0.0,0.0,34.0,42.0,55.0,78.0,45.0,19.0,20.0,33.0,40.0,86.0,82.0,85.0,53.0,47.0,60.0,35.0,21.0,72.0,77.38907849829351
2020-10-10,0.0,0.0,18.0,0.0,20.0,40.0,0.0,20.0,0.0,52.0,14.0,0.0,51.0,34.0,19.0,49.0,16.0,55.0,22.0,38.0,38.22525597269625
2020-10-11,41.0,61.0,51.0,0.0,37.0,59.0,46.0,0.0,60.0,17.0,13.0,22.0,65.0,32.0,54.0,72.0,30.0,35.0,21.0,18.0,62.62798634812288
2020-10-12,0.0,0.0,16.0,0.0,0.0,19.0,0.0,18.0,0.0,16.0,0.0,42.0,16.0,20.0,0.0,46.0,15.0,17.0,0.0,52.0,23.63481228668942
2020-10-13,39.0,39.0,0.0,20.0,35.0,74.0,14.0,36.0,76.0,47.0,50.0,82.0,0.0,51.0,34.0,23.0,0.0,34.0,41.0,0.0,59.30034129692832
2020-10-14,38.0,37.0,16.0,0.0,34.0,36.0,70.0,17.0,37.0,47.0,37.0,61.0,76.0,60.0,66.0,89.0,100.0,65.0,40.0,17.0,80.46075085324232
2020-10-15,61.0,0.0,34.0,21.0,18.0,38.0,15.0,18.0,0.0,17.0,26.0,43.0,16.0,21.0,18.0,47.0,30.0,35.0,21.0,18.0,42.406143344709896
2020-10-16,21.0,20.0,34.0,64.0,56.0,59.0,15.0,75.0,20.0,100.0,52.0,87.0,66.0,65.0,35.0,96.0,30.0,53.0,86.0,72.0,94.36860068259384
2020-10-17,0.0,0.0,18.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,19.0,25.0,16.0,0.0,23.0,19.0,15.955631399317404
2020-10-18,44.0,0.0,18.0,69.0,0.0,21.0,16.0,40.0,64.0,18.0,14.0,24.0,18.0,23.0,39.0,26.0,16.0,0.0,23.0,20.0,42.06484641638225
2020-10-19,19.0,38.0,32.0,20.0,18.0,37.0,29.0,53.0,38.0,32.0,25.0,41.0,62.0,30.0,17.0,45.0,14.0,50.0,20.0,34.0,55.802047781569975
2020-10-20,36.0,0.0,0.0,19.0,0.0,34.0,13.0,17.0,18.0,30.0,23.0,38.0,28.0,94.0,78.0,21.0,53.0,46.0,57.0,48.0,55.71672354948805
2020-10-21,19.0,0.0,15.0,0.0,17.0,18.0,28.0,0.0,19.0,15.0,24.0,40.0,30.0,20.0,32.0,0.0,42.0,33.0,39.0,33.0,36.177474402730375
2020-10-22,56.0,56.0,15.0,19.0,17.0,36.0,14.0,17.0,18.0,15.0,24.0,60.0,60.0,48.0,48.0,43.0,27.0,16.0,58.0,66.0,60.836177474402724
2020-10-23,19.0,0.0,0.0,0.0,0.0,92.0,14.0,18.0,0.0,47.0,37.0,20.0,46.0,80.0,100.0,67.0,28.0,33.0,20.0,68.0,58.78839590443687
2020-10-24,43.0,21.0,35.0,0.0,20.0,41.0,32.0,20.0,0.0,17.0,14.0,0.0,17.0,33.0,0.0,49.0,16.0,37.0,22.0,19.0,37.201365187713314
2020-10-25,79.0,38.0,32.0,40.0,36.0,36.0,43.0,35.0,38.0,31.0,37.0,20.0,0.0,20.0,33.0,22.0,14.0,33.0,100.0,17.0,60.06825938566554
2020-10-26,36.0,54.0,30.0,19.0,83.0,35.0,54.0,50.0,18.0,45.0,35.0,39.0,29.0,38.0,0.0,64.0,55.0,16.0,77.0,33.0,69.11262798634812
2020-10-27,0.0,18.0,31.0,0.0,0.0,18.0,0.0,0.0,0.0,15.0,24.0,20.0,44.0,29.0,16.0,22.0,14.0,16.0,0.0,16.0,24.14675767918089
2020-10-28,37.0,37.0,62.0,58.0,34.0,18.0,0.0,0.0,74.0,31.0,24.0,40.0,15.0,39.0,32.0,44.0,42.0,16.0,59.0,17.0,57.935153583617755
2020-10-29,0.0,18.0,15.0,19.0,0.0,18.0,0.0,0.0,0.0,15.0,12.0,59.0,0.0,29.0,0.0,65.0,41.0,0.0,58.0,17.0,31.228668941979517
2020-10-30,17.0,0.0,29.0,0.0,16.0,33.0,26.0,16.0,52.0,0.0,11.0,18.0,28.0,55.0,30.0,20.0,26.0,0.0,37.0,15.0,36.60409556313993
2020-10-31,19.0,0.0,0.0,0.0,0.0,54.0,14.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,50.0,0.0,0.0,33.0,20.0,34.0,25.08532423208191
2020-11-01,39.0,19.0,31.0,40.0,17.0,0.0,14.0,53.0,38.0,16.0,12.0,0.0,15.0,20.0,0.0,0.0,0.0,17.0,0.0,0.0,28.24232081911263
2020-11-02,18.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,29.0,0.0,38.0,15.0,38.0,16.0,42.0,13.0,0.0,0.0,16.0,22.098976109215016
2020-11-03,71.0,88.0,100.0,90.0,64.0,0.0,39.0,65.0,34.0,14.0,11.0,19.0,14.0,64.0,46.0,41.0,13.0,45.0,37.0,16.0,74.31740614334471
2020-11-04,65.0,32.0,40.0,50.0,73.0,46.0,48.0,60.0,64.0,67.0,42.0,68.0,65.0,26.0,43.0,94.0,85.0,84.0,34.0,44.0,96.41638225255971
2020-11-05,69.0,100.0,42.0,71.0,62.0,32.0,38.0,47.0,50.0,28.0,0.0,18.0,27.0,44.0,44.0,0.0,25.0,15.0,18.0,15.0,63.56655290102389
2020-11-06,18.0,17.0,29.0,0.0,0.0,17.0,13.0,16.0,34.0,0.0,11.0,37.0,14.0,27.0,0.0,40.0,26.0,0.0,18.0,31.0,29.69283276450512
2020-11-07,52.0,33.0,28.0,18.0,47.0,32.0,25.0,31.0,66.0,41.0,43.0,53.0,67.0,44.0,87.0,78.0,38.0,43.0,87.0,60.0,83.02047781569965
2020-11-08,38.0,0.0,16.0,39.0,0.0,54.0,28.0,34.0,37.0,46.0,36.0,20.0,60.0,59.0,33.0,22.0,28.0,81.0,20.0,17.0,56.996587030716725
2020-11-09,72.0,18.0,44.0,18.0,33.0,34.0,53.0,33.0,71.0,15.0,34.0,37.0,57.0,56.0,31.0,21.0,53.0,46.0,56.0,47.0,70.73378839590444
2020-11-10,55.0,36.0,30.0,38.0,16.0,52.0,13.0,0.0,36.0,15.0,35.0,19.0,29.0,19.0,31.0,21.0,40.0,31.0,56.0,32.0,51.535836177474394
2020-11-11,18.0,53.0,15.0,38.0,64.0,17.0,27.0,16.0,53.0,29.0,23.0,19.0,58.0,37.0,31.0,21.0,27.0,31.0,19.0,32.0,53.58361774744027
2020-11-12,54.0,90.0,30.0,57.0,50.0,35.0,54.0,100.0,72.0,29.0,0.0,0.0,14.0,57.0,16.0,42.0,40.0,16.0,57.0,49.0,73.54948805460752
2020-11-13,0.0,0.0,15.0,19.0,16.0,87.0,14.0,33.0,18.0,59.0,12.0,19.0,58.0,47.0,47.0,63.0,40.0,78.0,57.0,82.0,65.18771331058022
2020-11-14,56.0,91.0,46.0,19.0,0.0,18.0,28.0,85.0,18.0,30.0,47.0,78.0,29.0,58.0,0.0,85.0,14.0,16.0,39.0,32.0,67.32081911262799
2020-11-15,55.0,18.0,31.0,57.0,100.0,35.0,69.0,0.0,18.0,15.0,24.0,58.0,15.0,29.0,48.0,43.0,41.0,32.0,19.0,32.0,63.05460750853243
2020-11-16,0.0,18.0,0.0,19.0,33.0,17.0,0.0,17.0,18.0,14.0,11.0,57.0,14.0,19.0,31.0,62.0,13.0,15.0,18.0,16.0,33.44709897610922
2020-11-17,18.0,53.0,0.0,37.0,49.0,17.0,13.0,33.0,36.0,0.0,0.0,19.0,0.0,38.0,0.0,42.0,0.0,0.0,57.0,32.0,37.8839590443686
2020-11-18,36.0,18.0,15.0,37.0,17.0,69.0,0.0,0.0,18.0,89.0,69.0,19.0,57.0,38.0,62.0,0.0,40.0,77.0,38.0,0.0,59.641638225255974
2020-11-19,0.0,18.0,30.0,19.0,16.0,68.0,0.0,16.0,35.0,0.0,12.0,56.0,14.0,38.0,16.0,42.0,13.0,31.0,56.0,32.0,43.686006825938556
2020-11-20,0.0,55.0,30.0,38.0,33.0,0.0,41.0,83.0,18.0,30.0,24.0,20.0,44.0,68.0,16.0,43.0,28.0,16.0,39.0,65.0,58.95904436860067
2020-11-21,57.0,0.0,16.0,58.0,34.0,18.0,0.0,17.0,74.0,61.0,36.0,40.0,45.0,59.0,82.0,22.0,28.0,81.0,39.0,100.0,73.97610921501706
2020-11-22,58.0,38.0,16.0,100.0,53.0,18.0,100.0,88.0,95.0,46.0,24.0,20.0,15.0,100.0,16.0,0.0,14.0,16.0,59.0,0.0,74.74402730375427
2020-11-23,37.0,18.0,0.0,19.0,17.0,17.0,0.0,17.0,36.0,60.0,24.0,39.0,29.0,38.0,64.0,87.0,55.0,49.0,20.0,16.0,54.77815699658703
2020-11-24,18.0,52.0,29.0,73.0,64.0,17.0,52.0,49.0,35.0,43.0,11.0,37.0,14.0,28.0,15.0,21.0,13.0,46.0,0.0,16.0,54.010238907849825
2020-11-25,36.0,87.0,72.0,73.0,32.0,33.0,39.0,64.0,0.0,14.0,34.0,37.0,0.0,64.0,45.0,20.0,26.0,30.0,55.0,0.0,64.93174061433446
2020-11-26,0.0,36.0,15.0,19.0,33.0,35.0,13.0,17.0,36.0,0.0,12.0,0.0,43.0,19.0,16.0,21.0,0.0,46.0,38.0,16.0,35.40955631399317
2020-11-27,18.0,35.0,29.0,37.0,16.0,51.0,26.0,16.0,53.0,43.0,0.0,19.0,29.0,37.0,46.0,42.0,13.0,31.0,37.0,31.0,51.96245733788395
2020-11-28,18.0,18.0,0.0,18.0,0.0,34.0,0.0,0.0,17.0,44.0,35.0,76.0,29.0,19.0,16.0,41.0,13.0,0.0,38.0,64.0,40.955631399317404
2020-11-29,19.0,37.0,31.0,19.0,0.0,36.0,0.0,17.0,18.0,15.0,0.0,39.0,0.0,29.0,32.0,0.0,14.0,16.0,40.0,0.0,30.88737201365188
2020-11-30,35.0,17.0,15.0,18.0,32.0,17.0,26.0,33.0,35.0,0.0,12.0,0.0,29.0,28.0,15.0,21.0,13.0,31.0,38.0,32.0,38.139931740614344
2020-12-01,36.0,36.0,15.0,37.0,0.0,68.0,13.0,16.0,0.0,44.0,46.0,75.0,42.0,74.0,77.0,62.0,65.0,46.0,55.0,63.0,74.2320819112628
2020-12-02,36.0,0.0,43.0,18.0,16.0,34.0,26.0,16.0,17.0,44.0,34.0,38.0,43.0,37.0,77.0,83.0,39.0,46.0,56.0,48.0,64.07849829351535
2020-12-03,18.0,54.0,15.0,19.0,17.0,17.0,0.0,17.0,18.0,0.0,0.0,0.0,29.0,19.0,15.0,21.0,0.0,16.0,19.0,16.0,26.45051194539249
2020-12-04,17.0,17.0,14.0,54.0,31.0,0.0,13.0,16.0,34.0,0.0,11.0,18.0,14.0,18.0,0.0,0.0,13.0,0.0,0.0,15.0,24.317406143344712
2020-12-05,53.0,52.0,44.0,36.0,16.0,17.0,26.0,49.0,0.0,57.0,11.0,19.0,0.0,18.0,0.0,21.0,0.0,0.0,37.0,31.0,41.55290102389078
2020-12-06,54.0,71.0,30.0,56.0,33.0,52.0,41.0,33.0,18.0,15.0,12.0,38.0,43.0,77.0,16.0,64.0,27.0,78.0,19.0,16.0,67.66211604095562
2020-12-07,0.0,34.0,29.0,55.0,0.0,100.0,13.0,0.0,51.0,72.0,22.0,56.0,56.0,18.0,30.0,20.0,39.0,15.0,55.0,31.0,59.38566552901023
2020-12-08,18.0,53.0,44.0,37.0,16.0,34.0,13.0,16.0,35.0,29.0,11.0,0.0,28.0,47.0,30.0,41.0,13.0,30.0,75.0,31.0,51.27986348122866
2020-12-09,0.0,0.0,0.0,18.0,16.0,68.0,13.0,0.0,0.0,44.0,35.0,19.0,42.0,37.0,31.0,21.0,13.0,31.0,0.0,16.0,34.47098976109215
2020-12-10,18.0,35.0,30.0,74.0,49.0,17.0,40.0,66.0,35.0,44.0,12.0,37.0,14.0,28.0,15.0,62.0,26.0,30.0,19.0,0.0,55.54607508532423
2020-12-11,91.0,0.0,90.0,19.0,83.0,52.0,68.0,17.0,36.0,60.0,36.0,77.0,15.0,66.0,63.0,63.0,54.0,79.0,76.0,64.0,94.62457337883959
