date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-11-18,90.0,51.0,47.0,83.0,32.0,52.0,33.0,59.0,49.0,58.0,40.90909090909091,77.0,62.5,20.0,20.0,26.0,61.42857142857143,40.24390243902439,65.67164179104478,16.0,64.11665643594883
2020-11-19,10.0,21.0,38.0,47.0,0.0,62.0,11.0,78.0,49.0,39.0,48.86363636363637,26.0,37.5,49.0,80.0,26.0,35.714285714285715,15.853658536585364,65.67164179104478,41.0,50.87624445809156
2020-11-20,72.0,64.0,57.0,59.0,32.0,42.0,11.0,29.0,29.0,69.0,40.90909090909091,66.0,63.75,40.0,50.0,33.0,44.28571428571429,24.39024390243902,65.67164179104478,49.0,61.330628760150844
2020-11-21,61.0,30.0,28.0,53.0,56.0,31.0,77.0,88.0,39.0,50.0,31.818181818181817,25.0,37.5,39.0,60.0,32.0,52.85714285714285,57.3170731707317,22.388059701492534,32.0,58.84573052756071
2020-11-22,21.0,42.0,19.0,48.0,24.0,44.0,0.0,71.0,30.0,20.0,42.04545454545455,60.0,51.25,20.0,82.22222222222223,40.0,27.142857142857146,34.14634146341464,32.83582089552239,24.0,47.7503907823681
2020-11-23,100.0,63.0,55.0,71.0,24.0,64.0,77.0,39.0,70.0,51.0,48.86363636363637,26.0,100.0,50.0,50.0,39.0,52.85714285714285,57.3170731707317,79.1044776119403,65.0,77.04677669683898
2020-11-24,41.0,63.0,100.0,46.0,23.0,31.0,42.0,38.0,67.0,67.0,31.818181818181817,33.0,96.25,87.0,40.0,57.0,25.714285714285715,79.26829268292683,20.895522388059703,64.0,68.62635323216807
2020-11-25,10.0,20.0,0.0,17.0,15.0,30.0,20.0,18.0,28.0,19.0,22.72727272727273,32.0,47.5,9.0,27.777777777777782,25.0,25.714285714285715,31.707317073170728,31.34328358208955,31.0,30.03093412185823
2020-11-26,21.0,63.0,76.0,77.0,49.0,75.0,100.0,40.0,100.0,60.0,50.0,34.0,63.75,91.0,50.0,52.0,61.42857142857143,65.85365853658537,58.208955223880594,49.0,80.5726993452787
2020-11-27,40.0,0.0,28.0,29.0,8.0,62.0,32.0,58.0,19.0,39.0,32.95454545454545,50.0,48.75,29.0,20.0,26.0,35.714285714285715,15.853658536585364,53.7313432835821,24.0,42.429532955598674
2020-11-28,61.0,40.0,45.0,34.0,32.0,41.0,65.0,48.0,49.0,39.0,23.863636363636363,50.0,36.25,20.0,47.77777777777778,45.0,42.857142857142854,47.5609756097561,10.447761194029852,31.0,52.71120154994112
2020-11-29,40.0,20.0,44.0,40.0,15.0,40.0,41.0,18.0,19.0,18.0,30.681818181818183,16.0,35.0,38.0,47.77777777777778,6.0,25.714285714285715,39.02439024390244,53.7313432835821,47.0,41.31671141815059
2020-11-30,40.0,40.0,36.0,51.0,16.0,72.0,53.0,66.0,47.0,29.0,23.863636363636363,58.0,61.25,29.0,88.8888888888889,19.0,17.142857142857142,40.24390243902439,41.791044776119406,47.0,57.105535000567926
2020-12-01,60.0,40.0,47.0,52.0,31.0,41.0,54.0,19.0,38.0,39.0,23.863636363636363,41.0,73.75,49.0,28.88888888888889,46.0,60.0,89.02439024390246,44.77611940298507,39.0,59.72055439070929
2020-12-02,59.0,40.0,53.0,57.0,31.0,60.0,21.0,28.0,20.0,48.0,15.909090909090908,0.0,98.75,19.0,57.77777777777778,31.0,25.714285714285715,31.707317073170728,20.895522388059703,23.0,48.27904906530179
2020-12-03,42.0,0.0,19.0,35.0,8.0,41.0,0.0,48.0,50.0,40.0,64.77272727272727,41.0,37.5,20.0,58.88888888888889,6.0,17.142857142857142,17.073170731707318,32.83582089552239,24.0,39.24959387613431
2020-12-04,41.0,30.0,37.0,35.0,23.0,89.0,54.0,76.0,19.0,59.0,48.86363636363637,24.0,37.5,48.0,87.77777777777777,39.0,27.142857142857146,32.92682926829269,55.22388059701493,32.0,58.360467507299596
2020-12-05,20.0,41.0,38.0,35.0,40.0,31.0,65.0,30.0,49.0,20.0,32.95454545454545,43.0,51.25,30.0,20.0,32.0,27.142857142857146,25.609756097560968,22.388059701492534,16.0,43.6249428397832
2020-12-06,0.0,20.0,28.0,29.0,32.0,31.0,32.0,10.0,19.0,39.0,23.863636363636363,33.0,25.0,39.0,20.0,19.0,0.0,24.39024390243902,32.83582089552239,32.0,31.87669033898086
2020-12-07,90.0,82.0,81.0,46.0,39.0,62.0,53.0,48.0,19.0,77.0,39.77272727272727,42.0,73.75,67.0,68.8888888888889,69.0,42.857142857142854,24.39024390243902,76.11940298507463,55.0,75.32849344006586
2020-12-08,20.0,0.0,74.0,47.0,31.0,0.0,32.0,38.0,39.0,0.0,32.95454545454545,25.0,48.75,49.0,10.0,32.0,25.714285714285715,24.39024390243902,55.22388059701493,32.0,40.15028678748819
2020-12-09,10.0,63.0,56.0,46.0,24.0,63.0,75.0,47.0,48.0,60.0,39.77272727272727,67.0,61.25,39.0,40.0,38.0,8.571428571428571,48.78048780487804,100.0,32.0,62.983999037152394
2020-12-10,81.0,51.0,38.0,100.0,31.0,63.0,86.0,29.0,20.0,58.0,23.863636363636363,34.0,88.75,90.0,70.0,46.0,17.142857142857142,48.78048780487804,77.61194029850745,32.0,70.72517794523769
2020-12-11,64.0,64.0,58.0,73.0,50.0,33.0,46.0,52.0,71.0,71.0,34.09090909090909,53.0,66.25,82.0,64.44444444444444,41.0,45.714285714285715,42.68292682926829,46.2686567164179,25.0,70.54935394089834
2020-12-12,53.0,42.0,28.0,60.0,24.0,21.0,44.0,0.0,40.0,69.0,31.818181818181817,34.0,51.25,40.0,20.0,7.0,35.714285714285715,32.92682926829269,11.940298507462687,33.0,44.2313607236788
2020-12-13,32.0,43.0,19.0,43.0,16.0,11.0,45.0,21.0,51.0,21.0,42.04545454545455,27.0,0.0,21.0,32.22222222222222,13.0,18.571428571428573,34.14634146341464,58.208955223880594,25.0,37.35826048685466
2020-12-14,11.0,64.0,19.0,24.0,25.0,32.0,11.0,20.0,61.0,41.0,0.0,26.0,51.25,41.0,41.111111111111114,34.0,27.142857142857146,34.14634146341464,56.71641791044776,33.0,42.518360363461746
2020-12-15,0.0,11.0,19.0,25.0,17.0,55.0,12.0,30.0,20.0,11.0,42.04545454545455,35.0,26.25,0.0,21.11111111111111,14.0,18.571428571428573,17.073170731707318,23.88059701492537,8.0,26.45682590430729
2020-12-16,33.0,22.0,40.0,56.0,17.0,33.0,12.0,20.0,42.0,42.0,7.954545454545454,9.0,66.25,11.0,62.22222222222222,42.0,55.714285714285715,35.365853658536594,35.820895522388064,51.0,45.188020957101934
2020-12-17,45.0,81.0,73.0,72.0,70.0,83.0,72.0,54.0,88.0,100.0,100.0,76.0,55.0,66.0,100.0,100.0,58.57142857142857,100.0,50.746268656716424,90.0,100.0
