date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-10-05,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,35.0,0.0,26.0,0.0,0.0,15.48180069386692
2020-10-06,0.0,28.0,36.0,0.0,63.0,0.0,50.0,26.0,33.0,30.0,32.0,69.0,0.0,45.0,0.0,36.0,0.0,0.0,31.95876288659794,0.0,45.62665031403218
2020-10-07,58.0,0.0,71.0,43.0,32.0,34.0,25.0,26.0,64.0,59.0,32.0,35.0,59.0,44.0,91.42857142857143,69.0,24.0,26.0,0.0,0.0,75.33118284989457
2020-10-08,31.0,29.0,37.0,45.0,0.0,35.0,0.0,28.0,34.0,64.0,33.0,0.0,0.0,47.0,48.57142857142857,0.0,51.0,28.0,0.0,0.0,48.53680322796524
2020-10-09,100.0,0.0,80.0,0.0,72.0,0.0,57.0,59.0,35.0,100.0,36.0,0.0,100.0,100.0,50.0,39.0,0.0,72.0,37.11340206185567,41.0,92.98306774302843
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,2.85191065413338
2020-10-11,31.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,69.0,33.0,0.0,37.0,32.0,0.0,0.0,0.0,0.0,29.0,34.02061855670103,0.0,28.42600292891364
2020-10-12,0.0,0.0,0.0,44.0,34.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,25.0,27.0,0.0,0.0,20.248565644347
2020-10-13,0.0,0.0,0.0,46.0,0.0,36.0,0.0,0.0,0.0,0.0,34.0,36.0,32.0,0.0,0.0,0.0,0.0,28.0,0.0,39.0,23.860985806249282
2020-10-14,0.0,29.0,0.0,88.0,0.0,0.0,0.0,27.0,34.0,31.0,34.0,36.0,0.0,0.0,47.142857142857146,0.0,0.0,55.0,32.98969072164948,0.0,39.368967515939616
