date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-10-05,54.0,29.0,0.0,88.0,43.0,37.0,0.0,0.0,100.0,27.0,61.0,83.0,44.0,85.0,30.303030303030305,0.0,47.0,71.0,71.0,87.0,77.3890889493153
2020-10-06,29.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,10.105092966855295
2020-10-07,58.0,30.0,88.0,47.0,0.0,38.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,61.61616161616162,0.0,49.0,74.0,0.0,47.0,42.0869977054294
2020-10-08,59.0,0.0,0.0,47.0,92.0,0.0,0.0,32.0,52.23880597014925,29.0,31.0,0.0,90.0,45.0,32.323232323232325,50.0,100.0,38.0,38.0,0.0,59.46338223875356
2020-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.8294260307194827
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,0.0,0.0,0.0,50.0,0.0,0.0,34.0,33.0,55.223880597014926,0.0,34.0,48.0,0.0,0.0,0.0,51.0,0.0,0.0,40.0,0.0,27.908155262491103
2020-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,39.0,0.0,50.0,12.611156022635408
2020-10-13,30.0,63.0,46.0,47.0,47.0,38.0,33.0,0.0,52.23880597014925,58.0,33.0,0.0,92.0,47.0,64.64646464646465,34.0,51.0,0.0,39.0,97.0,70.48385372810138
2020-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-15,63.0,65.0,48.0,100.0,48.0,79.0,100.0,0.0,0.0,0.0,100.0,47.0,48.0,97.0,100.0,69.0,53.0,39.0,81.0,100.0,100.0
2020-10-16,100.0,100.0,100.0,0.0,100.0,83.0,36.0,0.0,58.208955223880594,62.0,72.0,100.0,100.0,100.0,70.70707070707071,0.0,55.0,0.0,41.0,51.0,99.34648552392491
2020-10-17,0.0,35.0,0.0,54.0,52.0,0.0,37.0,71.0,0.0,0.0,0.0,51.0,0.0,51.0,0.0,38.0,0.0,0.0,0.0,0.0,31.44704931285368
2020-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,8.56911883589329
2020-10-19,30.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,30.0,0.0,0.0,0.0,47.0,0.0,36.0,0.0,0.0,0.0,49.0,23.60549717057397
2020-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,7.841552142279708
2020-10-21,0.0,31.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,38.0,39.0,0.0,15.117219078415522
2020-10-22,0.0,0.0,46.0,0.0,47.0,0.0,34.0,0.0,0.0,0.0,0.0,45.0,46.0,47.0,32.323232323232325,33.0,51.0,78.0,0.0,0.0,37.132031715701885
2020-10-23,32.0,0.0,48.0,0.0,49.0,40.0,34.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,35.0,54.0,0.0,0.0,0.0,27.566693613581243
