date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-01-29,16.0,0.0,33.0,13.0,12.0,19.0,15.0,15.0,15.0,30.0,38.0,22.0,21.0,34.0,20.0,0.0,29.0,18.0,38.0,27.0,28.444139821795748
2020-01-30,0.0,0.0,0.0,28.0,12.0,20.0,0.0,0.0,0.0,0.0,20.0,22.0,0.0,18.0,0.0,17.0,31.0,0.0,20.0,14.0,13.845099383139136
2020-01-31,36.0,16.0,18.0,14.0,0.0,0.0,16.0,17.0,16.0,0.0,0.0,23.0,0.0,19.0,21.0,18.0,0.0,19.0,20.0,15.0,18.368745716244003
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,33.0,15.0,0.0,0.0,0.0,18.0,29.0,15.0,29.0,15.0,19.0,42.0,20.0,0.0,0.0,0.0,29.0,33.0,19.0,13.0,22.549691569568196
2020-02-03,45.0,28.0,0.0,0.0,43.0,69.0,70.0,43.0,40.0,42.0,53.0,20.0,0.0,31.0,54.0,30.0,69.0,48.0,34.0,38.0,51.884852638793696
2020-02-04,0.0,16.0,0.0,14.0,12.0,20.0,0.0,16.0,0.0,15.0,19.0,22.0,21.0,17.0,0.0,17.0,0.0,36.0,19.0,0.0,16.72378341329678
2020-02-05,52.0,16.0,35.0,14.0,47.0,40.0,62.0,32.0,46.0,63.0,60.0,45.0,65.0,35.0,40.0,17.0,0.0,18.0,19.0,28.0,50.308430431802606
2020-02-06,19.0,0.0,19.0,15.0,0.0,0.0,16.0,18.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,19.0,0.0,0.0,21.0,0.0,10.212474297464016
2020-02-07,19.0,17.0,37.0,0.0,13.0,21.0,17.0,17.0,32.0,0.0,0.0,47.0,0.0,38.0,21.0,38.0,34.0,0.0,44.0,15.0,28.101439342015077
2020-02-08,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,22.0,24.0,0.0,19.0,0.0,19.0,0.0,0.0,22.0,0.0,10.829335161069226
2020-02-09,17.0,31.0,68.0,42.0,24.0,38.0,60.0,32.0,15.0,31.0,20.0,44.0,43.0,17.0,20.0,17.0,61.0,36.0,0.0,14.0,43.180260452364635
2020-02-10,16.0,15.0,34.0,39.0,11.0,19.0,15.0,16.0,59.0,0.0,19.0,43.0,40.0,34.0,0.0,33.0,29.0,17.0,19.0,13.0,32.28238519533927
2020-02-11,0.0,0.0,0.0,0.0,11.0,0.0,15.0,15.0,0.0,15.0,0.0,22.0,0.0,17.0,20.0,0.0,0.0,0.0,0.0,14.0,8.841672378341329
2020-02-12,0.0,31.0,17.0,14.0,0.0,19.0,0.0,16.0,15.0,0.0,19.0,22.0,42.0,35.0,19.0,0.0,31.0,35.0,0.0,14.0,22.549691569568196
2020-02-13,52.0,15.0,34.0,14.0,24.0,39.0,31.0,16.0,15.0,15.0,59.0,22.0,21.0,17.0,39.0,17.0,46.0,18.0,39.0,14.0,37.49143248800548
2020-02-14,35.0,31.0,17.0,14.0,24.0,19.0,0.0,65.0,15.0,0.0,0.0,68.0,0.0,18.0,40.0,35.0,31.0,55.0,0.0,27.0,33.85880740233036
2020-02-15,18.0,0.0,19.0,15.0,25.0,21.0,17.0,0.0,0.0,16.0,22.0,0.0,23.0,0.0,21.0,0.0,0.0,20.0,21.0,15.0,17.340644276901987
2020-02-16,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.289924605894448
2020-02-17,32.0,15.0,0.0,13.0,0.0,0.0,30.0,15.0,14.0,29.0,0.0,0.0,0.0,0.0,0.0,17.0,29.0,0.0,0.0,0.0,13.29677861549006
2020-02-18,0.0,30.0,17.0,26.0,0.0,0.0,0.0,15.0,14.0,15.0,19.0,0.0,20.0,0.0,0.0,17.0,0.0,0.0,19.0,13.0,14.050719671007538
2020-02-19,0.0,15.0,49.0,39.0,33.0,37.0,44.0,29.0,28.0,43.0,37.0,83.0,80.0,16.0,57.0,16.0,14.0,51.0,0.0,39.0,48.66346812885538
2020-02-20,17.0,16.0,35.0,0.0,37.0,20.0,48.0,33.0,15.0,31.0,0.0,22.0,21.0,55.0,62.0,18.0,16.0,37.0,59.0,14.0,38.10829335161069
2020-02-21,0.0,0.0,18.0,0.0,12.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.152844413982179
2020-02-22,0.0,17.0,37.0,0.0,0.0,21.0,17.0,0.0,16.0,0.0,21.0,24.0,23.0,0.0,21.0,0.0,17.0,38.0,42.0,30.0,22.206991089787525
2020-02-23,18.0,32.0,35.0,14.0,0.0,40.0,0.0,16.0,0.0,16.0,0.0,23.0,22.0,18.0,41.0,0.0,0.0,18.0,0.0,0.0,20.08224811514736
2020-02-24,17.0,15.0,17.0,13.0,12.0,19.0,0.0,15.0,0.0,0.0,19.0,0.0,21.0,17.0,20.0,0.0,15.0,0.0,0.0,0.0,13.708019191226867
2020-02-25,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,17.0,0.0,13.0,7.5394105551747765
2020-02-26,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,13.0,3.701165181631254
2020-02-27,65.0,30.0,32.0,51.0,11.0,36.0,45.0,45.0,28.0,86.0,56.0,84.0,60.0,33.0,0.0,33.0,59.0,69.0,54.0,13.0,61.00068540095956
2020-02-28,18.0,0.0,18.0,0.0,0.0,20.0,0.0,33.0,15.0,15.0,0.0,45.0,21.0,18.0,0.0,17.0,16.0,0.0,20.0,0.0,17.54626456477039
2020-02-29,17.0,16.0,0.0,28.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,17.0,30.0,0.0,20.0,14.0,13.365318711446195
2020-03-01,35.0,32.0,0.0,0.0,12.0,20.0,16.0,16.0,30.0,31.0,40.0,23.0,22.0,36.0,41.0,17.0,15.0,0.0,20.0,14.0,28.786840301576422
2020-03-02,16.0,15.0,16.0,13.0,11.0,18.0,0.0,15.0,14.0,29.0,55.0,0.0,40.0,32.0,19.0,16.0,14.0,0.0,18.0,13.0,24.263193968471555
2020-03-03,100.0,31.0,17.0,28.0,12.0,76.0,30.0,16.0,58.0,0.0,20.0,44.0,42.0,17.0,79.0,50.0,45.0,17.0,58.0,41.0,53.52981494174091
2020-03-04,0.0,15.0,18.0,0.0,12.0,20.0,32.0,48.0,30.0,31.0,0.0,23.0,0.0,73.0,21.0,18.0,48.0,56.0,20.0,14.0,32.83070596298835
2020-03-05,49.0,15.0,65.0,26.0,11.0,0.0,29.0,31.0,14.0,29.0,37.0,41.0,20.0,51.0,57.0,33.0,59.0,100.0,56.0,13.0,50.44551062371487
2020-03-06,49.0,60.0,17.0,13.0,11.0,39.0,30.0,15.0,29.0,29.0,0.0,64.0,0.0,17.0,19.0,17.0,15.0,17.0,38.0,0.0,32.83070596298835
2020-03-07,36.0,34.0,36.0,42.0,25.0,82.0,0.0,68.0,48.0,16.0,21.0,23.0,44.0,36.0,63.0,0.0,48.0,57.0,20.0,29.0,49.89718985606579
2020-03-08,17.0,46.0,34.0,0.0,12.0,59.0,48.0,64.0,15.0,15.0,0.0,22.0,43.0,18.0,40.0,17.0,16.0,18.0,40.0,27.0,37.765592871830016
2020-03-09,16.0,29.0,63.0,12.0,22.0,36.0,14.0,45.0,0.0,14.0,37.0,42.0,19.0,33.0,0.0,47.0,28.0,49.0,17.0,13.0,36.73749143248801
2020-03-10,33.0,59.0,33.0,38.0,0.0,94.0,30.0,31.0,43.0,0.0,38.0,63.0,84.0,51.0,58.0,33.0,89.0,0.0,55.0,40.0,59.76696367374914
2020-03-11,16.0,45.0,99.0,53.0,45.0,37.0,45.0,15.0,57.0,44.0,37.0,21.0,80.0,83.0,38.0,17.0,60.0,35.0,57.0,26.0,62.371487320082245
2020-03-12,16.0,15.0,67.0,26.0,0.0,57.0,45.0,16.0,30.0,0.0,55.0,21.0,21.0,17.0,56.0,50.0,30.0,68.0,19.0,40.0,44.48252227553119
2020-03-13,72.0,49.0,90.0,97.0,25.0,100.0,81.0,100.0,78.0,0.0,81.0,92.0,22.0,37.0,84.0,89.0,80.0,57.0,100.0,100.0,98.28649760109664
2020-03-14,35.0,48.0,36.0,14.0,50.0,40.0,79.0,0.0,31.0,47.0,41.0,66.0,43.0,71.0,40.0,54.0,31.0,74.0,82.0,28.0,62.371487320082245
