date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,51.666666666666664,0.0,97.0,0.0,0.0,0.0,0.0,49.18032786885246,31.666963491565976
2020-12-30,94.0,52.0,51.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,87.27272727272727,0.0,0.0,0.0,54.651162790697676,0.0,0.0,34.0,0.0,45.284043566925384
2020-12-31,0.0,0.0,0.0,95.0,0.0,100.0,0.0,56.0,0.0,0.0,0.0,92.72727272727273,0.0,0.0,0.0,60.46511627906977,55.0,0.0,0.0,0.0,48.821135969309665
2021-01-01,0.0,59.0,0.0,100.0,63.0,0.0,0.0,59.0,0.0,0.0,0.0,100.0,60.0,61.666666666666664,0.0,63.95348837209303,0.0,62.0,0.0,0.0,66.8346226918232
2021-01-02,0.0,54.0,0.0,91.0,0.0,98.0,0.0,54.0,0.0,54.0,53.0,0.0,0.0,0.0,100.0,55.81395348837209,0.0,0.0,0.0,0.0,59.51917713600238
2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,0.0,49.0,0.0,0.0,0.0,0.0,0.0,52.0,94.6236559139785,51.0,50.0,0.0,0.0,51.666666666666664,95.0,0.0,51.0,0.0,33.0,0.0,56.06127878059247
2021-01-09,0.0,52.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,87.27272727272727,51.666666666666664,0.0,0.0,0.0,0.0,0.0,34.0,0.0,29.656715583158068
2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.97674418604651,53.0,55.0,0.0,0.0,23.28151262514948
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,90.0,0.0,49.0,0.0,53.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,50.0,0.0,93.0,52.325581395348834,0.0,0.0,33.0,0.0,55.32079051349771
2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-16,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,100.0,0.0,0.0,90.9090909090909,0.0,55.0,0.0,0.0,0.0,55.0,36.0,54.09836065573771,51.88474094363466
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
