date,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-01-29,18.0,23.0,30.0,0.0,50.0,27.0,28.0,0.0,0.0,0.0,57.0,31.0,21.0,54.0,25.0,0.0,23.0,42.0,26.0,24.0,34.460431654676256
2020-01-30,0.0,0.0,0.0,29.0,0.0,54.0,29.0,32.0,26.0,22.0,30.0,32.0,0.0,0.0,26.0,0.0,0.0,21.0,28.0,25.0,25.467625899280577
2020-01-31,19.0,25.0,0.0,0.0,0.0,29.0,30.0,34.0,0.0,0.0,31.0,0.0,0.0,29.0,0.0,0.0,0.0,23.0,28.0,26.0,19.712230215827336
2020-02-01,0.0,24.0,0.0,0.0,51.0,28.0,29.0,0.0,0.0,0.0,0.0,64.0,22.0,0.0,26.0,44.0,24.0,22.0,0.0,0.0,24.028776978417266
2020-02-02,0.0,0.0,30.0,0.0,24.0,26.0,0.0,0.0,0.0,21.0,28.0,0.0,21.0,53.0,24.0,20.0,23.0,0.0,26.0,24.0,23.02158273381295
2020-02-03,16.0,21.0,28.0,25.0,0.0,48.0,38.0,29.0,0.0,39.0,27.0,0.0,19.0,25.0,23.0,19.0,43.0,0.0,0.0,0.0,28.776978417266186
2020-02-04,37.0,0.0,63.0,0.0,0.0,0.0,29.0,31.0,25.0,0.0,29.0,62.0,42.0,0.0,25.0,42.0,49.0,42.0,54.0,50.0,41.726618705035975
2020-02-05,0.0,0.0,0.0,58.0,0.0,0.0,28.0,0.0,51.0,22.0,30.0,32.0,22.0,28.0,51.0,22.0,24.0,43.0,0.0,25.0,31.366906474820144
2020-02-06,20.0,0.0,34.0,0.0,0.0,0.0,30.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,58.0,0.0,13.597122302158272
2020-02-07,20.0,26.0,34.0,32.0,28.0,30.0,0.0,0.0,27.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,54.0,22.66187050359712
2020-02-08,0.0,26.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.388489208633094
2020-02-09,18.0,71.0,31.0,29.0,76.0,81.0,56.0,65.0,25.0,22.0,0.0,0.0,22.0,28.0,25.0,0.0,24.0,21.0,27.0,0.0,44.67625899280576
2020-02-10,0.0,23.0,0.0,28.0,0.0,0.0,0.0,0.0,25.0,21.0,28.0,0.0,62.0,0.0,49.0,42.0,46.0,41.0,79.0,24.0,33.669064748201436
2020-02-11,36.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,31.0,21.0,27.0,25.0,0.0,23.0,21.0,26.0,24.0,22.086330935251798
2020-02-12,18.0,23.0,31.0,55.0,48.0,51.0,41.0,0.0,50.0,22.0,0.0,31.0,21.0,27.0,25.0,21.0,0.0,21.0,28.0,0.0,36.906474820143885
2020-02-13,0.0,47.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,30.0,0.0,0.0,0.0,25.0,0.0,24.0,21.0,27.0,0.0,17.194244604316548
2020-02-14,19.0,0.0,0.0,30.0,0.0,0.0,56.0,33.0,0.0,0.0,31.0,0.0,45.0,56.0,25.0,66.0,24.0,22.0,56.0,49.0,36.83453237410072
2020-02-15,0.0,26.0,0.0,0.0,0.0,30.0,31.0,0.0,0.0,0.0,32.0,0.0,0.0,31.0,27.0,24.0,25.0,0.0,0.0,27.0,18.201438848920862
2020-02-16,19.0,24.0,31.0,28.0,0.0,0.0,42.0,64.0,50.0,43.0,30.0,30.0,0.0,28.0,0.0,21.0,49.0,21.0,28.0,25.0,38.34532374100719
2020-02-17,17.0,0.0,60.0,0.0,24.0,25.0,54.0,0.0,0.0,20.0,28.0,59.0,21.0,0.0,72.0,0.0,23.0,20.0,0.0,48.0,33.884892086330936
2020-02-18,0.0,23.0,30.0,28.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,21.0,26.0,24.0,17.841726618705035
2020-02-19,0.0,0.0,59.0,0.0,0.0,0.0,27.0,0.0,24.0,0.0,28.0,29.0,21.0,26.0,0.0,0.0,0.0,20.0,25.0,23.0,20.287769784172664
2020-02-20,38.0,0.0,0.0,29.0,26.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,22.0,29.0,0.0,0.0,24.0,22.0,0.0,25.0,19.568345323741006
2020-02-21,20.0,0.0,33.0,0.0,0.0,0.0,30.0,0.0,53.0,0.0,30.0,0.0,0.0,0.0,53.0,22.0,26.0,0.0,0.0,26.0,21.07913669064748
2020-02-22,0.0,26.0,0.0,0.0,0.0,30.0,32.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43884892086331
2020-02-23,0.0,49.0,32.0,59.0,27.0,58.0,87.0,66.0,0.0,22.0,30.0,0.0,45.0,0.0,26.0,23.0,49.0,22.0,28.0,0.0,44.82014388489208
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,24.0,21.0,58.0,30.0,0.0,28.0,0.0,0.0,0.0,42.0,54.0,24.0,24.244604316546766
2020-02-25,18.0,23.0,30.0,0.0,24.0,25.0,26.0,29.0,0.0,20.0,28.0,28.0,20.0,26.0,24.0,20.0,0.0,40.0,0.0,23.0,29.06474820143885
2020-02-26,17.0,0.0,0.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,6.402877697841727
2020-02-27,0.0,0.0,30.0,26.0,0.0,26.0,0.0,31.0,24.0,40.0,28.0,0.0,41.0,26.0,0.0,21.0,45.0,20.0,25.0,23.0,29.20863309352518
2020-02-28,0.0,25.0,0.0,30.0,26.0,28.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.37410071942446
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,28.0,32.0,25.0,22.0,0.0,0.0,44.0,0.0,26.0,0.0,23.0,21.0,0.0,0.0,15.899280575539569
2020-03-01,19.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,26.0,22.0,0.0,32.0,0.0,29.0,26.0,22.0,48.0,0.0,0.0,25.0,20.0
2020-03-02,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,28.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,7.76978417266187
2020-03-03,18.0,24.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,21.0,23.0,0.0,27.0,25.0,14.388489208633093
2020-03-04,19.0,23.0,32.0,0.0,0.0,27.0,58.0,0.0,26.0,0.0,29.0,32.0,45.0,0.0,27.0,22.0,25.0,22.0,29.0,0.0,29.928057553956833
2020-03-05,0.0,23.0,0.0,53.0,0.0,0.0,27.0,61.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,24.0,16.906474820143885
2020-03-06,18.0,0.0,30.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,25.0,0.0,23.0,0.0,0.0,25.0,12.733812949640289
2020-03-07,0.0,100.0,33.0,29.0,53.0,85.0,60.0,100.0,0.0,0.0,31.0,0.0,23.0,29.0,0.0,23.0,25.0,0.0,0.0,26.0,44.388489208633096
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,17.0,22.0,29.0,27.0,48.0,0.0,26.0,0.0,0.0,20.0,28.0,0.0,0.0,26.0,0.0,0.0,22.0,0.0,24.0,23.0,22.446043165467625
2020-03-10,0.0,0.0,61.0,27.0,24.0,0.0,28.0,0.0,48.0,20.0,57.0,29.0,0.0,54.0,24.0,42.0,69.0,0.0,0.0,48.0,38.201438848920866
2020-03-11,0.0,0.0,30.0,0.0,25.0,26.0,28.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,24.0,21.0,23.0,21.0,0.0,0.0,15.683453237410072
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,4.676258992805756
2020-03-13,20.0,0.0,66.0,29.0,27.0,0.0,59.0,0.0,26.0,67.0,31.0,32.0,23.0,88.0,27.0,45.0,49.0,0.0,0.0,77.0,47.9136690647482
2020-03-14,0.0,73.0,65.0,58.0,52.0,85.0,44.0,97.0,0.0,44.0,0.0,31.0,0.0,56.0,25.0,45.0,24.0,0.0,29.0,25.0,54.172661870503596
2020-03-15,52.0,44.0,29.0,53.0,24.0,26.0,27.0,0.0,24.0,40.0,27.0,30.0,20.0,77.0,72.0,62.0,22.0,40.0,25.0,0.0,49.92805755395684
2020-03-16,47.0,21.0,79.0,0.0,21.0,0.0,95.0,27.0,85.0,36.0,100.0,77.0,18.0,24.0,64.0,54.0,39.0,53.0,69.0,83.0,71.36690647482014
2020-03-17,0.0,0.0,27.0,23.0,20.0,22.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.913669064748201
2020-03-18,16.0,21.0,27.0,25.0,43.0,47.0,49.0,0.0,22.0,0.0,25.0,0.0,18.0,24.0,21.0,37.0,0.0,0.0,23.0,86.0,34.82014388489208
2020-03-19,100.0,65.0,29.0,100.0,91.0,24.0,88.0,86.0,23.0,38.0,54.0,56.0,58.0,100.0,89.0,39.0,88.0,19.0,73.0,22.0,89.35251798561151
2020-03-20,0.0,80.0,54.0,24.0,22.0,45.0,60.0,0.0,22.0,36.0,26.0,0.0,0.0,24.0,66.0,36.0,20.0,36.0,0.0,42.0,42.66187050359712
2020-03-21,52.0,22.0,87.0,53.0,46.0,97.0,52.0,87.0,0.0,100.0,81.0,56.0,100.0,51.0,69.0,100.0,67.0,100.0,100.0,70.0,100.0
2020-03-22,51.0,21.0,29.0,26.0,0.0,73.0,78.0,29.0,46.0,58.0,27.0,55.0,60.0,76.0,45.0,0.0,22.0,59.0,74.0,46.0,62.94964028776978
2020-03-23,13.0,53.0,70.0,62.0,55.0,100.0,52.0,70.0,75.0,32.0,22.0,91.0,16.0,62.0,56.0,31.0,69.0,62.0,39.0,18.0,75.39568345323741
2020-03-24,29.0,38.0,76.0,46.0,20.0,43.0,57.0,26.0,61.0,0.0,24.0,0.0,17.0,0.0,61.0,18.0,75.0,68.0,0.0,0.0,47.41007194244605
2020-03-25,15.0,0.0,51.0,44.0,40.0,87.0,23.0,51.0,21.0,34.0,24.0,0.0,17.0,22.0,40.0,17.0,38.0,34.0,0.0,20.0,41.58273381294964
2020-03-26,30.0,20.0,77.0,0.0,0.0,22.0,47.0,27.0,21.0,18.0,24.0,25.0,36.0,91.0,85.0,89.0,39.0,52.0,45.0,60.0,58.1294964028777
2020-03-27,45.0,38.0,100.0,22.0,100.0,42.0,100.0,76.0,100.0,17.0,95.0,75.0,52.0,69.0,100.0,35.0,38.0,68.0,44.0,100.0,94.67625899280576
2020-03-28,34.0,21.0,0.0,51.0,23.0,48.0,65.0,29.0,69.0,60.0,54.0,85.0,59.0,0.0,46.0,40.0,44.0,0.0,50.0,46.0,59.280575539568346
2020-03-29,16.0,85.0,54.0,75.0,0.0,46.0,61.0,84.0,0.0,18.0,51.0,80.0,37.0,24.0,44.0,18.0,40.0,0.0,24.0,21.0,55.97122302158273
2020-03-30,14.0,19.0,49.0,22.0,20.0,21.0,33.0,0.0,20.0,33.0,0.0,24.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,19.0,21.294964028776977
2020-03-31,29.0,19.0,49.0,22.0,80.0,22.0,22.0,25.0,20.0,33.0,46.0,49.0,0.0,22.0,0.0,34.0,0.0,17.0,21.0,39.0,39.49640287769784
2020-04-01,15.0,0.0,52.0,0.0,0.0,44.0,58.0,51.0,41.0,34.0,24.0,100.0,18.0,22.0,21.0,36.0,19.0,35.0,0.0,0.0,41.007194244604314
2020-04-02,0.0,20.0,50.0,47.0,0.0,44.0,46.0,0.0,42.0,0.0,24.0,76.0,18.0,23.0,62.0,18.0,19.0,0.0,44.0,41.0,41.29496402877698
2020-04-03,31.0,0.0,26.0,23.0,42.0,68.0,35.0,26.0,21.0,55.0,0.0,78.0,18.0,23.0,21.0,18.0,20.0,18.0,46.0,20.0,42.37410071942446
2020-04-04,53.0,22.0,30.0,27.0,71.0,26.0,27.0,31.0,48.0,20.0,55.0,59.0,0.0,79.0,24.0,62.0,44.0,20.0,78.0,47.0,59.20863309352518
2020-04-05,18.0,68.0,29.0,27.0,24.0,26.0,56.0,0.0,0.0,41.0,57.0,29.0,41.0,80.0,49.0,41.0,23.0,42.0,52.0,0.0,50.57553956834533
2020-04-06,15.0,38.0,25.0,23.0,19.0,21.0,33.0,25.0,0.0,50.0,23.0,0.0,17.0,0.0,20.0,34.0,56.0,17.0,21.0,19.0,32.805755395683455
2020-04-07,31.0,58.0,100.0,46.0,21.0,44.0,23.0,26.0,40.0,0.0,48.0,0.0,35.0,45.0,20.0,70.0,38.0,51.0,66.0,40.0,57.697841726618705
2020-04-08,15.0,40.0,26.0,0.0,22.0,0.0,48.0,0.0,63.0,0.0,0.0,25.0,18.0,47.0,21.0,0.0,19.0,52.0,46.0,63.0,36.330935251798564
2020-04-09,0.0,0.0,0.0,47.0,63.0,22.0,23.0,53.0,21.0,17.0,24.0,26.0,36.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,27.050359712230215
2020-04-10,15.0,40.0,79.0,24.0,0.0,46.0,24.0,27.0,63.0,18.0,74.0,0.0,55.0,46.0,63.0,72.0,100.0,17.0,23.0,21.0,58.05755395683453
2020-04-11,18.0,22.0,0.0,26.0,0.0,25.0,39.0,30.0,24.0,0.0,0.0,58.0,0.0,0.0,0.0,20.0,22.0,20.0,26.0,0.0,23.741007194244606
2020-04-12,17.0,23.0,0.0,26.0,24.0,26.0,27.0,30.0,0.0,20.0,0.0,29.0,20.0,0.0,0.0,0.0,0.0,39.0,50.0,23.0,25.467625899280577
2020-04-13,17.0,42.0,28.0,75.0,45.0,0.0,37.0,85.0,22.0,0.0,26.0,28.0,19.0,0.0,22.0,0.0,0.0,19.0,0.0,0.0,33.45323741007194
2020-04-14,15.0,37.0,25.0,22.0,40.0,0.0,22.0,25.0,0.0,34.0,0.0,0.0,34.0,44.0,20.0,0.0,19.0,34.0,21.0,0.0,28.201438848920866
2020-04-15,0.0,20.0,0.0,0.0,42.0,0.0,24.0,0.0,21.0,0.0,25.0,26.0,0.0,23.0,65.0,36.0,19.0,18.0,23.0,21.0,26.11510791366906
2020-04-16,0.0,0.0,0.0,23.0,0.0,0.0,23.0,26.0,0.0,0.0,0.0,0.0,18.0,23.0,21.0,18.0,0.0,0.0,22.0,0.0,12.51798561151079
2020-04-17,15.0,20.0,0.0,24.0,0.0,0.0,24.0,55.0,20.0,0.0,24.0,0.0,18.0,0.0,21.0,18.0,0.0,0.0,23.0,21.0,20.359712230215827
2020-04-18,17.0,22.0,0.0,0.0,0.0,25.0,26.0,30.0,69.0,40.0,55.0,29.0,20.0,26.0,23.0,40.0,21.0,19.0,49.0,46.0,40.07194244604317
2020-04-19,17.0,21.0,55.0,0.0,46.0,0.0,50.0,29.0,23.0,19.0,27.0,27.0,0.0,25.0,23.0,20.0,43.0,19.0,25.0,45.0,36.97841726618705
