,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-11-14,64.0,89.0,80.0,89.69072164948453,85.3932584269663,78.16091954022988,82.55813953488372,77.01149425287356,76.40449438202248,91.76470588235294,62.62626262626262,83.14606741573034,79.54545454545455,65.88235294117646,74.66666666666667,77.77777777777777,87.87878787878788,82.75862068965517,82.14285714285714,88.23529411764706,81.31213043108286
2020-11-15,72.0,84.0,89.47368421052632,83.50515463917526,76.40449438202248,91.95402298850574,84.88372093023256,75.86206896551724,91.01123595505618,89.41176470588235,82.82828282828282,74.15730337078652,81.81818181818181,70.58823529411765,85.33333333333333,75.55555555555556,96.96969696969697,79.3103448275862,94.64285714285714,82.3529411764706,84.5378233909239
2020-11-16,65.0,77.0,73.6842105263158,91.75257731958763,82.02247191011236,80.45977011494253,82.55813953488372,83.9080459770115,73.03370786516854,77.6470588235294,57.57575757575758,73.03370786516854,67.04545454545455,69.41176470588235,72.0,72.22222222222223,71.21212121212122,79.3103448275862,76.78571428571429,83.82352941176471,76.77730674269488
2020-11-17,79.0,92.0,95.78947368421052,98.96907216494846,100.0,86.20689655172414,84.88372093023256,96.55172413793103,85.3932584269663,90.58823529411765,80.8080808080808,100.0,81.81818181818181,92.94117647058823,88.0,90.0,84.84848484848484,91.37931034482759,100.0,95.58823529411765,92.30478396358552
2020-11-18,52.0,69.0,72.63157894736842,87.62886597938144,56.17977528089887,59.770114942528735,66.27906976744185,67.816091954023,68.53932584269663,62.35294117647059,63.63636363636363,69.66292134831461,56.81818181818182,56.470588235294116,66.66666666666667,82.22222222222223,84.84848484848484,68.96551724137932,78.57142857142857,72.05882352941177,69.2817183369693
2020-11-19,74.0,67.0,68.42105263157895,72.16494845360825,66.29213483146067,63.2183908045977,75.5813953488372,65.51724137931035,74.15730337078652,90.58823529411765,52.525252525252526,66.29213483146067,69.31818181818181,57.64705882352941,72.0,62.22222222222222,60.60606060606061,74.13793103448276,73.21428571428571,58.8235294117647,69.36352654717551
2020-11-20,54.0,68.0,64.21052631578948,78.35051546391753,60.674157303370784,62.06896551724138,63.95348837209303,58.62068965517241,55.056179775280896,71.76470588235294,49.494949494949495,64.04494382022472,63.63636363636363,52.94117647058823,77.33333333333333,65.55555555555556,69.6969696969697,79.3103448275862,69.64285714285714,76.47058823529412,66.3676312011333
2020-11-21,76.0,66.0,82.10526315789474,68.04123711340206,67.41573033707866,60.91954022988506,72.09302325581395,67.816091954023,69.66292134831461,71.76470588235294,67.67676767676768,62.92134831460674,72.72727272727273,68.23529411764706,84.0,61.111111111111114,74.24242424242425,91.37931034482759,80.35714285714286,70.58823529411765,72.99160113061139
2020-11-22,59.0,53.0,68.42105263157895,78.35051546391753,64.04494382022472,58.62068965517241,76.74418604651163,56.32183908045977,68.53932584269663,76.47058823529412,59.5959595959596,70.78651685393258,54.54545454545455,54.11764705882353,76.0,64.44444444444444,65.15151515151516,63.793103448275865,64.28571428571429,83.82352941176471,66.93886121855346
2020-11-23,58.0,66.0,72.63157894736842,70.10309278350516,60.674157303370784,57.47126436781609,67.44186046511628,64.36781609195403,55.056179775280896,67.05882352941177,57.57575757575758,73.03370786516854,67.04545454545455,55.294117647058826,66.66666666666667,56.666666666666664,68.18181818181819,67.24137931034483,67.85714285714286,63.23529411764706,65.1864082434255
2020-11-24,54.0,57.0,80.0,58.76288659793814,70.78651685393258,67.816091954023,72.09302325581395,75.86206896551724,65.1685393258427,68.23529411764706,49.494949494949495,62.92134831460674,70.45454545454545,67.05882352941177,62.666666666666664,56.666666666666664,60.60606060606061,65.51724137931035,80.35714285714286,54.411764705882355,66.11602727892964
2020-11-25,50.0,57.0,65.26315789473684,61.855670103092784,64.04494382022472,55.172413793103445,70.93023255813954,66.66666666666667,53.93258426966292,68.23529411764706,51.515151515151516,46.06741573033708,47.72727272727273,57.64705882352941,54.666666666666664,53.333333333333336,51.515151515151516,62.06896551724138,60.714285714285715,64.70588235294117,59.15705333569526
2020-11-26,47.0,45.0,48.421052631578945,75.25773195876289,65.1685393258427,62.06896551724138,52.325581395348834,47.12643678160919,52.80898876404494,58.8235294117647,58.58585858585859,49.438202247191015,57.95454545454545,55.294117647058826,58.666666666666664,52.22222222222222,51.515151515151516,60.3448275862069,53.57142857142857,63.23529411764706,56.70376865259804
2020-11-27,46.0,53.0,50.526315789473685,55.670103092783506,49.438202247191015,48.275862068965516,53.48837209302326,52.87356321839081,42.69662921348315,54.11764705882353,47.474747474747474,43.82022471910113,52.27272727272727,44.705882352941174,54.666666666666664,45.55555555555556,46.96969696969697,43.10344827586207,50.0,54.411764705882355,50.3071255465108
2020-11-28,45.0,65.0,58.94736842105263,50.51546391752577,57.30337078651685,55.172413793103445,58.13953488372093,57.47126436781609,48.31460674157304,58.8235294117647,53.535353535353536,55.056179775280896,50.0,52.94117647058823,65.33333333333333,40.0,40.90909090909091,67.24137931034483,58.92857142857143,52.94117647058823,55.52092849753508
2020-11-29,52.0,50.0,66.3157894736842,73.19587628865979,62.92134831460674,55.172413793103445,61.627906976744185,55.172413793103445,57.30337078651685,62.35294117647059,51.515151515151516,61.79775280898876,51.13636363636363,50.588235294117645,60.0,61.111111111111114,59.09090909090909,53.44827586206897,64.28571428571429,72.05882352941177,60.07423116164957
2020-11-30,45.0,52.0,62.10526315789474,54.63917525773196,56.17977528089887,55.172413793103445,54.651162790697676,43.67816091954023,60.674157303370784,45.88235294117647,50.505050505050505,48.31460674157304,47.72727272727273,54.11764705882353,41.333333333333336,47.77777777777778,46.96969696969697,51.724137931034484,62.5,58.8235294117647,52.88630163515491
2020-12-01,44.0,67.0,63.1578947368421,61.855670103092784,71.91011235955057,62.06896551724138,55.81395348837209,56.32183908045977,64.04494382022472,72.94117647058823,48.484848484848484,42.69662921348315,53.40909090909091,57.64705882352941,46.666666666666664,48.888888888888886,56.06060606060606,60.3448275862069,58.92857142857143,50.0,58.09806115523241
2020-12-02,41.0,42.0,56.8421052631579,54.63917525773196,52.80898876404494,37.93103448275862,53.48837209302326,49.42528735632184,48.31460674157304,54.11764705882353,45.45454545454545,53.93258426966292,50.0,48.23529411764706,46.666666666666664,54.44444444444444,46.96969696969697,58.62068965517241,46.42857142857143,45.588235294117645,50.19728834199026
2020-12-03,50.0,56.0,73.6842105263158,59.79381443298969,61.79775280898876,56.32183908045977,60.46511627906977,60.91954022988506,58.42696629213483,51.76470588235294,46.464646464646464,51.68539325842696,44.31818181818182,48.23529411764706,61.333333333333336,56.666666666666664,46.96969696969697,63.793103448275865,64.28571428571429,54.411764705882355,57.339995986664924
