,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-11-18,45.0,42.0,21.0,15.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,16.0,56.17977528089887,31.147540983606557,0.0,33.69565217391305,0.0,20.0,63.0,27.845603014043878
2020-11-19,30.0,41.0,0.0,30.0,20.0,22.0,21.0,0.0,30.0,41.48936170212766,21.428571428571427,23.529411764705884,0.0,56.17977528089887,95.08196721311475,22.0,16.304347826086957,0.0,39.0,31.0,41.53603790423292
2020-11-20,0.0,22.0,85.0,31.0,0.0,22.0,66.0,19.0,31.0,63.829787234042556,21.428571428571427,0.0,32.0,19.10112359550562,32.78688524590164,67.0,17.391304347826086,0.0,61.0,32.0,47.883527795066954
2020-11-21,100.0,92.0,0.0,100.0,23.0,24.0,71.0,63.0,66.0,23.404255319148938,68.57142857142857,25.88235294117647,35.0,41.57303370786517,68.85245901639344,73.0,0.0,56.36363636363637,65.0,35.0,79.3508697988828
2020-11-22,0.0,23.0,0.0,34.0,23.0,0.0,24.0,21.0,0.0,23.404255319148938,0.0,25.88235294117647,0.0,21.348314606741575,34.42622950819672,0.0,18.47826086956522,29.09090909090909,43.0,17.0,25.969401780826146
2020-11-23,45.0,31.0,20.0,15.0,20.0,0.0,21.0,0.0,0.0,41.48936170212766,21.428571428571427,23.529411764705884,0.0,38.20224719101124,0.0,44.0,0.0,25.454545454545453,20.0,16.0,29.39017977197524
2020-11-24,30.0,40.0,20.0,0.0,0.0,21.0,21.0,0.0,0.0,20.21276595744681,20.0,0.0,15.0,55.056179775280896,31.147540983606557,22.0,32.608695652173914,0.0,57.0,15.0,30.768606953038564
2020-11-25,0.0,40.0,0.0,15.0,39.0,42.0,41.0,0.0,15.0,59.57446808510638,40.0,23.529411764705884,30.0,35.95505617977528,0.0,0.0,31.52173913043478,0.0,19.0,0.0,33.19575053725701
2020-11-26,0.0,61.0,20.0,15.0,40.0,21.0,84.0,37.0,30.0,60.638297872340424,0.0,47.05882352941177,16.0,37.07865168539326,31.147540983606557,0.0,33.69565217391305,25.454545454545453,58.0,31.0,49.84765969003215
2020-11-27,15.0,20.0,80.0,30.0,60.0,0.0,42.0,56.0,29.0,20.21276595744681,61.42857142857143,23.529411764705884,46.0,37.07865168539326,0.0,65.0,32.608695652173914,76.36363636363636,19.0,31.0,57.243061170423246
2020-11-28,32.0,22.0,44.0,16.0,22.0,71.0,23.0,20.0,32.0,22.340425531914892,22.857142857142858,0.0,17.0,40.449438202247194,0.0,24.0,0.0,27.272727272727273,0.0,17.0,34.83707998087853
2020-11-29,32.0,22.0,22.0,17.0,22.0,0.0,23.0,61.0,49.0,22.340425531914892,22.857142857142858,25.88235294117647,0.0,40.449438202247194,0.0,48.0,18.47826086956522,56.36363636363637,42.0,17.0,41.64047702314642
2020-11-30,29.0,40.0,0.0,29.0,0.0,42.0,20.0,18.0,15.0,39.361702127659576,60.0,68.23529411764706,46.0,37.07865168539326,29.508196721311474,0.0,48.91304347826087,25.454545454545453,57.0,30.0,48.807586402079096
2020-12-01,15.0,50.0,20.0,15.0,39.0,21.0,21.0,0.0,15.0,0.0,0.0,0.0,15.0,35.95505617977528,0.0,21.0,48.91304347826087,0.0,38.0,61.0,31.987191473604884
2020-12-02,58.0,100.0,59.0,0.0,20.0,83.0,41.0,55.0,0.0,0.0,20.0,23.529411764705884,30.0,35.95505617977528,60.65573770491803,21.0,95.65217391304348,25.454545454545453,37.0,75.0,64.62899967015241
2020-12-03,43.0,60.0,78.0,0.0,59.0,42.0,41.0,54.0,100.0,78.72340425531915,20.0,68.23529411764706,30.0,17.97752808988764,60.65573770491803,84.0,16.304347826086957,0.0,38.0,60.0,73.13978260968672
2020-12-04,29.0,40.0,20.0,44.0,39.0,42.0,21.0,18.0,15.0,20.21276595744681,61.42857142857143,91.76470588235294,15.0,53.93258426966292,31.147540983606557,21.0,64.1304347826087,74.54545454545455,37.0,15.0,57.930721242872366
2020-12-05,31.0,22.0,22.0,32.0,0.0,47.0,0.0,20.0,16.0,43.61702127659574,0.0,25.88235294117647,33.0,97.75280898876404,32.78688524590164,0.0,17.391304347826086,27.272727272727273,62.0,66.0,45.81950175818582
2020-12-06,16.0,45.0,0.0,33.0,0.0,23.0,23.0,20.0,0.0,22.340425531914892,22.857142857142858,0.0,17.0,20.224719101123597,0.0,0.0,35.869565217391305,0.0,0.0,0.0,21.40528399610648
2020-12-07,29.0,20.0,79.0,44.0,59.0,63.0,61.0,91.0,14.0,100.0,80.0,23.529411764705884,60.0,35.95505617977528,91.80327868852459,43.0,64.1304347826087,74.54545454545455,75.0,61.0,89.91279610028998
2020-12-08,29.0,20.0,20.0,0.0,20.0,0.0,41.0,18.0,0.0,40.42553191489362,0.0,68.23529411764706,61.0,53.93258426966292,62.295081967213115,21.0,31.52173913043478,25.454545454545453,37.0,0.0,42.21685367258429
2020-12-09,0.0,50.0,78.0,44.0,78.0,63.0,41.0,36.0,29.0,78.72340425531915,100.0,68.23529411764706,15.0,17.97752808988764,60.65573770491803,63.0,0.0,74.54545454545455,18.0,0.0,70.38932743605751
2020-12-10,15.0,61.0,100.0,59.0,59.0,85.0,0.0,91.0,58.0,40.42553191489362,61.42857142857143,92.94117647058823,61.0,35.95505617977528,31.147540983606557,64.0,32.608695652173914,100.0,0.0,15.0,81.72447275617868
