,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-01-29,48.0,30.0,21.0,17.0,27.0,20.0,23.0,20.0,4.0,16.0,24.0,25.0,19.0,53.0,23.0,22.0,25.0,32.0,17.0,26.0,26.12851832182687
2020-01-30,54.0,19.0,32.0,18.0,28.0,27.0,20.0,17.0,49.0,25.0,24.0,32.0,15.0,18.0,33.0,10.0,30.0,30.0,27.0,21.0,28.09346787041954
2020-01-31,36.0,20.0,18.0,7.0,11.0,14.0,13.0,22.0,5.0,18.0,30.0,19.0,24.0,5.0,5.0,14.0,12.0,23.0,27.0,16.0,18.003186404673393
2020-02-01,12.0,9.0,29.0,37.0,29.0,20.0,37.0,25.0,36.0,29.0,40.0,30.0,40.0,43.0,22.0,23.0,22.0,39.0,41.0,28.0,31.38608603292618
2020-02-02,23.0,27.0,29.0,16.0,24.0,16.0,23.0,29.0,41.0,10.0,34.0,26.0,22.0,26.0,48.0,30.0,21.0,21.0,16.0,18.0,26.55337227827934
2020-02-03,9.0,17.0,13.0,32.0,22.0,22.0,15.0,38.0,24.0,15.0,13.0,15.0,17.0,38.0,17.0,9.0,24.0,23.0,24.0,19.0,21.561338289962823
2020-02-04,29.0,34.0,17.0,28.0,35.0,17.0,24.0,21.0,35.0,17.0,19.0,18.0,23.0,13.0,31.0,26.0,26.0,7.0,17.0,21.0,24.322889006903875
2020-02-05,34.0,31.0,21.0,17.0,25.0,14.0,24.0,29.0,44.0,38.0,29.0,17.0,38.0,23.0,23.0,23.0,33.0,40.0,18.0,18.0,28.624535315985128
2020-02-06,20.0,27.0,18.0,14.0,18.0,14.0,16.0,22.0,14.0,30.0,30.0,12.0,24.0,24.0,24.0,20.0,23.0,26.0,9.0,15.0,21.242697822623473
2020-02-07,26.0,12.0,15.0,15.0,15.0,11.0,9.0,22.0,9.0,13.0,21.0,18.0,25.0,10.0,10.0,3.0,8.0,4.0,14.0,6.0,14.126394052044608
2020-02-08,42.0,33.0,22.0,17.0,21.0,21.0,25.0,25.0,32.0,26.0,29.0,25.0,33.0,28.0,28.0,32.0,18.0,18.0,27.0,26.0,28.040361125862983
2020-02-09,36.0,23.0,26.0,9.0,25.0,20.0,24.0,21.0,21.0,26.0,24.0,23.0,33.0,22.0,34.0,12.0,14.0,22.0,32.0,11.0,24.322889006903875
2020-02-10,44.0,42.0,32.0,25.0,21.0,31.0,32.0,30.0,40.0,46.0,39.0,30.0,35.0,42.0,37.0,33.0,26.0,30.0,44.0,12.0,35.63462559745087
2020-02-11,10.0,15.0,28.0,14.0,11.0,17.0,24.0,17.0,22.0,17.0,34.0,13.0,12.0,37.0,19.0,13.0,11.0,18.0,18.0,21.0,19.70260223048327
2020-02-12,9.0,36.0,26.0,6.0,16.0,9.0,15.0,23.0,25.0,35.0,27.0,19.0,14.0,35.0,30.0,15.0,31.0,17.0,29.0,17.0,23.048327137546465
2020-02-13,38.0,29.0,24.0,30.0,31.0,36.0,50.0,41.0,42.0,20.0,51.0,23.0,29.0,40.0,67.0,35.0,36.0,32.0,39.0,23.0,38.02442910249601
2020-02-14,26.0,12.0,18.0,15.0,26.0,14.0,17.0,9.0,23.0,22.0,15.0,16.0,8.0,15.0,24.0,24.0,8.0,19.0,19.0,13.0,18.215613382899626
2020-02-15,12.0,20.0,27.0,18.0,36.0,9.0,26.0,11.0,22.0,27.0,31.0,28.0,5.0,41.0,47.0,21.0,19.0,14.0,17.0,15.0,23.685608072225172
2020-02-16,43.0,24.0,22.0,26.0,31.0,13.0,25.0,21.0,33.0,31.0,42.0,23.0,24.0,23.0,29.0,33.0,23.0,14.0,27.0,22.0,28.09346787041954
