,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-11-04,42.0,30.0,0.0,45.0,24.0,44.0,0.0,47.0,0.0,84.0,30.0,0.0,31.25,0.0,56.0,0.0,43.66197183098591,28.125,31.0,30.952380952380953,52.464315525228926
2020-11-05,44.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,29.0,0.0,32.0,28.0,0.0,44.0,29.0,30.0,0.0,0.0,33.0,32.142857142857146,31.10376734963648
2020-11-06,0.0,32.0,46.0,48.0,0.0,47.0,0.0,50.0,30.0,0.0,0.0,59.0,0.0,45.0,30.0,30.0,45.070422535211264,29.6875,34.0,0.0,48.64911378382655
2020-11-07,44.0,0.0,88.0,46.0,24.0,46.0,0.0,49.0,29.0,30.0,95.0,0.0,33.333333333333336,43.0,29.0,0.0,0.0,29.6875,66.0,32.142857142857146,63.306620400969365
2020-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09,91.0,32.0,46.0,47.0,25.0,47.0,36.0,51.0,0.0,61.0,65.0,29.0,67.70833333333333,45.0,61.0,61.0,92.95774647887323,29.6875,68.0,32.142857142857146,91.3744224545333
2020-11-10,47.0,100.0,48.0,49.0,26.0,0.0,38.0,0.0,31.0,31.0,68.0,0.0,35.416666666666664,0.0,63.0,96.0,94.36619718309859,0.0,0.0,67.85714285714286,73.52914800989235
2020-11-11,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.217448777263714
2020-11-12,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.309980171844018
2020-11-13,0.0,0.0,0.0,0.0,27.0,49.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.25,0.0,0.0,15.660938532716456
