,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-01-29,0.0,43.0,16.0,53.0,14.0,32.0,31.0,17.0,48.0,67.0,20.0,63.0,53.0,14.0,41.0,35.0,45.0,19.0,37.0,47.0,46.83288409703504
2020-01-30,23.0,15.0,17.0,37.0,15.0,33.0,0.0,17.0,32.0,17.0,10.0,17.0,0.0,14.0,14.0,0.0,0.0,19.0,23.0,0.0,20.417789757412397
2020-01-31,12.0,31.0,68.0,19.0,0.0,17.0,0.0,36.0,67.0,53.0,11.0,17.0,19.0,29.0,0.0,37.0,48.0,59.0,24.0,17.0,38.00539083557951
2020-02-01,24.0,47.0,18.0,38.0,16.0,17.0,17.0,36.0,52.0,54.0,11.0,34.0,0.0,15.0,15.0,39.0,0.0,40.0,32.0,17.0,35.17520215633423
2020-02-02,35.0,15.0,17.0,19.0,30.0,67.0,98.0,52.0,33.0,53.0,21.0,84.0,18.0,57.0,14.0,18.0,32.0,0.0,15.0,33.0,47.911051212938
2020-02-03,21.0,39.0,45.0,16.0,40.0,29.0,43.0,78.0,72.0,46.0,18.0,44.0,16.0,50.0,100.0,32.0,14.0,35.0,34.0,58.0,55.92991913746631
2020-02-04,0.0,15.0,16.0,0.0,0.0,16.0,0.0,34.0,16.0,0.0,0.0,32.0,0.0,14.0,0.0,0.0,0.0,19.0,31.0,0.0,13.005390835579515
2020-02-05,0.0,15.0,32.0,18.0,15.0,0.0,48.0,0.0,16.0,17.0,20.0,16.0,54.0,14.0,41.0,18.0,31.0,38.0,30.0,32.0,30.660377358490564
2020-02-06,12.0,31.0,51.0,38.0,0.0,17.0,17.0,54.0,17.0,18.0,11.0,34.0,19.0,14.0,57.0,19.0,16.0,40.0,32.0,17.0,34.63611859838275
2020-02-07,12.0,0.0,0.0,0.0,16.0,17.0,17.0,0.0,17.0,18.0,0.0,0.0,19.0,15.0,15.0,38.0,17.0,20.0,32.0,0.0,17.048517520215633
2020-02-08,24.0,47.0,35.0,38.0,31.0,34.0,34.0,18.0,68.0,0.0,0.0,17.0,19.0,44.0,29.0,19.0,33.0,40.0,16.0,17.0,37.93800539083558
2020-02-09,12.0,15.0,32.0,18.0,29.0,0.0,48.0,17.0,32.0,69.0,20.0,16.0,54.0,28.0,28.0,36.0,15.0,57.0,38.0,16.0,39.083557951482476
2020-02-10,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,31.0,16.0,10.0,0.0,17.0,0.0,13.0,34.0,0.0,19.0,29.0,0.0,12.466307277628031
2020-02-11,11.0,29.0,16.0,53.0,29.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,37.0,28.0,14.0,53.0,15.0,38.0,30.0,48.0,32.479784366576816
2020-02-12,11.0,15.0,16.0,0.0,0.0,16.0,32.0,17.0,16.0,0.0,30.0,16.0,18.0,28.0,14.0,18.0,31.0,19.0,61.0,16.0,25.202156334231805
2020-02-13,12.0,15.0,0.0,18.0,44.0,16.0,32.0,17.0,32.0,17.0,21.0,16.0,18.0,14.0,0.0,36.0,48.0,19.0,30.0,16.0,28.369272237196764
2020-02-14,36.0,15.0,34.0,75.0,46.0,34.0,0.0,18.0,33.0,0.0,32.0,50.0,38.0,58.0,29.0,56.0,65.0,20.0,16.0,33.0,46.36118598382749
2020-02-15,25.0,48.0,53.0,20.0,96.0,18.0,0.0,57.0,0.0,56.0,22.0,0.0,20.0,46.0,61.0,39.0,17.0,0.0,33.0,35.0,43.5309973045822
2020-02-16,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,15.0,0.0,0.0,0.0,0.0,32.0,0.0,5.592991913746631
2020-02-17,0.0,44.0,16.0,54.0,44.0,32.0,48.0,34.0,16.0,51.0,10.0,49.0,36.0,0.0,28.0,71.0,62.0,58.0,30.0,32.0,48.18059299191375
2020-02-18,11.0,44.0,33.0,0.0,0.0,48.0,16.0,34.0,0.0,17.0,10.0,0.0,18.0,14.0,28.0,0.0,31.0,19.0,30.0,32.0,25.943396226415093
2020-02-19,12.0,0.0,0.0,19.0,0.0,17.0,17.0,18.0,17.0,18.0,0.0,17.0,38.0,14.0,0.0,0.0,0.0,20.0,16.0,0.0,15.026954177897574
2020-02-20,0.0,0.0,17.0,57.0,31.0,0.0,16.0,18.0,17.0,0.0,11.0,17.0,19.0,0.0,29.0,19.0,33.0,20.0,0.0,33.0,22.7088948787062
2020-02-21,0.0,16.0,18.0,39.0,32.0,35.0,70.0,0.0,17.0,37.0,22.0,18.0,0.0,15.0,15.0,39.0,34.0,0.0,17.0,52.0,32.075471698113205
2020-02-22,0.0,16.0,0.0,0.0,0.0,0.0,0.0,19.0,36.0,38.0,11.0,18.0,0.0,0.0,15.0,0.0,0.0,0.0,17.0,0.0,11.455525606469003
2020-02-23,13.0,16.0,0.0,20.0,16.0,35.0,17.0,0.0,17.0,18.0,0.0,54.0,0.0,15.0,30.0,38.0,0.0,64.0,17.0,35.0,27.2911051212938
2020-02-24,12.0,15.0,33.0,55.0,0.0,17.0,16.0,17.0,33.0,52.0,10.0,33.0,37.0,14.0,28.0,0.0,31.0,20.0,31.0,16.0,31.671159029649594
2020-02-25,0.0,15.0,16.0,18.0,0.0,16.0,16.0,34.0,0.0,17.0,41.0,33.0,18.0,28.0,41.0,54.0,62.0,19.0,31.0,16.0,32.00808625336927
2020-02-26,34.0,29.0,16.0,35.0,43.0,32.0,16.0,17.0,47.0,0.0,10.0,32.0,53.0,27.0,27.0,88.0,46.0,38.0,45.0,31.0,44.87870619946091
2020-02-27,12.0,15.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,18.0,11.0,0.0,37.0,14.0,14.0,0.0,16.0,0.0,16.0,0.0,11.455525606469003
2020-02-28,0.0,16.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,16.0,0.0,4.784366576819407
