date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-11-07,60.0,49.0,36.0,47.0,23.0,56.0,0.0,0.0,0.0,18.0,22.0,29.0,52.0,58.0,49.0,21.0,43.20987654320987,16.0,43.0,49.0,52.01385301264759
2020-11-08,31.0,75.0,19.0,47.0,23.0,59.0,23.0,19.0,49.0,37.0,0.0,88.0,54.0,30.0,38.0,44.0,44.44444444444444,16.0,66.0,75.0,64.89581539521268
2020-11-09,0.0,0.0,0.0,23.0,0.0,19.0,46.0,19.0,0.0,18.0,0.0,58.0,17.0,0.0,37.0,0.0,20.987654320987655,16.0,22.0,49.0,26.734018330367565
2020-11-10,30.0,25.0,0.0,0.0,0.0,0.0,0.0,38.0,24.0,0.0,0.0,0.0,0.0,59.0,24.0,43.0,20.987654320987655,16.0,44.0,25.0,27.04398905535465
2020-11-11,0.0,0.0,35.0,0.0,22.0,18.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,24.0,21.0,20.987654320987655,15.0,0.0,24.0,15.265101505845438
2020-11-12,30.0,75.0,18.0,47.0,23.0,58.0,23.0,38.0,0.0,36.0,90.0,30.0,35.0,0.0,25.0,22.0,22.22222222222222,16.0,22.0,25.0,49.225073187532296
2020-11-13,0.0,25.0,0.0,47.0,0.0,19.0,46.0,19.0,0.0,0.0,22.0,58.0,0.0,30.0,37.0,22.0,22.22222222222222,16.0,0.0,0.0,28.147063888410543
2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,30.0,50.0,22.0,0.0,16.0,0.0,0.0,10.539004649560876
2020-11-15,0.0,0.0,37.0,72.0,69.0,39.0,23.0,58.0,48.0,0.0,46.0,60.0,0.0,30.0,25.0,22.0,22.22222222222222,48.0,66.0,25.0,53.4871706561047
2020-11-16,29.0,24.0,0.0,47.0,23.0,19.0,23.0,19.0,0.0,0.0,0.0,87.0,0.0,29.0,24.0,43.0,43.20987654320987,0.0,0.0,25.0,33.72558023840959
