,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-01-29,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.55
2020-01-30,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,4.45
2020-01-31,4.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.05
2020-02-01,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.1
2020-02-02,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.3
2020-02-03,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.05
2020-02-04,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
2020-02-05,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.95
2020-02-06,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.05
2020-02-07,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.85
2020-02-08,5.0,5.0,7.0,5.0,6.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.4
2020-02-09,4.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.75
2020-02-10,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.7
2020-02-11,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.4
2020-02-12,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.1
2020-02-13,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.7
2020-02-14,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.55
2020-02-15,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.45
2020-02-16,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.85
2020-02-17,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.6
2020-02-18,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.6
2020-02-19,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.1
2020-02-20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.25
2020-02-21,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.7
2020-02-22,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.8
2020-02-23,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,8.0,7.0,6.0,7.0,6.0,8.0,7.0,6.0,8.0,7.0,7.0,6.85
2020-02-24,8.0,9.0,9.0,10.0,10.0,10.0,7.0,9.0,8.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,9.25
2020-02-25,10.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0,11.0,11.0,11.0,10.0,9.0,10.05
2020-02-26,13.0,13.0,14.0,14.0,15.0,16.0,11.0,12.0,13.0,15.0,13.0,12.0,14.0,15.0,15.0,14.0,15.0,15.0,14.0,16.0,13.95
2020-02-27,13.0,14.0,17.0,13.0,16.0,14.0,16.0,14.0,16.0,16.0,15.0,11.0,13.0,15.0,12.0,14.0,13.0,15.0,12.0,15.0,14.2
2020-02-28,26.0,23.0,27.0,22.0,26.0,27.0,21.0,22.0,27.0,22.0,25.0,25.0,24.0,25.0,23.0,25.0,28.0,29.0,21.0,28.0,24.8
2020-02-29,23.0,23.0,22.0,23.0,24.0,22.0,21.0,23.0,20.0,22.0,22.0,22.0,20.0,20.0,24.0,24.0,23.0,24.0,22.0,22.0,22.3
2020-03-01,22.0,25.0,26.0,27.0,26.0,24.0,26.0,21.0,25.0,25.0,24.0,21.0,25.0,26.0,25.0,23.0,22.0,27.0,24.0,22.0,24.3
2020-03-02,25.0,28.0,29.0,27.0,29.0,28.0,26.0,23.0,30.0,25.0,31.0,28.0,28.0,30.0,28.0,29.0,25.0,35.0,28.0,29.0,28.05
2020-03-03,24.0,21.0,23.0,21.0,22.0,24.0,21.0,25.0,23.0,24.0,19.0,23.0,23.0,22.0,25.0,23.0,23.0,25.0,20.0,22.0,22.65
2020-03-04,19.0,22.0,21.0,20.0,23.0,23.0,20.0,18.0,21.0,21.0,19.0,20.0,18.0,20.0,21.0,21.0,22.0,19.0,18.0,19.0,20.25
2020-03-05,19.0,18.0,19.0,18.0,19.0,18.0,19.0,19.0,21.0,20.0,22.0,20.0,18.0,20.0,19.0,21.0,19.0,21.0,17.0,20.0,19.35
2020-03-06,22.0,24.0,27.0,22.0,25.0,23.0,21.0,23.0,24.0,23.0,21.0,20.0,23.0,21.0,20.0,22.0,26.0,24.0,24.0,25.0,23.0
2020-03-07,22.0,21.0,23.0,20.0,22.0,23.0,22.0,21.0,21.0,20.0,21.0,20.0,20.0,25.0,25.0,23.0,21.0,24.0,20.0,19.0,21.65
2020-03-08,23.0,22.0,26.0,24.0,29.0,25.0,23.0,23.0,27.0,25.0,26.0,27.0,23.0,26.0,24.0,27.0,24.0,32.0,22.0,22.0,25.0
2020-03-09,28.0,28.0,28.0,28.0,28.0,27.0,24.0,27.0,26.0,25.0,27.0,26.0,24.0,27.0,27.0,29.0,26.0,32.0,28.0,29.0,27.2
2020-03-10,31.0,29.0,29.0,28.0,29.0,29.0,23.0,28.0,24.0,27.0,25.0,27.0,27.0,27.0,28.0,29.0,26.0,28.0,27.0,28.0,27.45
2020-03-11,26.0,27.0,25.0,22.0,26.0,26.0,23.0,25.0,26.0,23.0,24.0,28.0,25.0,26.0,27.0,26.0,26.0,28.0,24.0,25.0,25.4
2020-03-12,46.0,48.0,49.0,48.0,51.0,48.0,50.0,48.0,53.0,52.0,56.0,48.0,49.0,49.0,52.0,47.0,49.0,56.0,48.0,48.0,49.75
2020-03-13,68.0,67.0,73.0,66.0,71.0,66.0,64.0,67.0,62.0,66.0,68.0,65.0,62.0,68.0,66.0,72.0,64.0,73.0,64.0,68.0,67.0
2020-03-14,69.0,69.0,69.0,71.0,70.0,71.0,67.0,68.0,71.0,75.0,74.0,74.0,68.0,71.0,67.0,68.0,68.0,79.0,63.0,70.0,70.1
2020-03-15,73.0,77.0,80.0,74.0,82.0,79.0,66.0,77.0,70.0,75.0,72.0,70.0,73.0,76.0,74.0,74.0,75.0,75.0,68.0,79.0,74.45
2020-03-16,69.0,69.0,69.0,69.0,66.0,64.0,63.0,66.0,68.0,66.0,70.0,70.0,69.0,67.0,66.0,71.0,67.0,73.0,63.0,69.0,67.7
2020-03-17,55.0,57.0,58.0,53.0,59.0,54.0,55.0,54.0,57.0,58.0,61.0,59.0,56.0,59.0,57.0,59.0,58.0,58.0,53.0,58.0,56.9
2020-03-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-03-19,47.0,52.0,56.0,51.0,57.0,49.0,50.0,51.0,52.0,55.0,52.0,55.0,56.0,54.0,52.0,52.0,49.0,56.0,49.0,53.0,52.4
2020-03-20,46.0,48.0,52.0,48.0,51.0,48.0,46.0,47.0,49.0,51.0,49.0,44.0,46.0,50.0,49.0,50.0,49.0,50.0,45.0,49.0,48.35
2020-03-21,49.0,46.0,54.0,45.0,48.0,51.0,44.0,49.0,49.0,49.0,49.0,51.0,45.0,48.0,46.0,47.0,42.0,51.0,47.0,49.0,47.95
2020-03-22,49.0,47.0,50.0,45.0,51.0,47.0,50.0,44.0,52.0,46.0,49.0,49.0,47.0,50.0,54.0,48.0,51.0,52.0,46.0,48.0,48.75
2020-03-23,34.0,36.0,38.0,36.0,38.0,36.0,34.0,37.0,38.0,36.0,38.0,38.0,34.0,38.0,36.0,39.0,39.0,40.0,32.0,39.0,36.8
2020-03-24,35.0,33.0,35.0,31.0,32.0,32.0,32.0,28.0,29.0,32.0,31.0,32.0,31.0,33.0,31.0,31.0,31.0,34.0,31.0,31.0,31.75
2020-03-25,30.0,31.0,33.0,32.0,37.0,32.0,30.0,33.0,32.0,32.0,32.0,34.0,30.0,34.0,29.0,32.0,31.0,37.0,31.0,32.0,32.2
2020-03-26,26.0,29.0,31.0,27.0,28.0,27.0,27.0,31.0,29.0,25.0,29.0,29.0,28.0,28.0,28.0,29.0,28.0,31.0,27.0,28.0,28.25
2020-03-27,30.0,29.0,29.0,30.0,31.0,32.0,29.0,29.0,27.0,30.0,33.0,28.0,31.0,31.0,30.0,31.0,30.0,33.0,27.0,30.0,30.0
2020-03-28,32.0,30.0,34.0,29.0,31.0,33.0,29.0,31.0,31.0,32.0,28.0,29.0,30.0,31.0,31.0,31.0,32.0,33.0,31.0,30.0,30.9
2020-03-29,28.0,27.0,28.0,29.0,30.0,29.0,28.0,26.0,31.0,29.0,32.0,30.0,28.0,30.0,27.0,28.0,29.0,28.0,27.0,32.0,28.8
