,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-01-29,65.0,0.0,25.0,0.0,33.0,30.0,32.0,39.0,0.0,22.0,0.0,36.0,34.0,0.0,81.0,30.0,0.0,90.0,30.0,28.0,49.740484429065745
2020-01-30,100.0,36.0,0.0,65.0,68.0,31.0,66.0,0.0,0.0,0.0,0.0,56.0,69.0,0.0,41.0,62.0,37.0,91.0,30.0,0.0,65.05190311418686
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,36.0,78.0,0.0,71.0,0.0,34.0,0.0,42.0,100.0,0.0,0.0,0.0,37.0,0.0,88.0,100.0,40.0,49.0,100.0,31.0,69.72318339100346
2020-02-02,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,69.0,0.0,0.0,0.0,37.0,45.0,0.0,0.0,19.031141868512112
2020-02-03,29.0,0.0,0.0,0.0,31.0,0.0,0.0,35.0,27.0,0.0,0.0,33.0,0.0,0.0,36.0,0.0,0.0,41.0,27.0,25.0,24.567474048442907
2020-02-04,66.0,0.0,25.0,33.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,37.0,0.0,31.0,28.0,27.941176470588232
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2768166089965405
2020-02-06,0.0,38.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,36.0,43.0,0.0,0.0,39.0,0.0,0.0,30.0,21.79930795847751
2020-02-07,71.0,38.0,27.0,0.0,0.0,0.0,0.0,41.0,32.0,0.0,0.0,0.0,36.0,85.0,0.0,0.0,0.0,48.0,0.0,0.0,32.69896193771626
2020-02-08,35.0,0.0,27.0,34.0,36.0,0.0,35.0,0.0,64.0,0.0,35.0,0.0,72.0,43.0,42.0,65.0,39.0,96.0,32.0,30.0,59.2560553633218
2020-02-09,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.979238754325259
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,64.0,70.0,24.0,32.0,100.0,60.0,32.0,0.0,0.0,22.0,32.0,37.0,100.0,39.0,0.0,0.0,0.0,88.0,30.0,27.0,65.48442906574395
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,37.0,0.0,28.0,36.0,37.0,0.0,0.0,0.0,0.0,25.0,74.0,0.0,75.0,44.0,0.0,0.0,40.0,100.0,34.0,61.0,51.12456747404845
2020-02-16,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.477508650519033
2020-02-17,33.0,0.0,0.0,32.0,34.0,0.0,0.0,0.0,0.0,0.0,33.0,74.0,34.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,24.22145328719723
2020-02-18,32.0,70.0,49.0,32.0,0.0,0.0,65.0,38.0,0.0,44.0,64.0,36.0,33.0,80.0,0.0,30.0,36.0,0.0,30.0,27.0,57.61245674740484
2020-02-19,0.0,36.0,25.0,32.0,34.0,31.0,67.0,0.0,30.0,0.0,33.0,0.0,34.0,82.0,40.0,0.0,73.0,91.0,0.0,0.0,52.59515570934256
2020-02-20,34.0,36.0,0.0,0.0,35.0,0.0,33.0,39.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,29.0,23.961937716262977
2020-02-21,0.0,39.0,27.0,35.0,0.0,34.0,0.0,42.0,0.0,0.0,0.0,41.0,37.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,25.519031141868513
2020-02-22,0.0,41.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,26.0,38.0,0.0,0.0,0.0,47.0,0.0,42.0,0.0,0.0,0.0,20.069204152249135
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.114186851211073
2020-02-24,33.0,0.0,25.0,0.0,0.0,31.0,33.0,0.0,30.0,0.0,33.0,0.0,0.0,0.0,39.0,30.0,0.0,0.0,0.0,0.0,21.972318339100347
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,35.0,25.0,0.0,33.0,61.0,32.0,37.0,30.0,0.0,32.0,36.0,0.0,40.0,0.0,29.0,0.0,44.0,30.0,27.0,42.47404844290658
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.761245674740486
2020-02-29,34.0,0.0,39.0,34.0,0.0,32.0,34.0,0.0,0.0,23.0,34.0,39.0,35.0,42.0,42.0,63.0,38.0,0.0,32.0,0.0,45.069204152249135
2020-03-01,32.0,0.0,25.0,0.0,0.0,0.0,32.0,38.0,30.0,0.0,32.0,36.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,21.972318339100347
