,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-08,17.0,0.0,20.0,0.0,15.0,26.0,25.0,36.0,0.0,0.0,0.0,0.0,50.0,0.0,35.0,0.0,24.0,67.0,0.0,0.0,22.613065326633166
2020-10-09,36.0,0.0,44.0,34.0,16.0,0.0,0.0,39.0,18.0,27.0,55.0,51.0,27.0,35.0,37.0,35.0,0.0,0.0,27.0,0.0,34.52979181622398
2020-10-10,20.0,29.0,24.0,36.0,17.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,38.0,41.0,0.0,0.0,0.0,30.0,24.0,25.053840631730075
2020-10-11,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,35.0,0.0,0.0,27.0,0.0,9.117013639626704
2020-10-12,0.0,27.0,0.0,0.0,15.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.881550610193826
2020-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-14,17.0,0.0,21.0,64.0,0.0,26.0,51.0,73.0,35.0,0.0,26.0,0.0,51.0,65.0,36.0,0.0,0.0,0.0,26.0,21.0,36.755204594400574
2020-10-15,18.0,28.0,22.0,34.0,16.0,0.0,27.0,39.0,0.0,28.0,0.0,26.0,27.0,71.0,0.0,71.0,54.0,36.0,28.0,0.0,37.688442211055275
2020-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-17,0.0,29.0,24.0,72.0,17.0,60.0,29.0,85.0,40.0,0.0,0.0,0.0,58.0,38.0,40.0,39.0,28.0,39.0,30.0,0.0,45.08255563531945
2020-10-18,0.0,29.0,23.0,0.0,17.0,0.0,28.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,28.0,39.0,0.0,0.0,15.793251974156496
2020-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-20,0.0,0.0,0.0,31.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,34.0,25.0,0.0,9.978463747307968
2020-10-21,17.0,0.0,20.0,0.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.035175879396985
2020-10-22,17.0,26.0,21.0,64.0,30.0,27.0,52.0,0.0,35.0,52.0,52.0,74.0,26.0,100.0,71.0,100.0,100.0,35.0,0.0,21.0,64.82412060301507
2020-10-23,18.0,53.0,0.0,33.0,15.0,0.0,26.0,38.0,18.0,27.0,0.0,50.0,0.0,0.0,37.0,0.0,26.0,36.0,27.0,22.0,30.58147882268485
2020-10-24,36.0,27.0,22.0,100.0,16.0,28.0,54.0,38.0,55.0,0.0,54.0,26.0,26.0,34.0,0.0,0.0,53.0,36.0,27.0,22.0,46.94903086862886
2020-10-25,0.0,26.0,21.0,32.0,52.0,53.0,51.0,74.0,69.0,77.0,52.0,49.0,26.0,66.0,36.0,66.0,25.0,35.0,79.0,63.0,68.34170854271356
2020-10-26,66.0,25.0,60.0,91.0,100.0,100.0,48.0,69.0,100.0,100.0,50.0,68.0,49.0,0.0,100.0,64.0,71.0,32.0,100.0,100.0,100.0
2020-10-27,32.0,24.0,19.0,30.0,21.0,0.0,24.0,34.0,16.0,0.0,48.0,23.0,24.0,31.0,33.0,0.0,0.0,0.0,25.0,20.0,29.0021536252692
2020-10-28,100.0,100.0,100.0,61.0,36.0,25.0,100.0,0.0,34.0,75.0,100.0,47.0,100.0,32.0,34.0,32.0,48.0,100.0,50.0,62.0,88.72936109117013
2020-10-29,33.0,50.0,60.0,30.0,29.0,0.0,24.0,70.0,33.0,24.0,97.0,46.0,49.0,31.0,66.0,0.0,0.0,65.0,25.0,40.0,55.41995692749461
2020-10-30,15.0,0.0,0.0,27.0,19.0,0.0,21.0,31.0,14.0,0.0,0.0,0.0,0.0,28.0,30.0,0.0,0.0,0.0,22.0,0.0,14.860014357501793
2020-10-31,30.0,92.0,54.0,56.0,13.0,69.0,67.0,64.0,15.0,0.0,68.0,86.0,67.0,57.0,92.0,88.0,66.0,90.0,46.0,73.0,85.64249820531226
2020-11-01,15.0,23.0,18.0,28.0,52.0,0.0,45.0,65.0,0.0,0.0,23.0,22.0,0.0,29.0,31.0,0.0,44.0,30.0,0.0,18.0,31.801866475233307
2020-11-02,15.0,45.0,18.0,28.0,13.0,23.0,22.0,96.0,60.0,45.0,68.0,21.0,22.0,86.0,31.0,58.0,22.0,0.0,45.0,18.0,52.83560660445082
2020-11-03,15.0,23.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.117013639626704
2020-11-04,14.0,0.0,17.0,26.0,24.0,21.0,20.0,30.0,0.0,21.0,0.0,20.0,21.0,53.0,0.0,27.0,40.0,27.0,21.0,0.0,27.422828427853556
