,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-10-20,14.0,21.0,48.0,59.0,45.0,26.0,24.0,55.0,37.0,40.0,28.0,52.0,62.0,34.0,47.0,39.0,48.0,47.36842105263158,64.0,37.0,50.69822943206372
2020-10-21,84.0,63.0,57.0,65.0,89.0,36.0,82.0,70.0,38.0,85.0,75.0,52.0,97.0,54.0,63.0,31.0,60.0,85.26315789473684,28.0,68.0,78.57258038507433
2020-10-22,91.0,43.0,44.0,100.0,39.0,85.0,51.0,63.0,77.0,55.0,64.0,61.0,82.0,63.0,82.0,81.0,35.0,68.42105263157895,71.0,98.0,82.93288612248845
2020-10-23,58.0,37.0,45.0,70.0,64.0,39.0,44.0,49.0,27.0,41.0,51.0,49.0,85.0,22.0,51.0,76.0,36.0,82.10526315789474,44.0,55.0,62.81484826007031
2020-10-24,57.0,95.0,72.0,82.0,100.0,43.0,76.0,65.0,71.0,80.0,100.0,60.0,82.0,100.0,100.0,100.0,98.0,98.94736842105263,66.0,86.0,100.0
2020-10-25,66.0,75.0,48.0,51.0,96.0,55.0,88.0,84.0,12.0,68.0,66.0,89.0,93.0,60.0,69.0,69.0,66.0,93.6842105263158,68.0,64.0,84.60347663430838
2020-10-26,69.0,69.0,68.0,56.0,64.0,100.0,47.0,83.0,79.0,91.0,67.0,62.0,84.0,60.0,55.0,39.0,46.0,54.73684210526316,100.0,43.0,81.910536330506
2020-10-27,100.0,34.0,55.0,70.0,65.0,30.0,72.0,23.0,43.0,52.0,53.0,31.0,87.0,53.0,68.0,69.0,26.0,100.0,40.0,58.0,69.18115264295159
2020-10-28,74.0,61.0,63.0,76.0,66.0,45.0,88.0,83.0,61.0,52.0,81.0,51.0,69.0,73.0,70.0,54.0,58.0,91.57894736842105,35.0,58.0,80.24639597510239
2020-10-29,91.0,80.0,100.0,56.0,94.0,78.0,78.0,96.0,54.0,75.0,78.0,100.0,84.0,45.0,83.0,76.0,58.0,80.0,79.0,78.0,95.77514754732803
2020-10-30,41.0,100.0,60.0,45.0,57.0,26.0,56.0,85.0,58.0,52.0,80.0,49.0,83.0,53.0,61.0,53.0,45.0,93.6842105263158,60.0,69.0,75.16689779727159
2020-10-31,60.0,18.0,69.0,58.0,59.0,38.0,66.0,75.0,45.0,74.0,86.0,52.0,55.0,37.0,62.0,42.0,30.0,58.94736842105263,49.0,52.0,66.5430386686877
2020-11-01,48.0,43.0,80.0,34.0,78.0,58.0,50.0,68.0,100.0,100.0,89.0,78.0,98.0,60.0,89.0,75.0,95.0,90.52631578947368,54.0,96.0,90.90527945302674
2020-11-02,36.0,31.0,63.0,52.0,66.0,50.0,72.0,55.0,40.0,56.0,49.0,63.0,76.0,60.0,70.0,70.0,85.0,85.26315789473684,44.0,100.0,74.95726771374206
2020-11-03,56.0,56.0,64.0,62.0,53.0,37.0,36.0,48.0,6.0,61.0,36.0,28.0,54.0,60.0,21.0,28.0,48.0,84.21052631578948,62.0,46.0,57.98045602605863
2020-11-04,40.0,63.0,59.0,38.0,43.0,55.0,47.0,65.0,36.0,52.0,56.0,64.0,58.0,63.0,72.0,58.0,67.0,63.1578947368421,63.0,44.0,67.78146870061597
2020-11-05,36.0,72.0,54.0,39.0,64.0,44.0,56.0,59.0,59.0,86.0,93.0,62.0,91.0,70.0,55.0,74.0,91.0,57.89473684210526,77.0,84.0,81.12361724771824
2020-11-06,42.0,31.0,75.0,63.0,99.0,37.0,86.0,81.0,66.0,56.0,97.0,40.0,100.0,72.0,50.0,83.0,59.0,66.3157894736842,60.0,66.0,81.45580030315735
