date,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,37.0,0.0,32.0,21.0,32.0,0.0,0.0,0.0,54.08163265306123,0.0,0.0,0.0,37.0,0.0,0.0,0.0,26.0,0.0,35.0,19.196378940681328
2020-01-31,37.0,0.0,0.0,0.0,22.0,33.0,0.0,0.0,0.0,0.0,39.0,0.0,37.0,0.0,0.0,34.0,0.0,27.0,0.0,0.0,16.038910505836576
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,38.0,36.0,35.0,0.0,41.97530864197531,0.0,0.0,0.0,0.0,0.0,14.916558581928234
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,35.0,0.0,0.0,0.0,21.0,32.0,27.0,0.0,36.0,54.08163265306123,37.0,36.0,0.0,37.0,0.0,32.0,0.0,26.0,0.0,0.0,26.13023108075915
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,35.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,53.061224489795926,36.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,12.681330898118002
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,36.0,0.0,32.0,21.0,32.0,0.0,0.0,0.0,55.102040816326536,38.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,17.586913364567614
2020-02-17,0.0,0.0,0.0,0.0,0.0,32.0,27.0,31.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,52.0,0.0,36.0,0.0,17.64980544747082
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,32.0,21.0,32.0,27.0,0.0,36.0,53.061224489795926,0.0,0.0,0.0,36.0,41.97530864197531,0.0,0.0,0.0,0.0,0.0,19.543414771875025
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,33.0,34.0,33.0,0.0,40.0,30.0,26.0,30.0,34.0,51.020408163265316,0.0,69.0,33.0,0.0,39.50617283950617,31.0,49.0,25.0,35.0,33.0,43.811200225875055
2020-02-28,0.0,36.0,0.0,0.0,0.0,0.0,26.0,0.0,36.0,53.061224489795926,0.0,0.0,0.0,35.0,40.74074074074074,0.0,0.0,0.0,36.0,0.0,18.406363323539537
2020-02-29,0.0,35.0,0.0,31.0,0.0,32.0,0.0,0.0,0.0,0.0,36.0,0.0,34.0,35.0,40.74074074074074,0.0,51.0,26.0,0.0,34.0,24.845654993514923
2020-03-01,0.0,0.0,0.0,30.0,0.0,0.0,0.0,29.0,33.0,0.0,35.0,0.0,32.0,0.0,38.27160493827161,31.0,0.0,25.0,0.0,32.0,19.98011240812797
2020-03-02,32.0,33.0,0.0,29.0,19.0,0.0,25.0,0.0,33.0,0.0,0.0,33.0,0.0,34.0,0.0,0.0,94.0,0.0,33.0,32.0,27.80544747081713
2020-03-03,100.0,35.0,100.0,92.0,100.0,30.0,26.0,30.0,34.0,100.0,36.0,34.0,100.0,71.0,77.77777777777777,62.0,100.0,100.0,100.0,100.0,100.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,36.0,36.0,0.0,32.0,0.0,32.0,28.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,15.968871595330741
2020-03-08,0.0,0.0,0.0,0.0,19.0,0.0,0.0,29.0,33.0,0.0,34.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,12.607003891050587
2020-03-09,32.0,33.0,0.0,0.0,0.0,0.0,24.0,0.0,33.0,47.95918367346939,0.0,33.0,0.0,0.0,38.27160493827161,30.0,47.0,24.0,0.0,31.0,26.140677801600532
2020-03-10,0.0,32.0,0.0,28.0,18.0,28.0,24.0,28.0,32.0,47.95918367346939,33.0,32.0,31.0,0.0,0.0,29.0,46.0,0.0,0.0,31.0,30.814261891527046
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,29.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,31.0,33.0,0.0,0.0,48.0,0.0,33.0,32.0,16.17898832684825
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,43.877551020408156,0.0,0.0,28.0,0.0,0.0,0.0,0.0,21.0,30.0,29.0,12.458349876915744
2020-03-17,29.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.365758754863814
2020-03-18,30.0,0.0,0.0,0.0,0.0,27.0,23.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,35.80246913580247,0.0,0.0,22.0,30.0,0.0,13.853869433635971
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,29.0,26.0,17.0,26.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,30.0,0.0,26.0,0.0,0.0,29.0,28.0,17.7798777098388
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,33.0,30.0,19.0,0.0,0.0,29.0,0.0,50.0,35.0,34.0,0.0,0.0,0.0,0.0,49.0,0.0,34.0,32.0,24.16342412451361
2020-03-23,52.0,0.0,52.0,0.0,16.0,0.0,0.0,24.0,27.0,40.81632653061224,27.0,27.0,26.0,0.0,62.96296296296296,49.0,0.0,0.0,53.0,26.0,33.813335450911886
2020-03-24,28.0,29.0,0.0,26.0,17.0,0.0,0.0,26.0,58.0,86.73469387755102,30.0,30.0,28.0,0.0,0.0,26.0,0.0,0.0,29.0,0.0,28.97752719764949
2020-03-25,0.0,29.0,28.0,25.0,33.0,26.0,22.0,26.0,29.0,0.0,0.0,29.0,29.0,30.0,33.333333333333336,26.0,0.0,21.0,0.0,58.0,31.120622568093392
2020-03-26,29.0,58.0,29.0,0.0,0.0,26.0,0.0,0.0,29.0,43.877551020408156,30.0,0.0,0.0,30.0,0.0,27.0,42.0,21.0,0.0,0.0,25.555626141507197
2020-03-27,0.0,84.0,56.0,100.0,33.0,100.0,21.0,100.0,0.0,82.65306122448979,0.0,28.0,27.0,57.0,100.0,100.0,41.0,62.0,0.0,55.0,73.30644008576192
2020-03-28,64.0,100.0,0.0,58.0,19.0,0.0,100.0,87.0,100.0,48.979591836734684,100.0,100.0,94.0,100.0,0.0,30.0,47.0,47.0,66.0,32.0,83.55499086794252
2020-03-29,0.0,31.0,30.0,28.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.988326848249027
2020-03-30,55.0,0.0,0.0,25.0,49.0,25.0,21.0,0.0,28.0,41.83673469387755,29.0,28.0,27.0,29.0,32.09876543209877,25.0,81.0,0.0,0.0,0.0,34.73478210999056
2020-03-31,27.0,0.0,0.0,73.0,48.0,49.0,21.0,25.0,56.0,82.65306122448979,86.0,84.0,0.0,28.0,64.19753086419753,25.0,81.0,0.0,28.0,27.0,56.370858589869144
2020-04-01,28.0,0.0,0.0,26.0,0.0,25.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,29.0,0.0,11.346303501945524
2020-04-02,0.0,0.0,0.0,0.0,16.0,25.0,21.0,0.0,28.0,0.0,0.0,0.0,0.0,29.0,32.09876543209877,25.0,0.0,20.0,0.0,27.0,15.625594466061392
2020-04-03,0.0,0.0,0.0,0.0,17.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,26.0,0.0,21.0,0.0,0.0,7.984435797665371
2020-04-04,0.0,0.0,0.0,30.0,0.0,0.0,25.0,0.0,0.0,50.0,35.0,34.0,0.0,34.0,0.0,31.0,0.0,25.0,0.0,0.0,18.490272373540854
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,0.0,26.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,38.0,19.0,0.0,25.0,10.43579766536965
2020-04-07,0.0,0.0,0.0,25.0,0.0,24.0,42.0,24.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,13.867704280155642
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,0.0,30.0,0.0,0.0,0.0,0.0,22.0,0.0,30.0,44.897959183673464,0.0,30.0,0.0,0.0,0.0,0.0,44.0,22.0,0.0,0.0,15.611530215198917
2020-04-11,0.0,33.0,0.0,0.0,19.0,30.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,39.50617283950617,0.0,48.0,24.0,33.0,32.0,20.48681366191094
2020-04-12,32.0,33.0,0.0,0.0,38.0,29.0,25.0,29.0,0.0,0.0,0.0,66.0,32.0,34.0,38.27160493827161,0.0,47.0,24.0,66.0,32.0,36.789450929528755
2020-04-13,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,44.897959183673464,31.0,0.0,0.0,0.0,35.80246913580247,0.0,0.0,0.0,30.0,29.0,14.056839337550842
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,30.0,62.0,31.0,0.0,36.0,55.0,0.0,0.0,0.0,46.938775510204074,0.0,0.0,59.0,32.0,72.83950617283949,28.0,45.0,23.0,0.0,30.0,38.575910779357145
