,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-10-05,13.0,40.0,15.0,27.0,24.0,15.0,43.0,38.0,15.0,25.0,24.0,22.0,23.0,32.967032967032964,24.0,15.0,23.0,0.0,13.0,55.0,35.093804693006426
2020-10-06,53.0,27.0,62.0,26.0,12.0,0.0,15.0,38.0,31.25,32.0,37.0,22.0,47.0,67.03296703296704,72.0,44.0,23.0,11.0,41.0,41.0,50.53871373927918
2020-10-07,39.0,13.0,76.0,26.0,12.0,0.0,29.0,13.0,15.0,31.0,0.0,22.0,23.0,64.83516483516483,35.0,58.0,30.0,32.0,41.0,41.0,43.299834485598666
2020-10-08,55.0,43.0,33.0,14.0,39.0,49.0,47.0,66.0,32.5,26.0,53.0,23.0,12.0,35.16483516483517,0.0,31.0,24.0,34.0,71.0,29.0,51.6472246640216
2020-10-09,30.0,45.0,17.0,89.0,56.0,34.0,16.0,70.0,68.75,71.0,42.0,50.0,53.0,74.72527472527473,41.0,33.0,59.0,25.0,46.0,31.0,68.56909236337142
2020-10-10,31.0,16.0,55.0,32.0,29.0,56.0,53.0,30.0,73.75,53.0,30.0,13.0,100.0,100.0,57.0,70.0,64.0,53.0,49.0,66.0,74.28211098176173
2020-10-11,29.0,15.0,51.0,72.0,40.0,51.0,48.0,54.0,66.25,41.0,67.0,24.0,25.0,90.10989010989012,39.0,16.0,58.0,48.0,58.0,45.0,67.55185193984462
2020-10-12,56.0,58.0,16.0,58.0,13.0,49.0,31.0,68.0,16.25,47.0,40.0,12.0,13.0,17.582417582417584,0.0,47.0,32.0,12.0,29.0,0.0,44.30856160857824
2020-10-13,100.0,59.0,84.0,72.0,26.0,50.0,48.0,68.0,33.75,48.0,27.0,24.0,77.0,54.94505494505494,52.0,48.0,57.0,12.0,29.0,75.0,75.28707641380183
2020-10-14,96.0,56.0,96.0,83.0,88.0,64.0,92.0,92.0,80.0,65.0,64.0,23.0,37.0,86.81318681318682,25.0,46.0,71.0,57.0,42.0,71.0,96.19475263912315
2020-10-15,28.0,29.0,17.0,29.0,26.0,33.0,48.0,27.0,32.5,54.0,27.0,24.0,13.0,17.582417582417584,26.0,32.0,33.0,59.0,29.0,45.0,45.3355032350542
2020-10-16,45.0,30.0,53.0,29.0,28.0,35.0,67.0,42.0,68.75,100.0,84.0,50.0,66.0,93.4065934065934,13.0,33.0,60.0,74.0,75.0,62.0,79.86050066126566
2020-10-17,16.0,49.0,19.0,65.0,15.0,76.0,18.0,77.0,37.5,46.0,15.0,27.0,44.0,40.65934065934066,15.0,18.0,65.0,13.0,17.0,51.0,52.18732428943638
2020-10-18,31.0,49.0,19.0,49.0,44.0,37.0,0.0,77.0,37.5,68.0,60.0,13.0,14.0,39.56043956043956,14.0,35.0,37.0,13.0,16.0,16.0,48.21656252722276
2020-10-19,28.0,100.0,33.0,42.0,26.0,50.0,16.0,27.0,16.25,40.0,27.0,35.0,13.0,17.582417582417584,39.0,31.0,64.0,23.0,0.0,44.0,48.416328114482106
2020-10-20,28.0,43.0,0.0,43.0,26.0,0.0,16.0,27.0,16.25,40.0,13.0,0.0,13.0,17.582417582417584,0.0,15.0,48.0,0.0,14.0,29.0,28.02162774306463
2020-10-21,27.0,56.0,0.0,41.0,25.0,32.0,31.0,66.0,0.0,33.0,13.0,0.0,12.0,17.582417582417584,0.0,0.0,39.0,11.0,14.0,29.0,32.18344380825671
2020-10-22,67.0,28.0,32.0,28.0,25.0,64.0,45.0,26.0,63.75,33.0,51.0,34.0,49.0,16.483516483516482,50.0,30.0,31.0,45.0,56.0,57.0,59.90374030869623
2020-10-23,41.0,69.0,80.0,41.0,38.0,63.0,31.0,66.0,31.25,52.0,39.0,23.0,37.0,51.64835164835165,61.0,76.0,78.0,34.0,41.0,100.0,75.8782558425
2020-10-24,31.0,16.0,54.0,62.0,43.0,36.0,52.0,15.0,53.75,37.0,43.0,26.0,41.0,58.24175824175824,98.0,51.0,79.0,89.0,79.0,16.0,70.6241635187253
2020-10-25,57.0,15.0,50.0,29.0,26.0,17.0,64.0,54.0,16.25,48.0,54.0,48.0,38.0,71.42857142857143,65.0,32.0,58.0,12.0,58.0,89.0,64.98043920711474
2020-10-26,51.0,80.0,89.0,26.0,71.0,45.0,100.0,25.0,88.75,68.0,96.0,43.0,69.0,48.35164835164835,94.0,100.0,60.0,85.0,40.0,80.0,97.94512682837977
2020-10-27,41.0,14.0,32.0,0.0,38.0,32.0,15.0,0.0,63.75,40.0,13.0,0.0,37.0,0.0,13.0,77.0,48.0,34.0,0.0,43.0,38.9697322467986
2020-10-28,14.0,29.0,33.0,72.0,13.0,0.0,32.0,67.0,16.25,40.0,13.0,12.0,25.0,36.26373626373626,25.0,31.0,40.0,35.0,29.0,44.0,43.709066863066525
2020-10-29,40.0,41.0,62.0,54.0,100.0,95.0,75.0,38.0,15.0,38.0,100.0,100.0,83.0,84.61538461538461,96.0,59.0,54.0,100.0,97.0,56.0,100.0
2020-10-30,12.0,50.0,0.0,12.0,23.0,14.0,14.0,47.0,13.75,29.0,11.0,10.0,11.0,30.76923076923077,11.0,0.0,42.0,30.0,25.0,0.0,27.78285936027496
2020-10-31,40.0,40.0,31.0,92.0,36.0,15.0,29.0,100.0,30.0,50.0,25.0,44.0,35.0,50.54945054945055,48.0,59.0,75.0,33.0,27.0,28.0,63.96220886491966
2020-11-01,65.0,54.0,46.0,26.0,49.0,46.0,59.0,62.0,30.0,69.0,12.0,55.0,47.0,67.03296703296704,47.0,43.0,76.0,33.0,40.0,28.0,68.75341521940558
2020-11-02,25.0,39.0,15.0,63.0,12.0,29.0,14.0,60.0,28.75,30.0,24.0,32.0,11.0,0.0,34.0,28.0,100.0,32.0,38.0,39.0,47.11319917955541
2020-11-03,12.0,63.0,14.0,38.0,11.0,43.0,28.0,35.0,0.0,41.0,23.0,0.0,11.0,30.76923076923077,0.0,27.0,0.0,0.0,13.0,26.0,29.96285825156605
2020-11-04,11.0,71.0,27.0,34.0,21.0,53.0,51.0,33.0,38.75,38.0,21.0,28.0,10.0,14.285714285714286,0.0,38.0,52.0,19.0,47.0,47.0,47.13378948785567
2020-11-05,36.0,24.0,28.0,36.0,33.0,56.0,81.0,12.0,13.75,46.0,56.0,50.0,43.0,45.05494505494506,44.0,27.0,41.0,10.0,61.0,62.0,57.999136790921256
2020-11-06,25.0,25.0,43.0,25.0,23.0,43.0,28.0,35.0,42.5,24.0,12.0,31.0,22.0,47.252747252747255,11.0,41.0,42.0,61.0,76.0,39.0,50.140172483428756
2020-11-07,61.0,38.0,57.0,100.0,45.0,29.0,82.0,71.0,100.0,42.0,46.0,62.0,33.0,46.15384615384615,100.0,27.0,71.0,71.0,100.0,77.0,90.67021453517378
2020-11-08,50.0,38.0,44.0,12.0,34.0,43.0,83.0,12.0,13.75,54.0,35.0,21.0,56.0,47.252747252747255,11.0,28.0,50.0,20.0,65.0,52.0,55.419012773910495
2020-11-09,24.0,26.0,0.0,25.0,11.0,0.0,0.0,36.0,15.0,24.0,12.0,31.0,11.0,15.384615384615385,23.0,0.0,29.0,31.0,38.0,13.0,26.259770497255946
2020-11-10,13.0,51.0,15.0,13.0,12.0,30.0,0.0,73.0,15.0,25.0,36.0,11.0,23.0,32.967032967032964,12.0,28.0,52.0,11.0,13.0,0.0,33.58041703293657
2020-11-11,48.0,37.0,0.0,0.0,34.0,57.0,27.0,23.0,56.25,12.0,34.0,20.0,22.0,30.76923076923077,11.0,27.0,42.0,30.0,38.0,25.0,41.36731526137812
2020-11-12,25.0,13.0,44.0,51.0,70.0,59.0,56.0,36.0,15.0,30.0,35.0,21.0,45.0,15.384615384615385,46.0,56.0,44.0,31.0,26.0,0.0,51.77116248129053
2020-11-13,51.0,39.0,59.0,38.0,23.0,59.0,57.0,36.0,57.5,30.0,35.0,21.0,11.0,48.35164835164835,12.0,28.0,44.0,31.0,52.0,53.0,56.561180933374516
2020-11-14,39.0,53.0,76.0,39.0,36.0,77.0,88.0,12.0,15.0,31.0,12.0,44.0,47.0,67.03296703296704,59.0,58.0,45.0,43.0,40.0,27.0,65.43837558306208
2020-11-15,50.0,39.0,59.0,13.0,47.0,59.0,42.0,37.0,73.75,49.0,35.0,53.0,34.0,95.6043956043956,23.0,29.0,44.0,21.0,52.0,53.0,65.4615396798999
2020-11-16,25.0,13.0,29.0,62.0,11.0,29.0,0.0,24.0,15.0,12.0,11.0,10.0,0.0,30.76923076923077,11.0,14.0,14.0,10.0,0.0,13.0,24.053439769388547
2020-11-17,50.0,39.0,30.0,26.0,58.0,44.0,43.0,12.0,73.75,24.0,36.0,53.0,23.0,31.86813186813187,46.0,43.0,51.0,63.0,39.0,54.0,60.50798666381571
2020-11-18,25.0,77.0,45.0,25.0,59.0,30.0,43.0,48.0,45.0,36.0,24.0,11.0,46.0,80.21978021978022,12.0,14.0,22.0,32.0,39.0,13.0,52.33581208967871
2020-11-19,64.0,40.0,59.0,39.0,47.0,90.0,71.0,37.0,15.0,49.0,48.0,54.0,46.0,96.7032967032967,35.0,14.0,30.0,53.0,52.0,66.0,72.47709328201594
2020-11-20,26.0,0.0,46.0,13.0,36.0,30.0,43.0,12.0,15.0,19.0,24.0,32.0,34.0,48.35164835164835,23.0,57.0,30.0,0.0,53.0,13.0,39.94994971213165
2020-11-21,39.0,40.0,93.0,27.0,37.0,47.0,0.0,50.0,46.25,31.0,25.0,33.0,47.0,16.483516483516482,36.0,44.0,38.0,22.0,14.0,41.0,52.37283504787247
2020-11-22,0.0,41.0,77.0,13.0,12.0,62.0,59.0,0.0,30.0,89.0,61.0,66.0,36.0,32.967032967032964,47.0,59.0,53.0,43.0,54.0,83.0,66.1542847639638
2020-11-23,51.0,26.0,60.0,26.0,36.0,60.0,43.0,49.0,45.0,25.0,24.0,21.0,34.0,64.83516483516483,23.0,43.0,22.0,32.0,66.0,13.0,55.046605370902725
2020-11-24,25.0,26.0,0.0,13.0,11.0,0.0,28.0,24.0,15.0,24.0,12.0,10.0,11.0,15.384615384615385,22.0,14.0,29.0,31.0,26.0,26.0,26.11563833915405
2020-11-25,47.0,62.0,56.0,61.0,77.0,42.0,40.0,58.0,68.75,52.0,56.0,30.0,22.0,75.82417582417582,43.0,40.0,75.0,20.0,12.0,50.0,71.17059862361708
2020-11-26,25.0,26.0,29.0,26.0,47.0,15.0,29.0,36.0,43.75,18.0,12.0,11.0,11.0,48.35164835164835,35.0,42.0,15.0,21.0,26.0,26.0,39.06714024375757
2020-11-27,12.0,64.0,15.0,51.0,12.0,15.0,42.0,24.0,15.0,18.0,0.0,10.0,0.0,31.86813186813187,23.0,14.0,36.0,0.0,0.0,13.0,28.52866408495878
2020-11-28,37.0,13.0,44.0,75.0,23.0,43.0,55.0,12.0,42.5,24.0,12.0,41.0,44.0,63.73626373626374,11.0,28.0,28.0,30.0,38.0,13.0,48.80576211858434
2020-11-29,13.0,13.0,0.0,13.0,12.0,15.0,15.0,25.0,15.0,12.0,12.0,11.0,23.0,48.35164835164835,24.0,15.0,45.0,42.0,26.0,54.0,31.229954146967284
2020-11-30,37.0,37.0,99.0,37.0,23.0,28.0,41.0,0.0,42.5,35.0,46.0,20.0,33.0,61.53846153846154,66.0,69.0,28.0,40.0,25.0,13.0,56.28637951105937
2020-12-01,25.0,63.0,29.0,75.0,34.0,71.0,27.0,71.0,42.5,41.0,23.0,41.0,33.0,61.53846153846154,22.0,55.0,64.0,30.0,38.0,0.0,60.97067464937081
