date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-01-29,28.0,20.0,16.0,22.0,23.0,29.0,20.0,26.0,26.0,15.0,18.0,27.0,22.0,26.0,17.0,20.0,30.0,36.0,29.0,23.0,24.63541666666667
2020-01-30,27.0,26.0,23.0,30.0,26.0,30.0,28.0,16.0,30.0,29.0,24.0,26.0,24.0,26.0,22.0,30.0,27.0,22.0,24.0,31.0,27.13541666666667
2020-01-31,23.0,25.0,20.0,28.0,33.0,30.0,33.0,24.0,18.0,23.0,17.0,25.0,19.0,32.0,19.0,26.0,28.0,35.0,28.0,27.0,26.71875
2020-02-01,24.0,25.0,23.0,12.0,22.0,20.0,23.0,18.0,23.0,19.0,19.0,28.0,16.0,24.0,17.0,21.0,33.0,37.0,20.0,23.0,23.28125
2020-02-02,20.0,21.0,19.0,20.0,20.0,32.0,14.0,22.0,19.0,15.0,24.0,21.0,27.0,25.0,16.0,24.0,24.0,17.0,18.0,21.0,21.82291666666667
2020-02-03,22.0,16.0,24.0,17.0,18.0,18.0,20.0,27.0,21.0,14.0,26.0,22.0,23.0,19.0,16.0,22.0,21.0,19.0,18.0,22.0,21.09375
2020-02-04,21.0,23.0,21.0,16.0,13.0,17.0,23.0,19.0,17.0,20.0,19.0,11.0,21.0,14.0,18.0,23.0,21.0,23.0,21.0,21.0,19.895833333333336
2020-02-05,29.0,18.0,14.0,18.0,22.0,20.0,19.0,17.0,22.0,20.0,11.0,24.0,26.0,18.0,17.0,19.0,24.0,18.0,20.0,16.0,20.416666666666668
2020-02-06,18.0,18.0,14.0,15.0,12.0,17.0,14.0,11.0,13.0,14.0,14.0,8.0,12.0,20.0,10.0,14.0,20.0,15.0,21.0,18.0,15.520833333333336
2020-02-07,20.0,22.0,13.0,18.0,19.0,17.0,17.0,13.0,18.0,18.0,16.0,24.0,19.0,23.0,17.0,22.0,21.0,14.0,18.0,19.0,19.166666666666664
2020-02-08,18.0,21.0,15.0,18.0,18.0,18.0,22.0,20.0,27.0,19.0,13.0,14.0,18.0,18.0,10.0,18.0,22.0,18.0,14.0,24.0,19.010416666666668
2020-02-09,22.0,23.0,23.0,25.0,18.0,17.0,20.0,15.0,22.0,22.0,18.0,20.0,24.0,21.0,20.0,19.0,20.0,20.0,29.0,26.0,22.08333333333333
2020-02-10,27.0,20.0,19.0,18.0,19.0,20.0,15.0,19.0,11.0,19.0,15.0,14.0,19.0,24.0,18.0,24.0,23.0,23.0,15.0,14.0,19.58333333333333
2020-02-11,23.0,16.0,20.0,20.0,17.0,17.0,15.0,25.0,19.0,19.0,22.0,21.0,19.0,22.0,19.0,22.0,17.0,15.0,20.0,24.0,20.416666666666668
2020-02-12,21.0,19.0,16.0,20.0,26.0,12.0,14.0,16.0,22.0,14.0,13.0,17.0,18.0,24.0,14.0,19.0,14.0,18.0,21.0,16.0,18.4375
2020-02-13,14.0,15.0,17.0,16.0,6.0,13.0,12.0,11.0,15.0,12.0,13.0,14.0,14.0,14.0,13.0,13.0,12.0,13.0,15.0,14.0,13.854166666666664
2020-02-14,24.0,17.0,12.0,13.0,20.0,13.0,13.0,16.0,19.0,14.0,12.0,11.0,15.0,13.0,11.0,12.0,16.0,16.0,16.0,14.0,15.46875
2020-02-15,13.0,9.0,12.0,14.0,13.0,13.0,14.0,11.0,13.0,10.0,9.0,11.0,13.0,16.0,12.0,15.0,10.0,12.0,16.0,12.0,12.916666666666664
2020-02-16,22.0,18.0,18.0,23.0,24.0,14.0,11.0,21.0,29.0,21.0,18.0,20.0,19.0,24.0,20.0,22.0,9.0,10.0,17.0,23.0,19.947916666666664
2020-02-17,11.0,12.0,17.0,18.0,12.0,23.0,22.0,11.0,16.0,15.0,14.0,11.0,17.0,16.0,9.0,12.0,22.0,23.0,13.0,21.0,16.40625
2020-02-18,17.0,15.0,11.0,13.0,10.0,16.0,10.0,10.0,8.0,10.0,12.0,12.0,15.0,10.0,8.0,13.0,12.0,12.0,13.0,12.0,12.447916666666664
2020-02-19,21.0,19.0,17.0,15.0,21.0,14.0,18.0,21.0,12.0,17.0,19.0,13.0,14.0,22.0,15.0,19.0,16.0,6.0,19.0,19.0,17.552083333333336
