date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-10-05,74.0,74.0,55.0,62.0,57.0,63.0,52.0,51.0,57.0,58.0,53.0,68.0,71.0,57.0,67.0,60.0,40.0,66.0,54.0,60.0,61.93181818181819
2020-10-06,47.0,39.0,46.0,50.0,46.0,37.0,35.0,47.0,56.0,45.0,37.0,50.0,51.0,49.0,44.0,55.0,44.0,52.0,51.0,48.0,47.985537190082646
2020-10-07,50.0,42.0,44.0,36.0,47.0,37.0,42.0,46.0,30.0,42.0,37.0,41.0,42.0,44.0,33.0,40.0,31.0,43.0,40.0,36.0,41.47727272727273
2020-10-08,63.0,87.0,68.0,51.0,56.0,61.0,70.0,64.0,66.0,71.0,58.0,76.0,69.0,61.0,67.0,68.0,53.0,62.0,43.0,57.0,65.65082644628099
2020-10-09,65.0,61.0,59.0,46.0,65.0,65.0,80.0,70.0,52.0,65.0,56.0,59.0,72.0,78.0,58.0,58.0,45.0,61.0,51.0,68.0,63.739669421487605
2020-10-10,69.0,79.0,70.0,61.0,43.0,54.0,58.0,54.0,56.0,58.0,55.0,61.0,80.0,84.0,56.0,60.0,65.0,86.0,61.0,57.0,65.44421487603306
2020-10-11,71.0,62.0,55.0,57.0,56.0,59.0,79.0,65.0,59.0,64.0,59.0,76.0,62.0,62.0,69.0,64.0,49.0,52.0,59.0,53.0,63.63636363636364
2020-10-12,58.0,50.0,49.0,50.0,43.0,54.0,46.0,60.0,44.0,62.0,44.0,47.0,53.0,43.0,57.0,56.0,37.0,50.0,51.0,50.0,51.85950413223141
2020-10-13,56.0,58.0,48.0,61.0,47.0,59.0,40.0,51.0,59.0,50.0,38.0,54.0,70.0,70.0,59.0,51.0,52.0,62.0,54.0,57.0,56.61157024793389
2020-10-14,81.0,74.0,69.0,54.0,64.0,61.0,65.0,60.0,72.0,75.0,74.0,55.0,85.0,64.0,89.0,55.0,60.0,82.0,61.0,49.0,69.67975206611571
2020-10-15,80.0,83.0,66.0,75.0,67.0,57.0,67.0,68.0,58.0,72.0,49.0,65.0,59.0,62.0,58.0,68.0,47.0,57.0,61.0,78.0,66.99380165289256
2020-10-16,82.0,75.0,53.0,60.0,54.0,62.0,68.0,70.0,66.0,75.0,73.0,55.0,65.0,67.0,70.0,60.0,50.0,73.0,59.0,63.0,67.14876033057851
2020-10-17,53.0,61.0,61.0,41.0,50.0,53.0,51.0,55.0,44.0,58.0,52.0,62.0,64.0,55.0,43.0,44.0,46.0,54.0,74.0,58.0,55.73347107438017
2020-10-18,65.0,56.0,55.0,56.0,46.0,70.0,69.0,64.0,59.0,53.0,44.0,46.0,57.0,40.0,52.0,45.0,47.0,42.0,62.0,50.0,55.68181818181819
2020-10-19,59.0,54.0,52.0,47.0,52.0,61.0,52.0,57.0,67.0,67.0,58.0,50.0,70.0,59.0,74.0,53.0,52.0,52.0,48.0,34.0,57.747933884297524
