date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21_10,/m/01b_21_11,/m/01b_21_12,/m/01b_21_13,/m/01b_21_14,/m/01b_21_15,/m/01b_21_16,/m/01b_21_17,/m/01b_21_18,/m/01b_21_19,/m/01b_21
2020-10-05,29.0,8.0,20.0,27.0,41.0,35.0,20.0,19.0,7.0,39.0,54.0,33.0,46.0,26.0,43.0,16.0,44.0,34.0,23.0,40.0,39.5029431000654
2020-10-06,29.0,57.0,55.0,54.0,66.0,53.0,40.0,28.0,23.0,71.0,64.0,49.0,46.0,35.0,15.0,41.0,35.0,42.0,39.0,20.0,56.3767168083715
2020-10-07,7.0,16.0,34.0,73.0,51.0,72.0,34.0,38.0,45.0,24.0,28.0,34.0,31.0,35.0,22.0,58.0,36.0,34.0,8.0,41.0,47.15500327011117
2020-10-08,54.0,88.0,37.0,49.0,91.0,48.0,59.0,81.0,24.0,42.0,49.0,54.0,41.0,67.0,47.0,45.0,48.0,37.0,25.0,76.0,69.45716154349248
2020-10-09,33.0,38.0,39.0,73.0,39.0,21.0,31.0,44.0,9.0,45.0,31.0,19.0,27.0,41.0,25.0,38.0,61.0,20.0,36.0,23.0,45.32374100719424
2020-10-10,34.0,49.0,16.0,54.0,10.0,42.0,32.0,34.0,36.0,28.0,32.0,39.0,9.0,32.0,34.0,29.0,42.0,40.0,9.0,60.0,43.23086984957488
2020-10-11,8.0,10.0,39.0,31.0,19.0,10.0,31.0,11.0,9.0,9.0,11.0,10.0,27.0,10.0,17.0,19.0,41.0,20.0,27.0,23.0,24.983649444081106
2020-10-12,55.0,54.0,22.0,70.0,74.0,59.0,30.0,52.0,42.0,43.0,20.0,37.0,8.0,68.0,40.0,36.0,29.0,57.0,43.0,55.0,58.46958796599084
2020-10-13,39.0,54.0,37.0,50.0,55.0,69.0,59.0,83.0,33.0,26.0,61.0,55.0,17.0,29.0,48.0,54.0,49.0,57.0,51.0,78.0,65.66383257030739
2020-10-14,37.0,17.0,43.0,28.0,26.0,65.0,50.0,39.0,55.0,41.0,48.0,61.0,24.0,65.0,30.0,26.0,46.0,54.0,25.0,53.0,54.480052321778935
2020-10-15,64.0,45.0,30.0,79.0,55.0,69.0,52.0,52.0,58.0,53.0,50.0,18.0,59.0,20.0,81.0,27.0,49.0,85.0,60.0,100.0,72.33485938521909
2020-10-16,24.0,64.0,23.0,91.0,65.0,100.0,46.0,85.0,76.0,53.0,71.0,75.0,85.0,60.0,33.0,66.0,79.0,97.0,79.0,46.0,86.20013080444734
2020-10-17,26.0,10.0,49.0,22.0,31.0,11.0,24.0,57.0,18.0,48.0,22.0,10.0,9.0,21.0,18.0,40.0,21.0,52.0,19.0,48.0,36.36363636363636
2020-10-18,62.0,61.0,100.0,100.0,52.0,88.0,66.0,82.0,93.0,49.0,56.0,82.0,48.0,88.0,63.0,72.0,43.0,74.0,68.0,74.0,92.93655984303464
2020-10-19,40.0,71.0,37.0,80.0,64.0,79.0,52.0,73.0,58.0,26.0,100.0,46.0,34.0,68.0,16.0,45.0,58.0,28.0,26.0,45.0,68.4107259646828
2020-10-20,39.0,53.0,44.0,68.0,27.0,39.0,29.0,40.0,49.0,60.0,69.0,36.0,25.0,58.0,24.0,71.0,67.0,84.0,17.0,66.0,63.1131458469588
2020-10-21,55.0,80.0,59.0,69.0,27.0,78.0,44.0,62.0,66.0,69.0,100.0,54.0,42.0,39.0,55.0,54.0,67.0,65.0,42.0,66.0,78.02485284499674
2020-10-22,46.0,86.0,77.0,19.0,62.0,66.0,14.0,30.0,32.0,25.0,29.0,70.0,16.0,65.0,38.0,70.0,56.0,73.0,33.0,64.0,63.50555918901242
2020-10-23,46.0,44.0,21.0,48.0,27.0,38.0,36.0,81.0,40.0,51.0,29.0,44.0,24.0,66.0,39.0,44.0,84.0,37.0,58.0,65.0,60.300850228907784
2020-10-24,69.0,49.0,40.0,76.0,100.0,97.0,41.0,67.0,100.0,95.0,77.0,100.0,100.0,63.0,70.0,59.0,95.0,42.0,84.0,96.0,99.41137998691956
2020-10-25,41.0,38.0,100.0,72.0,48.0,62.0,70.0,44.0,78.0,90.0,53.0,68.0,78.0,72.0,100.0,48.0,61.0,79.0,45.0,58.0,85.34990189666449
2020-10-26,37.0,50.0,63.0,47.0,77.0,36.0,62.0,77.0,62.0,74.0,65.0,69.0,94.0,100.0,30.0,76.0,100.0,62.0,56.0,72.0,85.61151079136691
2020-10-27,100.0,43.0,64.0,76.0,62.0,47.0,100.0,70.0,56.0,100.0,87.0,88.0,57.0,75.0,85.0,70.0,74.0,100.0,100.0,75.0,100.0
2020-10-28,38.0,26.0,35.0,28.0,18.0,37.0,35.0,39.0,24.0,42.0,48.0,17.0,41.0,47.0,38.0,35.0,19.0,36.0,25.0,21.0,42.446043165467636
2020-10-29,37.0,51.0,48.0,56.0,43.0,27.0,35.0,48.0,46.0,24.0,19.0,51.0,31.0,27.0,15.0,34.0,45.0,35.0,48.0,52.0,50.490516677567044
2020-10-30,35.0,16.0,26.0,87.0,49.0,60.0,58.0,100.0,36.0,62.0,62.0,64.0,59.0,93.0,35.0,48.0,42.0,50.0,53.0,78.0,72.79267495094831
2020-10-31,81.0,50.0,49.0,84.0,52.0,74.0,49.0,77.0,46.0,57.0,56.0,68.0,63.0,36.0,60.0,42.0,72.0,98.0,72.0,82.0,82.9300196206671
2020-11-01,22.0,42.0,63.0,37.0,26.0,37.0,21.0,39.0,62.0,66.0,38.0,61.0,40.0,55.0,30.0,68.0,27.0,18.0,81.0,41.0,57.16154349247874
2020-11-02,7.0,40.0,40.0,36.0,58.0,62.0,27.0,66.0,52.0,47.0,72.0,33.0,53.0,44.0,36.0,48.0,43.0,34.0,31.0,90.0,60.10464355788096
2020-11-03,14.0,32.0,46.0,53.0,91.0,79.0,33.0,74.0,29.0,23.0,71.0,33.0,22.0,60.0,50.0,24.0,43.0,59.0,30.0,60.0,60.5624591236102
2020-11-04,38.0,29.0,30.0,24.0,44.0,39.0,48.0,42.0,53.0,49.0,64.0,73.0,27.0,24.0,58.0,73.0,47.0,61.0,48.0,89.0,62.78613472858077
2020-11-05,59.0,68.0,43.0,66.0,31.0,50.0,18.0,78.0,35.0,66.0,42.0,38.0,70.0,73.0,47.0,68.0,40.0,63.0,50.0,55.0,69.32635709614127
2020-11-06,21.0,47.0,13.0,43.0,40.0,51.0,26.0,54.0,36.0,38.0,44.0,24.0,37.0,25.0,28.0,56.0,34.0,58.0,38.0,58.0,50.42511445389143
2020-11-07,42.0,47.0,39.0,52.0,73.0,78.0,32.0,46.0,50.0,53.0,88.0,24.0,44.0,42.0,21.0,40.0,34.0,58.0,30.0,39.0,60.954872465663826
2020-11-08,21.0,16.0,45.0,18.0,41.0,52.0,26.0,92.0,22.0,31.0,63.0,41.0,52.0,17.0,43.0,65.0,43.0,34.0,31.0,59.0,53.106605624591225
2020-11-09,49.0,48.0,27.0,71.0,82.0,70.0,26.0,56.0,15.0,70.0,73.0,24.0,30.0,44.0,21.0,41.0,26.0,76.0,38.0,30.0,59.973839110529745
2020-11-10,43.0,33.0,54.0,63.0,50.0,62.0,33.0,38.0,45.0,71.0,36.0,33.0,38.0,79.0,14.0,41.0,52.0,26.0,55.0,40.0,59.254414650098106
2020-11-11,14.0,23.0,13.0,17.0,16.0,60.0,13.0,18.0,15.0,30.0,43.0,16.0,29.0,34.0,21.0,8.0,25.0,25.0,15.0,29.0,30.34663178548071
2020-11-12,57.0,56.0,20.0,44.0,50.0,98.0,40.0,66.0,51.0,46.0,90.0,41.0,53.0,69.0,43.0,33.0,43.0,68.0,31.0,49.0,68.54153041203399
2020-11-13,21.0,16.0,27.0,62.0,33.0,18.0,20.0,29.0,7.0,8.0,18.0,8.0,15.0,26.0,22.0,16.0,35.0,34.0,23.0,40.0,31.26226291693917
2020-11-14,73.0,50.0,48.0,83.0,26.0,81.0,69.0,67.0,53.0,48.0,37.0,59.0,85.0,18.0,37.0,34.0,54.0,53.0,40.0,61.0,70.37279267495093
