date,/m/0m7pl_0,/m/0m7pl_1,/m/0m7pl_2,/m/0m7pl_3,/m/0m7pl_4,/m/0m7pl_5,/m/0m7pl_6,/m/0m7pl_7,/m/0m7pl_8,/m/0m7pl_9,/m/0m7pl,batch_id
2020-01-01,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.9,0
2020-01-02,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0
2020-01-03,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0
2020-01-04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3,0
2020-01-05,0.0,3.0,3.0,4.0,3.0,3.0,5.0,6.0,1.0,1.0,2.9,0
2020-01-06,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0
2020-01-07,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-09,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,0
2020-01-10,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.2,0
2020-01-11,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
2020-01-12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0
2020-01-13,3.0,3.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0
2020-01-14,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0
2020-01-17,2.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,3.0,1.0,1.6,0
2020-01-18,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-20,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2,0
2020-01-21,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,5.0,1.8,0
2020-01-22,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7,0
2020-01-23,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4,0
2020-01-24,0.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,2.0,3.0,1.6,0
2020-01-25,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0
2020-01-26,2.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.6,0
2020-01-27,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,0
2020-01-28,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6,0
2020-01-29,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.8,0
2020-01-30,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.1,0
2020-01-31,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4,0
2020-02-01,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0
2020-02-02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3,0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-04,0.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.1,0
2020-02-05,0.0,3.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.4,0
2020-02-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0
2020-02-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0
2020-02-08,2.0,1.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,1.0,1.8,0
2020-02-09,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.2,0
2020-02-10,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8,0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-12,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.7,0
2020-02-13,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0
2020-02-14,3.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.7,0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-16,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.2,0
2020-02-17,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,1.3,0
2020-02-18,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.2,0
2020-02-19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-21,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.5,0
2020-02-22,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6,0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0
2020-02-25,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.8,0
2020-02-26,3.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.6,0
2020-02-27,2.0,2.0,0.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,2.1,0
2020-02-28,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.4,0
2020-02-29,1.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,1.1,0
2020-03-01,1.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.1,0
2020-03-02,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7,0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.5,0
2020-03-04,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0
2020-03-05,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0
2020-03-06,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0
2020-03-07,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.7,0
2020-03-08,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.6,0
2020-03-09,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.2,0
2020-03-10,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.9,0
2020-03-11,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.3,0
2020-03-12,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.3,0
2020-03-13,5.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,3.2,0
2020-03-14,6.0,5.0,4.0,3.0,2.0,4.0,1.0,1.0,3.0,8.0,3.7,0
2020-03-15,4.0,7.0,7.0,5.0,4.0,5.0,9.0,6.0,3.0,0.0,5.0,0
2020-03-16,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.6,0
2020-03-17,6.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,6.0,8.0,4.5,0
2020-03-18,6.0,7.0,4.0,7.0,7.0,7.0,5.0,7.0,5.0,6.0,6.1,0
2020-03-19,4.0,6.0,2.0,4.0,4.0,8.0,6.0,3.0,6.0,4.0,4.7,0
2020-03-20,10.0,12.0,10.0,9.0,9.0,14.0,11.0,10.0,8.0,7.0,10.0,0
2020-03-21,40.0,38.0,43.0,51.0,40.0,49.0,48.0,47.0,33.0,50.0,43.9,0
2020-03-22,43.0,31.0,45.0,40.0,39.0,42.0,52.0,39.0,46.0,47.0,42.4,0
2020-03-23,44.0,28.0,48.0,43.0,53.0,43.0,53.0,39.0,52.0,50.0,45.3,0
2020-03-24,29.0,30.0,34.0,27.0,27.0,28.0,19.0,24.0,33.0,25.0,27.6,0
2020-03-25,29.0,21.0,32.0,34.0,30.0,27.0,32.0,27.0,32.0,22.0,28.6,0
2020-03-26,32.0,24.0,26.0,34.0,33.0,33.0,41.0,29.0,24.0,26.0,30.2,0
