date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21,batch_id
2020-01-01,62.0,42.0,43.0,58.0,35.0,58.0,62.0,83.0,64.0,40.0,65.66626650660264,0
2020-01-02,60.0,36.0,16.0,40.0,25.0,23.0,48.0,40.0,25.0,20.0,39.97599039615846,0
2020-01-03,39.0,37.0,27.0,17.0,37.0,57.0,30.0,67.0,50.0,50.0,49.339735894357744,0
2020-01-04,40.0,44.0,33.0,47.0,45.0,52.0,43.0,69.0,63.0,50.0,58.34333733493398,0
2020-01-05,34.0,51.0,74.0,54.0,65.0,59.0,57.0,63.0,58.0,52.0,68.0672268907563,0
2020-01-06,34.0,43.0,43.0,23.0,44.0,46.0,42.0,41.0,44.0,30.0,46.8187274909964,0
2020-01-07,28.0,31.0,28.0,35.0,51.0,46.0,68.0,61.0,51.0,35.0,52.10084033613445,0
2020-01-08,17.0,19.0,28.0,30.0,20.0,18.0,25.0,14.0,25.0,20.0,25.930372148859544,0
2020-01-09,29.0,44.0,17.0,36.0,13.0,29.0,19.0,35.0,51.0,26.0,35.89435774309724,0
2020-01-10,41.0,20.0,29.0,31.0,67.0,43.0,45.0,43.0,54.0,42.0,49.81992797118848,0
2020-01-11,24.0,41.0,24.0,19.0,42.0,32.0,34.0,67.0,28.0,33.0,41.29651860744298,0
2020-01-12,41.0,59.0,40.0,43.0,33.0,30.0,45.0,49.0,40.0,53.0,51.980792316926774,0
2020-01-13,26.0,23.0,35.0,26.0,75.0,37.0,45.0,37.0,34.0,37.0,45.01800720288115,0
2020-01-14,35.0,39.0,34.0,47.0,62.0,36.0,38.0,49.0,39.0,31.0,49.219687875150065,0
2020-01-15,51.0,25.0,22.0,30.0,26.0,47.0,49.0,34.0,13.0,20.0,38.055222088835535,0
2020-01-16,34.0,45.0,11.0,36.0,39.0,12.0,19.0,56.0,39.0,26.0,38.055222088835535,0
2020-01-17,36.0,53.0,29.0,50.0,67.0,86.0,65.0,72.0,53.0,37.0,65.78631452581033,0
2020-01-18,49.0,61.0,36.0,32.0,27.0,19.0,40.0,44.0,41.0,33.0,45.858343337334944,0
2020-01-19,41.0,46.0,39.0,24.0,60.0,12.0,57.0,63.0,33.0,37.0,49.45978391356543,0
2020-01-20,34.0,44.0,39.0,65.0,56.0,81.0,37.0,88.0,31.0,46.0,62.545018007202884,0
2020-01-21,63.0,71.0,50.0,42.0,53.0,47.0,63.0,56.0,71.0,21.0,64.46578631452581,0
2020-01-22,34.0,26.0,34.0,42.0,66.0,30.0,44.0,35.0,58.0,26.0,47.418967587034814,0
2020-01-23,30.0,39.0,23.0,31.0,53.0,30.0,32.0,79.0,27.0,32.0,45.13805522208884,0
2020-01-24,66.0,33.0,59.0,76.0,75.0,56.0,46.0,74.0,61.0,54.0,72.02881152460985,0
2020-01-25,43.0,41.0,24.0,32.0,69.0,31.0,40.0,52.0,55.0,39.0,51.14045618247299,0
2020-01-26,36.0,78.0,46.0,56.0,60.0,79.0,51.0,71.0,60.0,63.0,72.02881152460985,0
2020-01-27,33.0,62.0,43.0,40.0,75.0,56.0,30.0,47.0,75.0,30.0,58.94357743097239,0
2020-01-28,57.0,83.0,55.0,41.0,64.0,70.0,50.0,68.0,83.0,35.0,72.74909963985594,0
2020-01-29,74.0,45.0,56.0,60.0,39.0,89.0,82.0,91.0,45.0,57.0,76.5906362545018,0
2020-01-30,64.0,92.0,40.0,74.0,67.0,37.0,58.0,100.0,73.0,79.0,82.11284513805523,0
2020-01-31,72.0,72.0,81.0,38.0,27.0,74.0,59.0,95.0,67.0,43.0,75.39015606242498,0
2020-02-01,89.0,84.0,67.0,66.0,65.0,46.0,75.0,77.0,57.0,57.0,81.99279711884755,0
2020-02-02,78.0,88.0,71.0,56.0,89.0,62.0,72.0,65.0,75.0,48.0,84.5138055222089,0
2020-02-03,30.0,57.0,60.0,43.0,52.0,68.0,55.0,68.0,52.0,54.0,64.70588235294117,0
2020-02-04,56.0,56.0,43.0,29.0,38.0,29.0,37.0,27.0,50.0,15.0,45.61824729891957,0
2020-02-05,85.0,96.0,100.0,89.0,71.0,76.0,87.0,89.0,83.0,57.0,100.0,0
2020-02-06,64.0,39.0,34.0,79.0,66.0,65.0,64.0,35.0,40.0,37.0,62.78511404561825,0
2020-02-07,36.0,80.0,64.0,38.0,61.0,80.0,79.0,94.0,82.0,48.0,79.4717887154862,0
2020-02-08,76.0,49.0,73.0,66.0,42.0,32.0,61.0,53.0,49.0,51.0,66.26650660264106,0
2020-02-09,36.0,80.0,53.0,69.0,67.0,68.0,79.0,43.0,67.0,48.0,73.22929171668667,0
2020-02-10,54.0,36.0,48.0,74.0,49.0,44.0,36.0,53.0,43.0,29.0,55.942376950780314,0
2020-02-11,27.0,61.0,69.0,23.0,44.0,68.0,48.0,40.0,81.0,25.0,58.34333733493398,0
2020-02-12,28.0,38.0,39.0,77.0,64.0,47.0,25.0,48.0,44.0,20.0,51.62064825930372,0
2020-02-13,35.0,52.0,56.0,67.0,72.0,42.0,76.0,57.0,78.0,52.0,70.46818727490997,0
2020-02-14,70.0,59.0,40.0,43.0,93.0,36.0,77.0,57.0,93.0,37.0,72.62905162064826,0
2020-02-15,38.0,49.0,49.0,52.0,57.0,52.0,82.0,68.0,65.0,51.0,67.58703481392557,0
2020-02-16,54.0,60.0,64.0,82.0,34.0,86.0,52.0,87.0,88.0,54.0,79.3517406962785,0
2020-02-17,62.0,75.0,27.0,46.0,57.0,51.0,55.0,27.0,38.0,60.0,59.783913565426175,0
2020-02-18,45.0,43.0,38.0,52.0,50.0,41.0,37.0,54.0,25.0,40.0,51.02040816326531,0
2020-02-19,45.0,56.0,27.0,58.0,50.0,74.0,61.0,54.0,62.0,45.0,63.865546218487395,0
2020-02-20,62.0,51.0,44.0,65.0,58.0,53.0,99.0,62.0,90.0,56.0,76.83073229291718,0
2020-02-21,63.0,65.0,74.0,73.0,60.0,30.0,57.0,77.0,53.0,52.0,72.50900360144058,0
2020-02-22,31.0,48.0,30.0,52.0,71.0,45.0,61.0,60.0,42.0,39.0,57.50300120048019,0
2020-02-23,68.0,71.0,79.0,60.0,26.0,59.0,100.0,70.0,59.0,67.0,79.11164465786315,0
2020-02-24,59.0,90.0,68.0,62.0,67.0,67.0,59.0,46.0,60.0,58.0,76.35054021608644,0
2020-02-25,88.0,67.0,54.0,97.0,68.0,51.0,83.0,86.0,98.0,54.0,89.55582232893157,0
2020-02-26,47.0,64.0,71.0,55.0,77.0,64.0,57.0,76.0,53.0,51.0,73.8295318127251,0
2020-02-27,76.0,73.0,80.0,46.0,62.0,85.0,65.0,47.0,49.0,54.0,76.47058823529412,0
2020-02-28,74.0,89.0,50.0,53.0,52.0,65.0,88.0,76.0,65.0,60.0,80.67226890756302,0
2020-02-29,47.0,66.0,40.0,56.0,74.0,30.0,13.0,65.0,40.0,49.0,57.62304921968788,0
2020-03-01,74.0,76.0,72.0,78.0,91.0,58.0,100.0,83.0,83.0,36.0,90.15606242496997,0
2020-03-02,53.0,30.0,46.0,45.0,36.0,27.0,57.0,64.0,48.0,53.0,55.102040816326536,0
2020-03-03,42.0,83.0,41.0,91.0,84.0,39.0,70.0,84.0,54.0,48.0,76.35054021608644,0
2020-03-04,37.0,53.0,52.0,72.0,30.0,38.0,69.0,45.0,48.0,43.0,58.46338535414166,0
2020-03-05,23.0,31.0,17.0,18.0,58.0,23.0,55.0,27.0,45.0,20.0,38.055222088835535,0
2020-03-06,50.0,50.0,49.0,77.0,63.0,74.0,48.0,81.0,75.0,45.0,73.46938775510205,0
2020-03-07,36.0,46.0,52.0,44.0,75.0,49.0,32.0,29.0,53.0,48.0,55.70228091236495,0
2020-03-08,47.0,77.0,34.0,30.0,73.0,30.0,38.0,56.0,45.0,58.0,58.583433373349344,0
2020-03-09,60.0,78.0,69.0,80.0,56.0,73.0,72.0,46.0,49.0,53.0,76.35054021608644,0
2020-03-10,55.0,68.0,59.0,52.0,50.0,51.0,42.0,47.0,61.0,44.0,63.50540216086435,0
2020-03-11,65.0,47.0,36.0,89.0,84.0,55.0,82.0,64.0,85.0,48.0,78.63145258103242,0
2020-03-12,57.0,70.0,55.0,53.0,52.0,88.0,80.0,90.0,65.0,66.0,81.15246098439376,0
2020-03-13,49.0,49.0,65.0,46.0,63.0,51.0,72.0,94.0,69.0,45.0,72.3889555822329,0
2020-03-14,55.0,69.0,54.0,52.0,70.0,57.0,54.0,75.0,70.0,45.0,72.14885954381752,0
2020-03-15,57.0,89.0,89.0,77.0,91.0,100.0,75.0,35.0,78.0,52.0,89.19567827130852,0
