date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0,batch_id
2020-01-01,0.0,0.0,30.0,100.0,32.0,40.0,82.0,27.0,61.0,37.0,64.20722135007848,0
2020-01-02,63.0,0.0,0.0,0.0,51.0,32.0,0.0,22.0,24.0,30.0,34.850863422291994,0
2020-01-03,0.0,27.0,0.0,53.0,0.0,0.0,0.0,22.0,0.0,60.0,25.43171114599686,0
2020-01-04,36.0,62.0,27.0,89.0,28.0,73.0,36.0,24.0,28.0,66.0,73.62637362637362,0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-07,0.0,0.0,0.0,0.0,48.0,60.0,0.0,20.0,0.0,56.0,28.885400313971736,0
2020-01-08,0.0,25.0,22.0,0.0,23.0,0.0,0.0,0.0,0.0,28.0,15.384615384615385,0
2020-01-09,31.0,0.0,0.0,25.0,48.0,0.0,32.0,21.0,23.0,28.0,32.6530612244898,0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-11,78.0,0.0,29.0,63.0,30.0,38.0,0.0,26.0,29.0,71.0,57.14285714285714,0
2020-01-12,72.0,61.0,27.0,30.0,56.0,36.0,73.0,0.0,0.0,0.0,55.72998430141287,0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-14,0.0,23.0,0.0,23.0,0.0,27.0,0.0,0.0,0.0,0.0,11.459968602825745,0
2020-01-15,0.0,51.0,23.0,25.0,0.0,29.0,0.0,0.0,23.0,0.0,23.704866562009418,0
2020-01-16,31.0,27.0,24.0,26.0,25.0,31.0,32.0,0.0,24.0,0.0,34.53689167974882,0
2020-01-17,0.0,0.0,25.0,0.0,0.0,32.0,33.0,44.0,49.0,0.0,28.728414442700156,0
2020-01-18,38.0,0.0,0.0,31.0,29.0,37.0,38.0,0.0,29.0,35.0,37.20565149136578,0
2020-01-19,0.0,62.0,28.0,30.0,29.0,0.0,0.0,24.0,28.0,0.0,31.554160125588698,0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,3.139717425431711,0
2020-01-21,60.0,52.0,22.0,0.0,0.0,30.0,61.0,20.0,0.0,56.0,47.25274725274725,0
2020-01-22,31.0,0.0,23.0,26.0,24.0,0.0,32.0,0.0,24.0,28.0,29.513343799058084,0
2020-01-23,0.0,0.0,24.0,26.0,0.0,31.0,32.0,43.0,24.0,0.0,28.2574568288854,0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-26,36.0,31.0,0.0,29.0,0.0,35.0,0.0,0.0,27.0,33.0,29.984301412872842,0
2020-01-27,30.0,26.0,0.0,24.0,0.0,29.0,0.0,20.0,23.0,28.0,28.2574568288854,0
2020-01-28,61.0,0.0,23.0,25.0,24.0,0.0,31.0,21.0,0.0,56.0,37.83359497645212,0
2020-01-29,64.0,27.0,95.0,78.0,76.0,63.0,33.0,44.0,73.0,60.0,96.23233908948194,0
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-31,100.0,57.0,100.0,28.0,26.0,100.0,67.0,45.0,51.0,62.0,99.84301412872841,0
2020-02-01,38.0,32.0,28.0,94.0,0.0,38.0,38.0,26.0,29.0,0.0,50.70643642072213,0
2020-02-02,75.0,32.0,0.0,30.0,0.0,0.0,37.0,25.0,0.0,35.0,36.73469387755102,0
2020-02-03,59.0,51.0,65.0,24.0,23.0,29.0,59.0,0.0,45.0,27.0,59.968602825745684,0
