date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0,batch_id
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-03,0.0,35.0,36.0,74.0,0.0,77.0,46.0,83.0,0.0,33.0,52.81980742778542,0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-05,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33837689133425,0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-07,0.0,0.0,35.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,9.903713892709765,0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-09,39.0,0.0,0.0,0.0,37.0,26.0,23.0,43.0,27.0,0.0,26.822558459422282,0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-12,35.0,34.0,0.0,0.0,0.0,23.0,0.0,37.0,23.0,0.0,20.90784044016506,0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-14,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8514442916093534,0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-17,0.0,0.0,36.0,0.0,0.0,26.0,24.0,0.0,0.0,0.0,11.829436038514443,0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-20,37.0,0.0,35.0,35.0,37.0,25.0,0.0,40.0,27.0,95.0,45.529573590096284,0
2020-01-21,36.0,17.0,0.0,0.0,35.0,23.0,21.0,0.0,26.0,0.0,21.733149931224208,0
2020-01-22,34.0,32.0,0.0,33.0,0.0,45.0,22.0,0.0,49.0,57.0,37.414030261348,0
