date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty,batch_id
2020-01-01,12.0,12.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.267589388696655,0
2020-01-02,36.0,17.0,24.0,38.0,38.0,48.0,37.0,22.0,22.0,9.0,33.56401384083045,0
2020-01-03,9.0,9.0,8.0,13.0,9.0,10.0,7.0,7.0,11.0,17.0,11.534025374855824,0
2020-01-04,21.0,30.0,38.0,44.0,0.0,11.0,34.0,17.0,13.0,10.0,25.1441753171857,0
2020-01-05,0.0,10.0,19.0,29.0,32.0,0.0,25.0,8.0,51.0,20.0,22.376009227220298,0
2020-01-06,9.0,0.0,16.0,13.0,28.0,9.0,7.0,15.0,0.0,0.0,11.188004613610149,0
2020-01-07,27.0,18.0,17.0,52.0,38.0,29.0,15.0,22.0,11.0,9.0,27.45098039215686,0
2020-01-08,27.0,9.0,33.0,26.0,28.0,19.0,15.0,15.0,11.0,35.0,25.1441753171857,0
2020-01-09,18.0,0.0,0.0,13.0,9.0,10.0,15.0,7.0,11.0,26.0,12.57208765859285,0
2020-01-10,18.0,9.0,25.0,39.0,19.0,10.0,7.0,15.0,11.0,26.0,20.645905420991923,0
2020-01-11,22.0,21.0,10.0,16.0,0.0,23.0,9.0,9.0,27.0,32.0,19.49250288350634,0
2020-01-12,21.0,21.0,10.0,30.0,11.0,23.0,9.0,26.0,26.0,20.0,22.722029988465973,0
2020-01-13,24.0,8.0,29.0,34.0,25.0,17.0,33.0,6.0,10.0,8.0,22.376009227220298,0
2020-01-14,30.0,15.0,14.0,21.0,39.0,16.0,31.0,30.0,19.0,22.0,27.335640138408305,0
2020-01-15,17.0,25.0,0.0,25.0,9.0,0.0,14.0,7.0,32.0,8.0,15.801614763552479,0
2020-01-16,18.0,17.0,0.0,38.0,9.0,9.0,0.0,21.0,32.0,17.0,18.56978085351788,0
2020-01-17,17.0,43.0,24.0,25.0,9.0,37.0,14.0,14.0,32.0,25.0,27.681660899653977,0
2020-01-18,10.0,0.0,9.0,29.0,11.0,11.0,8.0,8.0,0.0,0.0,9.91926182237601,0
2020-01-19,21.0,0.0,19.0,15.0,11.0,11.0,0.0,17.0,26.0,0.0,13.840830449826989,0
2020-01-20,18.0,26.0,16.0,0.0,28.0,19.0,0.0,7.0,22.0,25.0,18.56978085351788,0
2020-01-21,26.0,17.0,8.0,25.0,27.0,28.0,22.0,14.0,11.0,42.0,25.374855824682815,0
2020-01-22,26.0,17.0,0.0,12.0,27.0,19.0,7.0,0.0,32.0,17.0,18.108419838523645,0
2020-01-23,26.0,43.0,0.0,51.0,19.0,19.0,15.0,29.0,44.0,42.0,33.21799307958477,0
2020-01-24,18.0,18.0,8.0,0.0,10.0,10.0,8.0,7.0,23.0,9.0,12.802768166089965,0
2020-01-25,32.0,32.0,39.0,61.0,22.0,69.0,9.0,35.0,39.0,41.0,43.713956170703575,0
2020-01-26,10.0,0.0,19.0,29.0,32.0,0.0,8.0,25.0,25.0,10.0,18.2237600922722,0
2020-01-27,25.0,16.0,8.0,12.0,26.0,27.0,0.0,20.0,31.0,32.0,22.722029988465973,0
2020-01-28,25.0,17.0,8.0,48.0,9.0,28.0,7.0,7.0,10.0,16.0,20.18454440599769,0
2020-01-29,17.0,0.0,8.0,49.0,36.0,37.0,14.0,7.0,43.0,17.0,26.297577854671278,0
2020-01-30,9.0,17.0,31.0,37.0,9.0,28.0,22.0,21.0,11.0,25.0,24.22145328719723,0
2020-01-31,17.0,25.0,8.0,12.0,27.0,9.0,0.0,14.0,32.0,8.0,17.531718569780853,0
2020-02-01,0.0,10.0,36.0,0.0,11.0,11.0,8.0,16.0,37.0,29.0,18.2237600922722,0
2020-02-02,31.0,31.0,10.0,30.0,33.0,11.0,26.0,43.0,65.0,31.0,35.870818915801614,0
2020-02-03,0.0,8.0,0.0,0.0,9.0,9.0,7.0,13.0,0.0,16.0,7.151095732410611,0
2020-02-04,0.0,25.0,8.0,24.0,18.0,18.0,7.0,7.0,21.0,33.0,18.56978085351788,0
2020-02-05,54.0,53.0,16.0,25.0,37.0,38.0,7.0,22.0,55.0,17.0,37.37024221453287,0
2020-02-06,44.0,35.0,16.0,26.0,28.0,29.0,7.0,22.0,0.0,26.0,26.87427912341407,0
2020-02-07,9.0,18.0,8.0,39.0,0.0,29.0,15.0,15.0,11.0,26.0,19.6078431372549,0
2020-02-08,20.0,0.0,9.0,43.0,10.0,11.0,24.0,0.0,12.0,19.0,17.07035755478662,0
2020-02-09,0.0,40.0,27.0,43.0,21.0,43.0,8.0,8.0,37.0,0.0,26.182237600922722,0
2020-02-10,8.0,8.0,8.0,12.0,9.0,9.0,14.0,0.0,10.0,8.0,9.91926182237601,0
2020-02-11,8.0,33.0,15.0,24.0,9.0,27.0,7.0,27.0,41.0,8.0,22.95271049596309,0
2020-02-12,0.0,16.0,8.0,12.0,18.0,9.0,7.0,27.0,0.0,24.0,13.956170703575548,0
2020-02-13,9.0,25.0,15.0,37.0,27.0,28.0,35.0,14.0,32.0,16.0,27.45098039215686,0
2020-02-14,9.0,9.0,17.0,13.0,0.0,0.0,7.0,23.0,0.0,0.0,8.996539792387543,0
2020-02-15,10.0,10.0,9.0,29.0,22.0,0.0,26.0,0.0,39.0,20.0,19.031141868512112,0
2020-02-16,29.0,0.0,26.0,14.0,20.0,20.0,24.0,31.0,12.0,18.0,22.376009227220298,0
2020-02-17,0.0,0.0,0.0,0.0,18.0,9.0,0.0,14.0,21.0,16.0,8.996539792387543,0
2020-02-18,25.0,17.0,38.0,12.0,18.0,9.0,14.0,13.0,31.0,33.0,24.22145328719723,0
2020-02-19,34.0,25.0,16.0,24.0,18.0,18.0,21.0,14.0,21.0,8.0,22.95271049596309,0
2020-02-20,8.0,16.0,8.0,24.0,9.0,9.0,7.0,14.0,0.0,16.0,12.802768166089965,0
2020-02-21,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,2.0761245674740483,0
2020-02-22,11.0,32.0,49.0,62.0,68.0,58.0,18.0,27.0,40.0,31.0,45.674740484429066,0
2020-02-23,41.0,31.0,28.0,29.0,44.0,44.0,17.0,42.0,38.0,20.0,38.523644752018456,0
2020-02-24,0.0,8.0,23.0,49.0,0.0,9.0,14.0,7.0,11.0,8.0,14.878892733564014,0
2020-02-25,0.0,9.0,16.0,26.0,0.0,19.0,0.0,0.0,22.0,9.0,11.649365628604382,0
2020-02-26,16.0,0.0,7.0,23.0,17.0,25.0,0.0,13.0,29.0,15.0,16.724336793540946,0
2020-02-27,23.0,23.0,21.0,67.0,50.0,25.0,26.0,19.0,58.0,38.0,40.36908881199538,0
2020-02-28,42.0,8.0,15.0,24.0,27.0,36.0,14.0,28.0,0.0,33.0,26.182237600922722,0
2020-02-29,19.0,10.0,35.0,27.0,30.0,10.0,16.0,24.0,36.0,9.0,24.91349480968858,0
2020-03-01,9.0,18.0,25.0,26.0,38.0,19.0,44.0,15.0,45.0,35.0,31.603229527104958,0
2020-03-02,30.0,0.0,21.0,22.0,32.0,24.0,25.0,18.0,9.0,22.0,23.414071510957324,0
2020-03-03,23.0,53.0,28.0,22.0,16.0,50.0,19.0,25.0,19.0,15.0,31.141868512110726,0
2020-03-04,32.0,31.0,14.0,23.0,25.0,34.0,7.0,13.0,19.0,23.0,25.49019607843137,0
2020-03-05,16.0,16.0,7.0,46.0,17.0,9.0,20.0,39.0,40.0,8.0,25.1441753171857,0
2020-03-06,25.0,25.0,23.0,37.0,27.0,55.0,21.0,28.0,32.0,16.0,33.333333333333336,0
2020-03-07,10.0,0.0,0.0,14.0,10.0,21.0,8.0,0.0,12.0,9.0,9.688581314878892,0
2020-03-08,28.0,46.0,17.0,39.0,49.0,40.0,23.0,30.0,23.0,36.0,38.17762399077278,0
2020-03-09,39.0,70.0,21.0,34.0,57.0,25.0,26.0,32.0,39.0,53.0,45.674740484429066,0
2020-03-10,40.0,23.0,51.0,46.0,8.0,26.0,7.0,26.0,50.0,31.0,35.52479815455594,0
2020-03-11,46.0,23.0,28.0,44.0,24.0,33.0,25.0,25.0,57.0,37.0,39.446366782006926,0
2020-03-12,72.0,39.0,50.0,91.0,100.0,51.0,78.0,58.0,79.0,54.0,77.50865051903114,0
2020-03-13,42.0,41.0,46.0,85.0,27.0,36.0,56.0,34.0,42.0,57.0,53.74855824682814,0
2020-03-14,100.0,69.0,100.0,100.0,84.0,65.0,100.0,100.0,100.0,49.0,100.0,0
2020-03-15,47.0,65.0,60.0,54.0,59.0,51.0,8.0,54.0,70.0,45.0,59.16955017301038,0
2020-03-16,93.0,53.0,64.0,99.0,82.0,58.0,45.0,75.0,86.0,67.0,83.27566320645906,0
2020-03-17,70.0,69.0,92.0,100.0,75.0,75.0,78.0,51.0,68.0,61.0,85.23644752018456,0
2020-03-18,62.0,100.0,71.0,88.0,90.0,100.0,45.0,75.0,86.0,75.0,91.34948096885813,0
2020-03-19,46.0,61.0,63.0,99.0,49.0,92.0,63.0,38.0,86.0,75.0,77.50865051903114,0
2020-03-20,30.0,58.0,60.0,84.0,69.0,55.0,36.0,48.0,55.0,64.0,64.47520184544406,0
2020-03-21,37.0,46.0,50.0,66.0,79.0,70.0,15.0,23.0,70.0,9.0,53.63321799307958,0
2020-03-22,28.0,55.0,51.0,80.0,80.0,61.0,47.0,54.0,93.0,100.0,74.85582468281432,0
2020-03-23,84.0,48.0,45.0,71.0,59.0,15.0,23.0,46.0,87.0,34.0,59.05420991926182,0
2020-03-24,54.0,54.0,42.0,66.0,74.0,66.0,51.0,70.0,86.0,53.0,71.04959630911188,0
2020-03-25,39.0,52.0,77.0,76.0,64.0,58.0,51.0,44.0,85.0,52.0,68.97347174163782,0
2020-03-26,46.0,15.0,28.0,44.0,25.0,33.0,13.0,19.0,29.0,37.0,33.333333333333336,0
2020-03-27,15.0,22.0,27.0,32.0,31.0,55.0,49.0,6.0,27.0,29.0,33.79469434832757,0
2020-03-28,19.0,37.0,34.0,27.0,30.0,0.0,23.0,23.0,35.0,18.0,28.37370242214533,0
2020-03-29,45.0,26.0,58.0,26.0,28.0,29.0,37.0,44.0,33.0,26.0,40.59976931949251,0
2020-03-30,14.0,36.0,7.0,62.0,15.0,8.0,24.0,18.0,27.0,14.0,25.951557093425606,0
2020-03-31,22.0,28.0,7.0,51.0,38.0,16.0,6.0,30.0,27.0,14.0,27.56632064590542,0
2020-04-01,22.0,36.0,27.0,53.0,8.0,40.0,24.0,12.0,18.0,36.0,31.833910034602074,0
2020-04-02,39.0,46.0,14.0,33.0,25.0,50.0,32.0,25.0,67.0,7.0,38.98500576701268,0
2020-04-03,8.0,23.0,7.0,23.0,25.0,17.0,13.0,13.0,10.0,39.0,20.530565167243367,0
2020-04-04,18.0,27.0,34.0,39.0,38.0,30.0,45.0,7.0,45.0,44.0,37.71626297577855,0
2020-04-05,17.0,34.0,8.0,24.0,9.0,18.0,7.0,7.0,32.0,16.0,19.83852364475202,0
2020-04-06,22.0,14.0,39.0,21.0,23.0,39.0,24.0,35.0,27.0,14.0,29.757785467128027,0
2020-04-07,46.0,0.0,0.0,32.0,16.0,41.0,6.0,12.0,19.0,29.0,23.18339100346021,0
