date,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5,batch_id
2020-01-01,20.0,10.0,35.0,0.0,24.0,32.0,37.0,11.0,10.0,27.0,28.257887517146774,0
2020-01-02,9.0,9.0,0.0,18.0,21.0,0.0,0.0,10.0,18.0,12.0,13.305898491083674,0
2020-01-03,18.0,0.0,0.0,9.0,0.0,9.0,22.0,0.0,9.0,24.0,12.482853223593963,0
2020-01-04,0.0,20.0,11.0,0.0,11.0,0.0,0.0,11.0,10.0,0.0,8.641975308641975,0
2020-01-05,28.0,10.0,22.0,10.0,56.0,30.0,0.0,11.0,0.0,25.0,26.33744855967078,0
2020-01-06,18.0,0.0,11.0,0.0,11.0,10.0,34.0,10.0,0.0,12.0,14.540466392318242,0
2020-01-07,17.0,18.0,20.0,18.0,10.0,0.0,42.0,10.0,9.0,23.0,22.908093278463646,0
2020-01-08,0.0,9.0,10.0,9.0,0.0,9.0,0.0,9.0,18.0,23.0,11.93415637860082,0
2020-01-09,8.0,9.0,40.0,0.0,21.0,27.0,10.0,9.0,26.0,11.0,22.08504801097394,0
2020-01-10,0.0,9.0,30.0,9.0,31.0,27.0,42.0,19.0,9.0,23.0,27.297668038408773,0
2020-01-11,9.0,0.0,11.0,20.0,23.0,20.0,12.0,11.0,19.0,0.0,17.146776406035663,0
2020-01-12,27.0,19.0,21.0,0.0,0.0,29.0,23.0,42.0,9.0,12.0,24.965706447187927,0
2020-01-13,0.0,8.0,27.0,16.0,0.0,8.0,19.0,9.0,16.0,10.0,15.50068587105624,0
2020-01-14,7.0,15.0,9.0,16.0,18.0,8.0,0.0,17.0,8.0,20.0,16.186556927297666,0
2020-01-15,33.0,42.0,29.0,43.0,40.0,44.0,20.0,28.0,17.0,55.0,48.148148148148145,0
2020-01-16,8.0,9.0,0.0,9.0,20.0,27.0,10.0,19.0,9.0,11.0,16.735253772290807,0
2020-01-17,17.0,44.0,0.0,18.0,21.0,18.0,11.0,19.0,18.0,11.0,24.2798353909465,0
2020-01-18,9.0,10.0,0.0,10.0,11.0,10.0,0.0,11.0,10.0,0.0,9.739368998628256,0
2020-01-19,0.0,19.0,0.0,10.0,11.0,10.0,12.0,0.0,0.0,38.0,13.717421124828531,0
2020-01-20,0.0,8.0,9.0,0.0,0.0,9.0,10.0,9.0,8.0,0.0,7.270233196159121,0
2020-01-21,32.0,0.0,29.0,9.0,20.0,17.0,30.0,18.0,25.0,0.0,24.691358024691358,0
2020-01-22,16.0,26.0,29.0,43.0,10.0,26.0,30.0,0.0,9.0,55.0,33.470507544581615,0
2020-01-23,17.0,26.0,39.0,35.0,20.0,26.0,0.0,9.0,34.0,0.0,28.257887517146774,0
2020-01-24,0.0,9.0,10.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,5.349794238683127,0
2020-01-25,0.0,0.0,0.0,10.0,11.0,10.0,0.0,0.0,0.0,25.0,7.681755829903977,0
2020-01-26,9.0,19.0,21.0,19.0,22.0,19.0,11.0,20.0,9.0,12.0,22.08504801097394,0
2020-01-27,8.0,16.0,28.0,8.0,19.0,17.0,10.0,9.0,8.0,21.0,19.753086419753085,0
2020-01-28,16.0,17.0,38.0,43.0,10.0,26.0,40.0,9.0,42.0,22.0,36.076817558299034,0
2020-01-29,8.0,8.0,0.0,17.0,20.0,17.0,20.0,9.0,8.0,33.0,19.204389574759944,0
2020-01-30,16.0,17.0,20.0,26.0,30.0,27.0,20.0,19.0,26.0,45.0,33.74485596707819,0
2020-01-31,17.0,9.0,20.0,18.0,0.0,0.0,31.0,10.0,0.0,0.0,14.403292181069958,0
2020-02-01,9.0,29.0,22.0,29.0,22.0,20.0,11.0,10.0,9.0,0.0,22.08504801097394,0
2020-02-02,19.0,10.0,33.0,10.0,0.0,20.0,23.0,11.0,10.0,13.0,20.43895747599451,0
2020-02-03,46.0,32.0,18.0,16.0,37.0,8.0,38.0,17.0,24.0,41.0,37.99725651577503,0
2020-02-04,17.0,17.0,10.0,52.0,30.0,35.0,61.0,38.0,34.0,33.0,44.8559670781893,0
2020-02-05,8.0,18.0,0.0,18.0,10.0,9.0,21.0,19.0,9.0,23.0,18.518518518518515,0
2020-02-06,34.0,35.0,10.0,18.0,10.0,9.0,21.0,29.0,17.0,23.0,28.257887517146774,0
2020-02-07,35.0,27.0,10.0,64.0,31.0,19.0,32.0,10.0,18.0,35.0,38.54595336076817,0
2020-02-08,0.0,10.0,22.0,20.0,11.0,30.0,12.0,32.0,20.0,38.0,26.748971193415635,0
2020-02-09,9.0,37.0,32.0,28.0,44.0,19.0,22.0,21.0,28.0,37.0,37.99725651577503,0
2020-02-10,0.0,17.0,10.0,34.0,20.0,17.0,40.0,9.0,25.0,32.0,27.9835390946502,0
2020-02-11,8.0,34.0,0.0,17.0,20.0,0.0,10.0,9.0,9.0,44.0,20.713305898491083,0
2020-02-12,41.0,9.0,29.0,9.0,10.0,18.0,10.0,9.0,17.0,22.0,23.86831275720164,0
2020-02-13,17.0,9.0,20.0,0.0,21.0,0.0,31.0,10.0,0.0,23.0,17.969821673525377,0
2020-02-14,35.0,27.0,21.0,28.0,42.0,9.0,22.0,20.0,18.0,23.0,33.6076817558299,0
2020-02-15,19.0,19.0,22.0,0.0,0.0,0.0,23.0,21.0,10.0,0.0,15.637860082304526,0
2020-02-16,0.0,9.0,11.0,0.0,11.0,10.0,0.0,10.0,9.0,12.0,9.876543209876543,0
2020-02-17,16.0,25.0,10.0,26.0,20.0,17.0,20.0,28.0,25.0,11.0,27.16049382716049,0
2020-02-18,8.0,17.0,19.0,0.0,0.0,9.0,10.0,9.0,8.0,0.0,10.973936899862824,0
2020-02-19,0.0,17.0,20.0,0.0,0.0,9.0,0.0,10.0,9.0,0.0,8.916323731138545,0
2020-02-20,0.0,0.0,10.0,9.0,20.0,0.0,10.0,9.0,0.0,11.0,9.465020576131687,0
2020-02-21,8.0,18.0,20.0,18.0,21.0,18.0,10.0,19.0,0.0,34.0,22.770919067215363,0
2020-02-22,18.0,27.0,0.0,9.0,0.0,9.0,22.0,0.0,18.0,12.0,15.77503429355281,0
2020-02-23,18.0,0.0,11.0,10.0,0.0,0.0,34.0,31.0,0.0,0.0,14.266117969821673,0
2020-02-24,16.0,17.0,19.0,17.0,29.0,9.0,40.0,37.0,17.0,22.0,30.589849108367623,0
2020-02-25,16.0,25.0,38.0,8.0,29.0,25.0,20.0,18.0,8.0,42.0,31.412894375857338,0
2020-02-26,32.0,16.0,57.0,42.0,68.0,17.0,59.0,27.0,25.0,54.0,54.458161865569274,0
2020-02-27,0.0,25.0,0.0,17.0,29.0,17.0,10.0,28.0,17.0,11.0,21.124828532235938,0
2020-02-28,17.0,26.0,30.0,26.0,31.0,27.0,31.0,19.0,35.0,89.0,45.40466392318244,0
2020-02-29,18.0,37.0,11.0,19.0,43.0,19.0,22.0,50.0,37.0,0.0,35.11659807956104,0
2020-03-01,17.0,9.0,21.0,9.0,42.0,18.0,21.0,10.0,9.0,35.0,26.200274348422496,0
2020-03-02,16.0,16.0,19.0,8.0,10.0,17.0,10.0,0.0,16.0,11.0,16.872427983539094,0
2020-03-03,8.0,24.0,19.0,25.0,10.0,17.0,0.0,18.0,16.0,21.0,21.67352537722908,0
2020-03-04,16.0,32.0,28.0,33.0,19.0,8.0,49.0,9.0,16.0,21.0,31.687242798353907,0
2020-03-05,16.0,17.0,47.0,17.0,19.0,0.0,20.0,0.0,33.0,11.0,24.691358024691358,0
