date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-01-25,7.0,5.0,7.0,10.0,8.0,7.0,8.0,10.0,8.0,8.0,11.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,7.0,9.0,7.95
2020-01-26,8.0,5.0,10.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,10.0,8.0,8.0,8.0,7.0,8.0,6.0,7.0,9.0,10.0,7.95
2020-01-27,6.0,7.0,6.0,7.0,8.0,5.0,8.0,7.0,4.0,7.0,7.0,6.0,7.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,6.6
2020-01-28,9.0,7.0,9.0,7.0,9.0,7.0,9.0,10.0,8.0,8.0,11.0,9.0,8.0,7.0,7.0,8.0,7.0,9.0,7.0,9.0,8.25
2020-01-29,6.0,7.0,7.0,8.0,9.0,7.0,11.0,7.0,10.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,10.0,9.0,7.0,8.0,8.25
2020-01-30,8.0,7.0,7.0,7.0,9.0,9.0,6.0,7.0,7.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,7.0,9.0,9.0,7.0,7.9
2020-01-31,9.0,8.0,8.0,9.0,12.0,7.0,11.0,9.0,9.0,9.0,9.0,11.0,9.0,11.0,9.0,8.0,8.0,6.0,8.0,9.0,8.95
2020-02-01,11.0,12.0,9.0,9.0,8.0,10.0,12.0,10.0,13.0,9.0,12.0,13.0,10.0,12.0,9.0,11.0,9.0,10.0,11.0,12.0,10.6
2020-02-02,8.0,8.0,8.0,9.0,7.0,10.0,9.0,10.0,9.0,7.0,8.0,7.0,7.0,9.0,10.0,7.0,8.0,7.0,9.0,6.0,8.15
2020-02-03,9.0,8.0,10.0,10.0,7.0,7.0,13.0,11.0,11.0,9.0,13.0,11.0,11.0,10.0,8.0,9.0,8.0,10.0,10.0,12.0,9.85
2020-02-04,9.0,6.0,9.0,5.0,8.0,7.0,8.0,8.0,6.0,7.0,8.0,10.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,11.0,7.8
2020-02-05,10.0,8.0,8.0,8.0,9.0,7.0,10.0,9.0,9.0,7.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,8.65
2020-02-06,8.0,8.0,6.0,10.0,9.0,8.0,7.0,8.0,9.0,8.0,7.0,10.0,7.0,9.0,8.0,8.0,7.0,8.0,9.0,9.0,8.15
2020-02-07,6.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,9.0,6.0,9.0,8.0,7.0,6.0,7.0,10.0,6.0,7.0,7.4
2020-02-08,12.0,8.0,7.0,8.0,8.0,9.0,12.0,8.0,8.0,5.0,7.0,8.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,8.55
2020-02-09,9.0,6.0,10.0,8.0,11.0,9.0,11.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,9.0,6.0,9.0,9.0,9.0,10.0,8.75
2020-02-10,7.0,6.0,7.0,5.0,6.0,5.0,9.0,6.0,7.0,6.0,6.0,5.0,6.0,8.0,7.0,7.0,8.0,6.0,6.0,7.0,6.5
2020-02-11,6.0,5.0,7.0,4.0,8.0,5.0,7.0,8.0,6.0,8.0,7.0,6.0,8.0,9.0,8.0,6.0,6.0,5.0,5.0,5.0,6.45
2020-02-12,7.0,7.0,7.0,6.0,10.0,7.0,6.0,8.0,8.0,7.0,7.0,8.0,7.0,10.0,8.0,7.0,8.0,8.0,8.0,9.0,7.65
2020-02-13,7.0,5.0,5.0,10.0,6.0,5.0,7.0,5.0,6.0,7.0,10.0,8.0,10.0,6.0,10.0,8.0,8.0,8.0,6.0,7.0,7.2
2020-02-14,6.0,5.0,7.0,7.0,9.0,7.0,7.0,5.0,5.0,7.0,6.0,9.0,7.0,5.0,8.0,6.0,7.0,7.0,7.0,6.0,6.65
