date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2021-03-12,72.0,74.0,73.0,84.0,75.0,76.0,74.0,78.0,72.0,76.0,74.0,73.0,78.0,68.0,75.0,73.0,77.0,74.0,69.0,80.0,75.42885973763876
2021-03-13,76.0,74.0,78.0,73.0,78.0,72.0,74.0,69.0,78.0,78.0,77.0,76.0,80.0,74.0,84.0,76.0,71.0,71.0,76.0,75.0,76.18567103935419
2021-03-14,78.0,85.0,85.0,84.0,77.0,74.0,82.0,82.0,79.0,77.0,78.0,77.0,81.0,82.0,85.0,79.0,76.0,75.0,70.0,85.0,80.27245206861757
2021-03-15,92.0,93.0,91.0,100.0,85.0,89.0,91.0,90.0,89.0,93.0,89.0,88.0,86.0,88.0,98.0,88.0,86.0,88.0,82.0,89.0,90.56508577194754
2021-03-16,92.0,100.0,93.0,94.0,90.0,100.0,100.0,93.0,96.0,100.0,87.0,92.0,91.0,95.0,96.0,93.0,85.0,95.0,88.0,95.0,94.60141271442987
2021-03-17,90.0,93.0,89.0,91.0,91.0,86.0,88.0,89.0,91.0,95.0,86.0,89.0,86.0,92.0,97.0,90.0,86.0,90.0,90.0,92.0,90.8678102926337
2021-03-18,100.0,92.0,98.0,97.0,92.0,94.0,98.0,95.0,100.0,92.0,98.0,93.0,95.0,94.0,100.0,94.0,91.0,91.0,90.0,93.0,95.71140262361251
2021-03-19,90.0,93.0,90.0,93.0,90.0,86.0,90.0,87.0,97.0,90.0,91.0,89.0,87.0,87.0,92.0,81.0,87.0,95.0,86.0,95.0,90.61553985872857
2021-03-20,83.0,83.0,84.0,78.0,77.0,79.0,81.0,81.0,82.0,76.0,82.0,79.0,84.0,81.0,84.0,89.0,74.0,79.0,73.0,86.0,81.48335015136226
2021-03-21,91.0,93.0,79.0,82.0,85.0,91.0,89.0,88.0,88.0,90.0,89.0,79.0,80.0,91.0,89.0,84.0,82.0,83.0,77.0,88.0,86.68012108980828
2021-03-22,91.0,89.0,91.0,85.0,88.0,86.0,87.0,84.0,90.0,91.0,86.0,94.0,84.0,91.0,93.0,87.0,90.0,90.0,89.0,91.0,89.656912209889
2021-03-23,79.0,88.0,83.0,83.0,83.0,81.0,88.0,83.0,85.0,90.0,81.0,85.0,78.0,88.0,88.0,83.0,86.0,84.0,80.0,88.0,84.96468213925328
2021-03-24,80.0,87.0,84.0,87.0,69.0,78.0,79.0,78.0,81.0,79.0,81.0,81.0,77.0,82.0,82.0,84.0,77.0,81.0,77.0,75.0,80.6760847628658
2021-03-25,88.0,93.0,100.0,84.0,93.0,83.0,90.0,92.0,89.0,90.0,93.0,88.0,86.0,93.0,94.0,79.0,88.0,86.0,88.0,92.0,90.26236125126135
2021-03-26,83.0,83.0,85.0,83.0,81.0,82.0,82.0,84.0,85.0,84.0,78.0,83.0,79.0,84.0,86.0,82.0,85.0,84.0,84.0,90.0,84.10696266397579
2021-03-27,79.0,80.0,85.0,81.0,74.0,82.0,79.0,80.0,77.0,84.0,78.0,76.0,82.0,80.0,81.0,83.0,78.0,76.0,71.0,88.0,80.42381432896065
2021-03-28,89.0,86.0,86.0,80.0,74.0,79.0,80.0,83.0,81.0,82.0,79.0,80.0,83.0,81.0,88.0,78.0,81.0,77.0,78.0,87.0,82.34106962663975
2021-03-29,86.0,93.0,88.0,92.0,85.0,90.0,86.0,89.0,86.0,86.0,84.0,86.0,91.0,84.0,97.0,85.0,85.0,76.0,85.0,90.0,87.99192734611503
