date,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-10-05,22.891566265060238,19.0,16.0,0.0,16.0,37.0,32.0,14.0,17.0,31.0,78.0,42.0,14.0,92.0,0.0,70.0,14.0,42.0,12.0,52.0,50.0043664308794
2020-10-06,22.891566265060238,40.0,66.0,49.0,48.0,0.0,0.0,28.0,17.0,31.0,48.0,14.0,56.0,15.0,28.0,14.0,44.0,28.0,49.0,0.0,48.15202942004096
2020-10-07,68.67469879518072,59.0,84.0,84.0,81.0,38.0,65.0,100.0,69.0,47.0,32.0,14.0,100.0,31.0,71.0,58.0,59.0,29.0,100.0,52.0,100.0
2020-10-08,25.30120481927711,87.0,37.0,0.0,54.0,61.0,35.0,77.0,0.0,50.0,52.0,15.0,0.0,66.0,15.0,62.0,16.0,31.0,27.0,38.0,60.26547899746748
2020-10-09,79.51807228915663,46.0,0.0,0.0,38.0,22.0,37.0,0.0,20.0,18.0,37.0,0.0,50.0,54.0,0.0,50.0,34.0,0.0,14.0,40.0,43.45083883988785
2020-10-10,55.42168674698795,24.0,40.0,20.0,39.0,45.0,20.0,0.0,21.0,57.0,19.0,34.0,0.0,38.0,52.0,18.0,36.0,35.0,30.0,63.0,52.06047021608982
2020-10-11,26.50602409638554,47.0,19.0,19.0,37.0,44.0,57.0,65.0,61.0,18.0,55.0,48.0,83.0,71.0,33.0,66.0,17.0,0.0,43.0,100.0,73.24833347888105
2020-10-12,25.30120481927711,0.0,19.0,0.0,18.0,0.0,18.0,16.0,0.0,35.0,18.0,0.0,0.0,51.0,16.0,0.0,0.0,32.0,28.0,39.0,25.393221358639234
2020-10-13,100.0,66.0,37.0,73.0,36.0,83.0,72.0,47.0,76.0,52.0,70.0,62.0,32.0,69.0,47.0,16.0,48.0,63.0,41.0,75.0,93.82489641855636
2020-10-14,49.39759036144578,22.0,37.0,18.0,35.0,20.0,35.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,46.0,15.0,16.0,0.0,27.0,37.0,31.199604110266943
2020-10-15,53.01204819277108,0.0,58.0,39.0,19.0,43.0,37.0,49.0,40.0,18.0,18.0,0.0,33.0,35.0,49.0,17.0,50.0,49.0,29.0,20.0,52.832843322756894
2020-10-16,26.50602409638554,46.0,19.0,0.0,38.0,0.0,19.0,66.0,40.0,37.0,0.0,32.0,17.0,18.0,49.0,17.0,34.0,17.0,29.0,61.0,45.54381470807985
2020-10-17,0.0,25.0,42.0,21.0,0.0,23.0,40.0,52.0,43.0,58.0,79.0,35.0,17.0,76.0,18.0,35.0,18.0,35.0,31.0,64.0,57.34191094421643
2020-10-18,28.915662650602414,25.0,63.0,0.0,21.0,0.0,0.0,18.0,44.0,19.0,20.0,17.0,18.0,0.0,36.0,36.0,18.0,35.0,16.0,21.0,35.10707458834261
2020-10-19,49.39759036144578,22.0,0.0,37.0,35.0,41.0,18.0,31.0,19.0,34.0,0.0,30.0,0.0,85.0,31.0,47.0,32.0,47.0,13.0,57.0,50.60887452818289
2020-10-20,46.98795180722892,82.0,34.0,34.0,33.0,19.0,66.0,14.0,35.0,80.0,97.0,29.0,29.0,63.0,73.0,30.0,60.0,15.0,38.0,89.0,77.87772052901737
2020-10-21,24.09638554216868,84.0,18.0,53.0,35.0,60.0,35.0,30.0,18.0,17.0,34.0,0.0,0.0,0.0,0.0,0.0,31.0,15.0,27.0,19.0,40.27595843157803
2020-10-22,73.49397590361446,21.0,71.0,53.0,0.0,100.0,52.0,45.0,74.0,67.0,67.0,44.0,45.0,64.0,30.0,15.0,31.0,45.0,66.0,55.0,82.02582986444659
2020-10-23,25.30120481927711,44.0,36.0,54.0,0.0,21.0,0.0,15.0,19.0,35.0,18.0,31.0,0.0,17.0,16.0,31.0,48.0,0.0,0.0,19.0,34.574370021055906
2020-10-24,83.13253012048195,24.0,40.0,20.0,59.0,23.0,59.0,17.0,62.0,57.0,19.0,67.0,51.0,19.0,34.0,17.0,35.0,34.0,15.0,42.0,62.58744990733465
2020-10-25,49.39759036144578,86.0,37.0,54.0,18.0,20.0,0.0,0.0,57.0,68.0,52.0,61.0,62.0,50.0,16.0,31.0,16.0,47.0,14.0,57.0,64.05845195470556
2020-10-26,48.19277108433735,0.0,52.0,51.0,34.0,58.0,34.0,29.0,36.0,81.0,49.0,29.0,44.0,32.0,29.0,44.0,31.0,89.0,39.0,54.0,69.51843118990095
2020-10-27,72.28915662650603,63.0,35.0,52.0,34.0,79.0,34.0,30.0,54.0,16.0,33.0,58.0,45.0,16.0,45.0,45.0,30.0,60.0,26.0,36.0,69.52619373368654
2020-10-28,24.09638554216868,0.0,18.0,53.0,35.0,20.0,0.0,15.0,0.0,17.0,17.0,29.0,15.0,33.0,45.0,0.0,32.0,15.0,0.0,18.0,31.094809769161355
2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,33.0,33.0,45.0,15.0,49.0,15.0,61.0,0.0,15.0,0.0,55.0,27.22130042014768
2020-10-30,45.783132530120476,100.0,67.0,66.0,81.0,75.0,64.0,28.0,17.0,15.0,0.0,14.0,56.0,15.0,56.0,0.0,44.0,14.0,12.0,17.0,63.364674603867705
2020-10-31,49.39759036144578,22.0,36.0,53.0,18.0,20.0,52.0,31.0,0.0,17.0,51.0,45.0,0.0,34.0,31.0,47.0,16.0,46.0,14.0,75.0,52.944429889674865
2020-11-01,50.602409638554214,66.0,37.0,72.0,35.0,41.0,0.0,62.0,38.0,0.0,0.0,15.0,46.0,17.0,31.0,16.0,32.0,0.0,14.0,0.0,46.115331994294536
