date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21_10,/m/01b_21_11,/m/01b_21_12,/m/01b_21_13,/m/01b_21_14,/m/01b_21_15,/m/01b_21_16,/m/01b_21_17,/m/01b_21_18,/m/01b_21_19,/m/01b_21
2020-01-29,15.0,74.0,63.0,42.0,45.0,35.0,56.0,50.0,0.0,17.0,0.0,0.0,29.0,100.0,22.0,39.0,23.0,44.0,20.0,67.0,51.42262317834837
2020-01-30,29.0,25.0,0.0,21.0,23.0,18.0,29.0,17.0,37.0,17.0,16.0,28.0,15.0,0.0,44.0,40.0,24.0,0.0,0.0,0.0,26.578764746703676
2020-01-31,30.0,52.0,33.0,43.0,48.0,18.0,15.0,36.0,0.0,36.0,0.0,15.0,31.0,36.0,23.0,63.0,24.0,16.0,21.0,23.0,39.07009021512838
2020-02-01,15.0,26.0,16.0,22.0,59.0,18.0,0.0,17.0,0.0,36.0,16.0,15.0,16.0,36.0,23.0,21.0,24.0,15.0,44.0,23.0,30.67314365024289
2020-02-02,0.0,100.0,48.0,43.0,34.0,34.0,0.0,69.0,37.0,35.0,32.0,14.0,46.0,67.0,23.0,0.0,48.0,15.0,85.0,89.0,56.83553088133242
2020-02-03,13.0,23.0,43.0,0.0,41.0,0.0,13.0,16.0,16.0,16.0,29.0,0.0,27.0,15.0,0.0,0.0,21.0,28.0,19.0,21.0,23.664122137404583
2020-02-04,14.0,24.0,31.0,42.0,22.0,0.0,14.0,32.0,18.0,17.0,31.0,0.0,30.0,17.0,66.0,20.0,0.0,15.0,41.0,45.0,33.24080499653019
2020-02-05,44.0,97.0,47.0,42.0,55.0,35.0,14.0,17.0,37.0,17.0,16.0,27.0,59.0,17.0,66.0,59.0,46.0,15.0,42.0,44.0,55.23941707147814
2020-02-06,16.0,0.0,17.0,22.0,47.0,19.0,15.0,18.0,0.0,18.0,16.0,15.0,16.0,0.0,0.0,21.0,0.0,32.0,22.0,0.0,20.402498265093687
2020-02-07,63.0,52.0,51.0,46.0,73.0,57.0,91.0,55.0,100.0,55.0,33.0,44.0,31.0,18.0,70.0,63.0,100.0,64.0,22.0,73.0,80.56904927133935
2020-02-08,32.0,26.0,17.0,88.0,24.0,19.0,0.0,36.0,20.0,18.0,67.0,15.0,32.0,54.0,47.0,21.0,25.0,47.0,22.0,47.0,45.59333795975017
2020-02-09,58.0,99.0,47.0,42.0,46.0,35.0,100.0,17.0,73.0,17.0,31.0,42.0,44.0,17.0,45.0,20.0,95.0,59.0,62.0,22.0,67.38376127689105
2020-02-10,14.0,0.0,15.0,0.0,44.0,16.0,13.0,16.0,18.0,0.0,15.0,0.0,14.0,16.0,21.0,0.0,0.0,29.0,20.0,43.0,20.402498265093687
2020-02-11,29.0,0.0,0.0,61.0,22.0,33.0,27.0,51.0,0.0,49.0,0.0,27.0,43.0,0.0,43.0,78.0,68.0,30.0,0.0,22.0,40.458015267175576
2020-02-12,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5267175572519087
2020-02-13,15.0,49.0,16.0,21.0,0.0,0.0,14.0,34.0,18.0,0.0,0.0,27.0,0.0,34.0,22.0,0.0,0.0,15.0,0.0,44.0,21.44344205412908
2020-02-14,29.0,0.0,16.0,0.0,22.0,0.0,14.0,34.0,18.0,0.0,15.0,14.0,15.0,0.0,22.0,0.0,0.0,15.0,41.0,0.0,17.696044413601665
2020-02-15,0.0,53.0,34.0,22.0,36.0,19.0,45.0,0.0,19.0,0.0,0.0,30.0,16.0,37.0,24.0,42.0,98.0,0.0,44.0,48.0,39.34767522553782
2020-02-16,29.0,72.0,0.0,42.0,45.0,53.0,14.0,51.0,56.0,34.0,31.0,0.0,15.0,85.0,44.0,0.0,46.0,30.0,41.0,92.0,54.12907702984039
2020-02-17,27.0,0.0,29.0,58.0,42.0,33.0,13.0,32.0,51.0,32.0,29.0,52.0,28.0,16.0,20.0,37.0,22.0,41.0,57.0,21.0,44.413601665510065
2020-02-18,0.0,23.0,0.0,0.0,21.0,17.0,0.0,0.0,0.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,21.0,9.784871616932685
2020-02-19,14.0,0.0,44.0,19.0,32.0,16.0,26.0,61.0,17.0,79.0,87.0,38.0,42.0,47.0,61.0,18.0,22.0,14.0,19.0,42.0,48.438584316446914
2020-02-20,15.0,25.0,16.0,21.0,0.0,18.0,0.0,0.0,38.0,0.0,16.0,14.0,0.0,17.0,22.0,20.0,0.0,0.0,0.0,0.0,15.405968077723804
2020-02-21,31.0,25.0,0.0,21.0,24.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,16.0,18.0,22.0,0.0,24.0,0.0,0.0,23.0,16.585704371963914
2020-02-22,16.0,0.0,0.0,0.0,25.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,17.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,7.91117279666898
2020-02-23,48.0,27.0,0.0,47.0,25.0,57.0,0.0,37.0,20.0,38.0,0.0,30.0,16.0,37.0,0.0,0.0,25.0,50.0,45.0,49.0,38.23733518390007
2020-02-24,30.0,25.0,16.0,21.0,34.0,18.0,29.0,100.0,54.0,53.0,94.0,42.0,62.0,17.0,45.0,20.0,72.0,30.0,82.0,69.0,63.3587786259542
2020-02-25,28.0,23.0,0.0,20.0,22.0,0.0,27.0,33.0,34.0,16.0,45.0,13.0,14.0,32.0,21.0,19.0,44.0,14.0,20.0,63.0,33.865371269951424
2020-02-26,13.0,67.0,14.0,19.0,74.0,32.0,13.0,47.0,51.0,32.0,44.0,26.0,55.0,31.0,41.0,36.0,65.0,27.0,38.0,41.0,53.15752949340735
