date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2021-04-18,27.0,27.0,17.0,10.0,20.0,18.0,17.0,22.0,25.0,16.0,19.9
2021-04-19,38.0,33.0,40.0,36.0,39.0,40.0,36.0,25.0,41.0,34.0,36.2
2021-04-20,46.0,31.0,32.0,48.0,17.0,40.0,27.0,36.0,32.0,28.0,33.7
2021-04-21,36.0,36.0,39.0,37.0,28.0,45.0,29.0,34.0,47.0,23.0,35.4
2021-04-22,40.0,25.0,31.0,38.0,31.0,41.0,15.0,40.0,24.0,19.0,30.4
2021-04-23,30.0,18.0,7.0,21.0,23.0,27.0,15.0,25.0,21.0,15.0,20.2
2021-04-24,14.0,17.0,34.0,17.0,12.0,32.0,21.0,7.0,13.0,21.0,18.8
2021-04-25,6.0,16.0,10.0,3.0,12.0,6.0,5.0,9.0,9.0,8.0,8.4
2021-04-26,39.0,25.0,30.0,28.0,16.0,48.0,28.0,18.0,47.0,32.0,31.1
2021-04-27,32.0,16.0,24.0,24.0,22.0,35.0,27.0,20.0,16.0,29.0,24.5
2021-04-28,48.0,28.0,26.0,38.0,34.0,34.0,18.0,28.0,27.0,29.0,31.0
2021-04-29,24.0,26.0,35.0,30.0,16.0,24.0,15.0,24.0,32.0,26.0,25.2
2021-04-30,47.0,33.0,55.0,46.0,27.0,69.0,41.0,25.0,54.0,29.0,42.6
2021-05-01,29.0,28.0,24.0,30.0,31.0,37.0,27.0,28.0,42.0,22.0,29.8
2021-05-02,25.0,19.0,25.0,10.0,17.0,28.0,14.0,21.0,14.0,20.0,19.3
2021-05-03,43.0,31.0,44.0,37.0,26.0,34.0,31.0,45.0,33.0,41.0,36.5
2021-05-04,29.0,18.0,30.0,27.0,20.0,31.0,23.0,20.0,37.0,18.0,25.3
2021-05-05,27.0,27.0,45.0,34.0,27.0,39.0,26.0,25.0,48.0,36.0,33.4
2021-05-06,49.0,41.0,40.0,53.0,46.0,55.0,25.0,44.0,64.0,44.0,46.1
2021-05-07,56.0,24.0,26.0,45.0,35.0,39.0,33.0,20.0,35.0,36.0,34.9
2021-05-08,12.0,19.0,16.0,36.0,24.0,22.0,7.0,31.0,31.0,21.0,21.9
2021-05-09,21.0,20.0,17.0,23.0,26.0,35.0,38.0,22.0,24.0,19.0,24.5
2021-05-10,29.0,20.0,17.0,37.0,27.0,40.0,21.0,18.0,47.0,33.0,28.9
2021-05-11,52.0,54.0,50.0,64.0,50.0,64.0,53.0,49.0,59.0,66.0,56.1
2021-05-12,57.0,54.0,52.0,76.0,52.0,71.0,45.0,53.0,57.0,38.0,55.5
2021-05-13,33.0,25.0,44.0,41.0,31.0,33.0,32.0,31.0,30.0,39.0,33.9
2021-05-14,23.0,27.0,28.0,29.0,21.0,36.0,27.0,21.0,36.0,21.0,26.9
2021-05-15,36.0,30.0,28.0,27.0,19.0,28.0,35.0,34.0,28.0,41.0,30.6
2021-05-16,20.0,16.0,25.0,22.0,13.0,30.0,34.0,10.0,27.0,31.0,22.8
2021-05-17,37.0,31.0,44.0,51.0,28.0,48.0,27.0,28.0,50.0,29.0,37.3
2021-05-18,26.0,30.0,33.0,17.0,25.0,28.0,32.0,26.0,47.0,44.0,30.8
2021-05-19,32.0,23.0,9.0,33.0,37.0,28.0,24.0,23.0,30.0,27.0,26.6
2021-05-20,39.0,42.0,31.0,35.0,32.0,39.0,40.0,33.0,37.0,41.0,36.9
2021-05-21,24.0,15.0,27.0,18.0,22.0,24.0,19.0,11.0,25.0,24.0,20.9
2021-05-22,14.0,18.0,15.0,10.0,17.0,27.0,13.0,12.0,12.0,13.0,15.1
2021-05-23,11.0,21.0,21.0,16.0,16.0,25.0,16.0,24.0,21.0,23.0,19.4
2021-05-24,22.0,12.0,18.0,19.0,15.0,28.0,22.0,35.0,35.0,27.0,23.3
2021-05-25,16.0,22.0,21.0,31.0,27.0,35.0,15.0,24.0,34.0,21.0,24.6
2021-05-26,13.0,27.0,9.0,15.0,15.0,28.0,21.0,23.0,28.0,16.0,19.5
2021-05-27,59.0,31.0,29.0,36.0,29.0,51.0,33.0,45.0,47.0,25.0,38.5
2021-05-28,14.0,43.0,27.0,30.0,24.0,45.0,23.0,20.0,38.0,26.0,29.0
2021-05-29,16.0,21.0,26.0,18.0,13.0,21.0,17.0,29.0,14.0,9.0,18.4
2021-05-30,13.0,21.0,8.0,12.0,15.0,7.0,5.0,10.0,20.0,11.0,12.2
2021-05-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
