date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-10-05,0.0,0.0,0.0,0.0,46.0,0.0,45.0,82.0,0.0,0.0,0.0,0.0,82.45614035087719,46.0,33.69565217391305,41.0,0.0,47.0,29.0,0.0,42.53040373749126
2020-10-06,0.0,44.0,47.0,0.0,0.0,48.0,0.0,82.0,0.0,48.97959183673469,84.21052631578948,0.0,85.96491228070175,48.0,35.869565217391305,0.0,47.0,48.0,0.0,0.0,58.226830926506985
2020-10-07,47.0,45.0,46.0,86.0,46.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,35.931770030151775
2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-09,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,54.08163265306123,0.0,96.42857142857143,0.0,0.0,39.130434782608695,48.0,53.0,0.0,0.0,49.333333333333336,39.973997481160644
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-15,52.0,47.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,89.47368421052632,96.42857142857143,0.0,0.0,0.0,0.0,51.0,51.0,0.0,48.0,49.65566085869752
2020-10-16,54.0,100.0,0.0,0.0,0.0,0.0,100.0,96.0,0.0,0.0,0.0,100.0,100.0,53.0,39.130434782608695,47.0,0.0,0.0,34.0,100.0,77.42548033357996
2020-10-17,55.0,51.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,55.0,0.0,0.0,28.87710313941517
2020-10-18,0.0,0.0,55.0,100.0,54.0,0.0,53.0,100.0,37.0,0.0,100.0,0.0,100.0,0.0,42.391304347826086,100.0,56.0,0.0,36.0,0.0,78.39064055747203
2020-10-19,52.0,97.0,100.0,91.0,100.0,0.0,50.0,91.0,0.0,52.04081632653061,0.0,92.85714285714286,91.2280701754386,0.0,0.0,93.0,53.0,0.0,100.0,0.0,100.0
2020-10-20,51.0,93.0,49.0,88.0,48.0,50.0,0.0,87.0,100.0,100.0,0.0,0.0,91.2280701754386,0.0,36.95652173913044,0.0,100.0,50.0,0.0,0.0,88.8121037243115
2020-10-21,0.0,0.0,0.0,89.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,91.2280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74982681167449
2020-10-22,0.0,0.0,0.0,89.0,49.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.683698339446423
2020-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-24,54.0,0.0,51.0,0.0,51.0,53.0,0.0,92.0,0.0,52.04081632653061,0.0,0.0,96.49122807017544,0.0,0.0,0.0,0.0,0.0,33.0,0.0,45.388037830998506
2020-10-25,100.0,46.0,48.0,0.0,48.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,91.2280701754386,0.0,72.82608695652173,44.0,50.0,100.0,32.0,90.66666666666667,71.0847823238982
2020-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-29,0.0,0.0,45.0,84.0,0.0,47.0,0.0,0.0,0.0,47.95918367346939,84.21052631578948,0.0,0.0,0.0,34.78260869565217,0.0,47.0,96.0,30.0,0.0,48.53162319766964
2020-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,45.91836734693877,77.19298245614036,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,23.24384343708018
2020-11-01,44.0,84.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.14285714285714,80.70175438596492,45.0,100.0,0.0,90.0,90.0,0.0,41.333333333333336,70.09309567101593
2020-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04,0.0,38.0,40.0,74.0,40.0,42.0,40.0,76.0,28.0,41.83673469387755,0.0,75.0,73.6842105263158,41.0,0.0,0.0,42.0,0.0,0.0,0.0,61.283509878217544
2020-11-05,0.0,0.0,0.0,77.0,0.0,0.0,40.0,76.0,0.0,87.75510204081633,0.0,0.0,0.0,43.0,0.0,0.0,43.0,44.0,56.0,40.0,47.666512534389284
2020-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07,0.0,40.0,42.0,0.0,0.0,0.0,41.0,0.0,0.0,43.87755102040816,0.0,76.78571428571429,78.94736842105263,0.0,31.52173913043478,0.0,0.0,0.0,0.0,40.0,37.07296801821379
2020-11-08,0.0,0.0,0.0,79.0,42.0,0.0,43.0,0.0,30.0,43.87755102040816,78.94736842105263,80.35714285714286,0.0,87.0,32.608695652173914,79.0,0.0,0.0,28.0,41.333333333333336,62.563052066843845
2020-11-09,45.0,0.0,87.0,0.0,44.0,92.0,0.0,77.0,61.0,45.91836734693877,78.94736842105263,0.0,80.70175438596492,0.0,0.0,0.0,44.0,0.0,29.0,41.333333333333336,68.27984673885625
2020-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14,45.0,85.0,0.0,0.0,0.0,46.0,44.0,81.0,0.0,91.83673469387755,78.94736842105263,0.0,80.70175438596492,45.0,33.69565217391305,0.0,91.0,46.0,0.0,42.666666666666664,76.27018377400478
2020-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-20,0.0,0.0,0.0,81.0,0.0,0.0,0.0,81.0,0.0,46.93877551020408,82.45614035087719,0.0,84.21052631578948,46.0,0.0,0.0,46.0,0.0,0.0,41.333333333333336,47.87191372005156
2020-11-21,0.0,0.0,43.0,80.0,0.0,91.0,0.0,0.0,61.0,45.91836734693877,0.0,82.14285714285714,0.0,0.0,33.69565217391305,40.0,46.0,0.0,0.0,0.0,49.17167506272462
2020-11-22,0.0,0.0,44.0,0.0,44.0,0.0,0.0,81.0,0.0,0.0,0.0,82.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.623055988409433
2020-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,46.0,42.0,0.0,0.0,0.0,45.0,43.0,0.0,31.0,0.0,0.0,83.92857142857143,82.45614035087719,0.0,0.0,0.0,90.0,0.0,0.0,84.0,51.48822403581168
2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,31.0,46.93877551020408,0.0,83.92857142857143,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,25.854634290581217
2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0,81.0,76.0,29.0,42.857142857142854,75.43859649122807,0.0,0.0,43.0,31.52173913043478,0.0,87.0,44.0,0.0,80.0,55.479544493362404
2020-11-30,89.0,41.0,0.0,0.0,0.0,43.0,41.0,76.0,0.0,0.0,77.19298245614036,78.57142857142857,0.0,43.0,0.0,0.0,0.0,44.0,0.0,40.0,53.87549502224589
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,44.89795918367347,78.94736842105263,0.0,0.0,44.0,32.608695652173914,0.0,45.0,0.0,28.0,0.0,28.543560676416906
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-10,0.0,0.0,47.0,0.0,45.0,47.0,0.0,82.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,48.0,48.0,0.0,44.0,40.917067966272306
