date,/m/0m7pl_0,/m/0m7pl_1,/m/0m7pl_2,/m/0m7pl_3,/m/0m7pl_4,/m/0m7pl_5,/m/0m7pl_6,/m/0m7pl_7,/m/0m7pl_8,/m/0m7pl_9,/m/0m7pl_10,/m/0m7pl_11,/m/0m7pl_12,/m/0m7pl_13,/m/0m7pl_14,/m/0m7pl_15,/m/0m7pl_16,/m/0m7pl_17,/m/0m7pl_18,/m/0m7pl_19,/m/0m7pl
2020-10-05,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,31.0,0.0,0.0,8.57359635811836
2020-10-06,0.0,0.0,0.0,0.0,41.0,0.0,44.0,35.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,13.884673748103186
2020-10-07,47.0,65.0,50.0,0.0,41.0,34.0,85.0,34.0,70.0,0.0,35.0,48.0,30.0,34.0,35.0,83.0,93.0,32.0,35.0,0.0,64.56752655538695
2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-10,0.0,41.0,61.0,0.0,100.0,43.0,54.0,43.0,43.0,0.0,43.0,0.0,0.0,42.0,0.0,100.0,57.0,79.0,44.0,65.0,61.83611532625189
2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,53.0,0.0,0.0,38.0,0.0,0.0,37.0,0.0,0.0,0.0,34.0,0.0,0.0,44.0,0.0,34.0,0.0,0.0,18.209408194233685
2020-10-13,0.0,0.0,53.0,0.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,45.0,0.0,0.0,38.0,0.0,18.89226100151745
2020-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-15,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36.0,0.0,60.0,14.264036418816387
2020-10-16,55.0,39.0,0.0,0.0,47.0,40.0,100.0,41.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,54.0,37.0,83.0,60.0,45.220030349013655
2020-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,0.0,40.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,58.0,37.0,0.0,0.0,49.0,55.0,0.0,42.0,62.0,29.135053110773896
2020-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-20,0.0,0.0,52.0,0.0,0.0,0.0,45.0,36.0,0.0,36.0,36.0,51.0,0.0,36.0,0.0,43.0,0.0,0.0,0.0,54.0,29.5144157814871
2020-10-21,0.0,0.0,0.0,0.0,42.0,35.0,0.0,36.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.367223065250379
2020-10-22,51.0,37.0,53.0,29.0,0.0,37.0,47.0,38.0,0.0,0.0,0.0,0.0,0.0,38.0,37.0,45.0,49.0,0.0,0.0,57.0,39.301972685887705
2020-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-24,51.0,0.0,54.0,57.0,87.0,38.0,92.0,38.0,37.0,0.0,38.0,53.0,100.0,37.0,38.0,0.0,100.0,69.0,39.0,0.0,70.40971168437025
2020-10-25,100.0,0.0,53.0,0.0,86.0,37.0,46.0,37.0,73.0,73.0,37.0,52.0,98.0,0.0,0.0,44.0,98.0,100.0,76.0,0.0,76.63125948406676
2020-10-26,0.0,0.0,0.0,53.0,41.0,35.0,0.0,0.0,0.0,0.0,35.0,49.0,31.0,0.0,35.0,41.0,47.0,32.0,36.0,53.0,37.025796661608496
2020-10-27,0.0,0.0,49.0,0.0,39.0,34.0,0.0,0.0,34.0,34.0,34.0,48.0,30.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,25.948406676783005
2020-10-28,47.0,100.0,100.0,0.0,40.0,0.0,44.0,35.0,0.0,34.0,35.0,0.0,0.0,34.0,35.0,82.0,0.0,64.0,35.0,0.0,51.97268588770864
2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-30,0.0,0.0,45.0,24.0,0.0,31.0,39.0,31.0,31.0,31.0,31.0,44.0,28.0,0.0,31.0,0.0,42.0,28.0,32.0,0.0,35.508345978755685
2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,45.0,32.0,95.0,100.0,79.0,100.0,41.0,100.0,100.0,66.0,100.0,0.0,0.0,100.0,67.0,39.0,89.0,31.0,34.0,100.0,100.0
2020-11-02,0.0,32.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,45.0,0.0,34.0,0.0,16.009104704097116
2020-11-03,0.0,32.0,48.0,0.0,0.0,33.0,42.0,34.0,0.0,34.0,0.0,47.0,30.0,33.0,34.0,0.0,90.0,31.0,35.0,0.0,39.681335356600904
2020-11-04,41.0,0.0,0.0,22.0,0.0,0.0,37.0,30.0,30.0,30.0,0.0,0.0,0.0,29.0,30.0,0.0,0.0,0.0,30.0,0.0,21.16843702579666
2020-11-05,0.0,0.0,45.0,24.0,0.0,32.0,0.0,0.0,0.0,63.0,32.0,0.0,28.0,0.0,32.0,38.0,0.0,0.0,32.0,0.0,24.734446130500757
2020-11-06,89.0,0.0,47.0,25.0,0.0,65.0,41.0,99.0,0.0,32.0,33.0,46.0,0.0,65.0,100.0,39.0,44.0,30.0,100.0,98.0,72.30652503793625
2020-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,0.0,0.0,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,8.725341426403642
2020-11-09,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,45.0,29.0,0.0,0.0,38.0,43.0,0.0,33.0,0.0,19.11987860394537
2020-11-10,0.0,32.0,95.0,25.0,39.0,67.0,0.0,34.0,67.0,100.0,34.0,47.0,0.0,67.0,66.0,40.0,45.0,31.0,0.0,50.0,63.65705614567526
2020-11-11,0.0,59.0,44.0,46.0,36.0,61.0,78.0,31.0,31.0,31.0,0.0,0.0,0.0,31.0,0.0,74.0,41.0,28.0,32.0,46.0,50.758725341426405
2020-11-12,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,44.0,31.0,0.0,50.0,17.450682852807283
2020-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14,0.0,0.0,46.0,24.0,0.0,33.0,40.0,0.0,0.0,0.0,33.0,0.0,0.0,32.0,33.0,38.0,43.0,0.0,33.0,48.0,30.57663125948406
2020-11-15,0.0,0.0,0.0,25.0,39.0,0.0,41.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,39.0,0.0,30.0,34.0,0.0,20.789074355083457
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-17,91.0,32.0,48.0,51.0,38.0,33.0,0.0,0.0,33.0,66.0,0.0,47.0,0.0,0.0,0.0,40.0,45.0,0.0,0.0,0.0,39.757207890743544
2020-11-18,0.0,0.0,0.0,0.0,38.0,32.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,10.849772382397571
2020-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-20,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,33.0,0.0,47.0,30.0,0.0,34.0,40.0,0.0,0.0,0.0,51.0,20.409711684370258
2020-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,44.0,31.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,32.0,32.0,0.0,28.0,64.0,0.0,0.0,42.0,29.0,0.0,49.0,29.135053110773896
2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
