date,/g/121j1nlf_0,/g/121j1nlf_1,/g/121j1nlf_2,/g/121j1nlf_3,/g/121j1nlf_4,/g/121j1nlf_5,/g/121j1nlf_6,/g/121j1nlf_7,/g/121j1nlf_8,/g/121j1nlf_9,/g/121j1nlf
2021-04-18,38.0,26.0,53.0,45.0,30.0,16.470588235294116,68.0,27.0,22.0,32.0,50.01234466299071
2021-04-19,12.0,11.0,40.0,11.0,38.0,57.64705882352941,30.0,12.0,40.0,31.0,39.544070446876795
2021-04-20,49.0,49.0,52.0,58.0,70.0,58.8235294117647,32.0,68.0,33.0,44.0,71.88708748251173
2021-04-21,23.0,24.0,0.0,22.0,13.0,0.0,61.0,50.0,31.0,10.0,32.738046251337344
2021-04-22,69.0,23.0,64.0,32.0,68.0,43.529411764705884,59.0,49.0,30.0,10.0,62.612130688832195
2021-04-23,39.0,62.0,69.0,24.0,58.0,31.764705882352942,68.0,56.0,34.0,35.0,66.70232902641757
2021-04-24,29.0,28.0,30.0,48.0,47.0,16.470588235294116,93.0,15.0,48.0,50.0,56.58793514937044
2021-04-25,67.0,27.0,15.0,25.0,31.0,49.411764705882355,0.0,28.0,34.0,35.0,43.568430581845114
2021-04-26,36.0,46.0,50.0,21.0,27.0,83.52941176470588,43.0,36.0,29.0,42.0,57.855320549748996
2021-04-27,32.0,31.0,44.0,30.0,60.0,42.35294117647059,27.0,11.0,19.0,10.0,42.86066990371163
2021-04-28,53.0,62.0,45.0,100.0,72.0,64.70588235294117,79.0,67.0,37.0,46.0,87.5401201547198
2021-04-29,55.0,44.0,50.0,43.0,13.0,82.3529411764706,30.0,49.0,38.0,60.0,64.96584643239241
2021-04-30,98.0,68.0,37.0,45.0,77.0,100.0,73.0,98.0,50.0,62.0,99.05357583737965
2021-05-01,33.0,100.0,35.0,21.0,38.0,67.05882352941177,43.0,58.0,29.0,39.0,64.78479137519545
2021-05-02,64.0,51.0,42.0,49.0,77.0,82.3529411764706,100.0,65.0,66.0,34.0,88.19027240556335
2021-05-03,59.0,23.0,100.0,31.0,82.0,15.294117647058824,46.0,64.0,30.0,39.0,68.45527117109704
2021-05-04,57.0,11.0,12.0,72.0,38.0,82.3529411764706,43.0,12.0,19.0,28.0,52.374290181878045
2021-05-05,35.0,23.0,12.0,11.0,26.0,57.64705882352941,15.0,38.0,30.0,50.0,41.64266315529586
2021-05-06,100.0,77.0,40.0,68.0,76.0,97.6470588235294,17.0,67.0,100.0,65.0,99.00419718541686
2021-05-07,38.0,38.0,54.0,23.0,68.0,47.05882352941177,79.0,40.0,70.0,34.0,68.70216443091105
2021-05-08,14.0,84.0,28.0,51.0,46.0,63.529411764705884,72.0,29.0,51.0,74.0,71.70603242531479
2021-05-09,52.0,50.0,14.0,12.0,16.0,16.470588235294116,33.0,43.0,33.0,22.0,40.778536745946845
2021-05-10,11.0,22.0,0.0,0.0,0.0,41.1764705882353,14.0,0.0,20.0,0.0,15.134556826598635
2021-05-11,39.0,57.0,45.0,36.0,56.0,61.1764705882353,36.0,52.0,17.0,59.0,64.10172002304338
2021-05-12,48.0,58.0,38.0,53.0,27.0,61.1764705882353,73.0,78.0,72.0,51.0,78.23224425973171
2021-05-13,35.0,45.0,38.0,11.0,0.0,41.1764705882353,29.0,38.0,43.0,40.0,44.79466710558802
2021-05-14,71.0,90.0,66.0,65.0,59.0,51.76470588235294,69.0,100.0,43.0,100.0,100.0
2021-05-15,24.0,0.0,26.0,11.0,41.0,42.35294117647059,46.0,26.0,0.0,31.0,34.60620525059666
2021-05-16,0.0,34.0,12.0,0.0,26.0,14.117647058823529,0.0,12.0,10.0,20.0,17.924450662496916
2021-05-17,43.0,43.0,50.0,62.0,49.0,81.17647058823529,57.0,47.0,39.0,48.0,72.63599703728089
2021-05-18,68.0,64.0,72.0,30.0,100.0,84.70588235294117,84.0,61.0,41.0,38.0,89.9185252242614
2021-05-19,22.0,22.0,38.0,32.0,27.0,54.11764705882353,44.0,40.0,42.0,31.0,49.26343510822155
2021-05-20,23.0,0.0,76.0,45.0,70.0,45.88235294117647,0.0,54.0,32.0,21.0,51.329108715332076
2021-05-21,47.0,22.0,13.0,23.0,13.0,43.529411764705884,46.0,13.0,31.0,31.0,39.527610896222534
2021-05-22,0.0,0.0,28.0,11.0,14.0,0.0,0.0,27.0,0.0,11.0,12.731462431075633
2021-05-23,12.0,0.0,0.0,12.0,14.0,15.294117647058824,32.0,13.0,11.0,11.0,16.829890543988153
2021-05-24,19.0,28.0,53.0,36.0,56.0,24.705882352941178,25.0,53.0,9.0,17.0,44.868735083532236
2021-05-25,46.0,54.0,49.0,21.0,52.0,28.235294117647058,59.0,60.0,29.0,50.0,62.71088799275781
2021-05-26,47.0,48.0,68.0,34.0,68.0,60.0,61.0,53.0,21.0,32.0,68.83384083614519
2021-05-27,11.0,45.0,75.0,43.0,40.0,44.705882352941174,90.0,61.0,20.0,21.0,63.056538556497415
2021-05-28,51.0,73.0,53.0,34.0,71.0,60.0,84.0,39.0,86.0,76.0,87.72117521191673
2021-05-29,39.0,51.0,29.0,13.0,59.0,50.588235294117645,33.0,29.0,34.0,48.0,53.946177269360554
2021-05-30,38.0,0.0,59.0,24.0,45.0,47.05882352941177,33.0,27.0,34.0,58.0,51.073985680190944
2021-05-31,100.0,32.0,24.0,51.0,50.0,52.94117647058823,45.0,71.0,66.0,39.0,74.2819521027076
