date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-01-29,16.0,25.0,20.0,22.0,28.0,27.0,23.0,28.0,19.0,26.0,27.0,16.0,17.0,26.0,19.0,22.0,17.0,24.0,24.0,21.0,22.632911392405067
2020-01-30,17.0,28.0,14.0,26.0,23.0,21.0,23.0,26.0,28.0,25.0,24.0,26.0,20.0,22.0,27.0,20.0,21.0,20.0,29.0,27.0,23.645569620253173
2020-01-31,11.0,16.0,18.0,21.0,19.0,20.0,19.0,17.0,21.0,17.0,20.0,22.0,16.0,20.0,14.0,13.0,11.0,15.0,11.0,26.0,17.569620253164555
2020-02-01,8.0,12.0,12.0,15.0,13.0,16.0,16.0,10.0,14.0,8.0,10.0,15.0,13.0,24.0,6.0,14.0,8.0,13.0,21.0,14.0,13.265822784810126
2020-02-02,9.0,13.0,9.0,10.0,15.0,8.0,14.0,14.0,14.0,12.0,16.0,10.0,17.0,17.0,20.0,16.0,13.0,12.0,9.0,15.0,13.316455696202533
2020-02-03,10.0,13.0,15.0,13.0,9.0,16.0,13.0,11.0,16.0,11.0,16.0,10.0,13.0,11.0,12.0,9.0,10.0,9.0,13.0,16.0,12.455696202531644
2020-02-04,8.0,3.0,5.0,5.0,10.0,8.0,12.0,8.0,8.0,4.0,7.0,7.0,5.0,12.0,9.0,7.0,9.0,9.0,4.0,5.0,7.341772151898733
2020-02-05,11.0,10.0,8.0,8.0,11.0,10.0,11.0,11.0,10.0,12.0,8.0,9.0,8.0,14.0,10.0,6.0,9.0,8.0,8.0,2.0,9.31645569620253
2020-02-06,7.0,12.0,13.0,9.0,7.0,9.0,6.0,12.0,14.0,13.0,20.0,9.0,13.0,12.0,6.0,13.0,10.0,15.0,16.0,11.0,11.49367088607595
2020-02-07,8.0,15.0,10.0,11.0,5.0,12.0,10.0,15.0,11.0,10.0,9.0,13.0,13.0,11.0,14.0,6.0,8.0,10.0,13.0,9.0,10.784810126582279
