date,/m/0405g08_0,/m/0405g08_1,/m/0405g08_2,/m/0405g08_3,/m/0405g08_4,/m/0405g08_5,/m/0405g08_6,/m/0405g08_7,/m/0405g08_8,/m/0405g08_9,/m/0405g08
2021-04-18,23.0,38.0,54.08163265306123,24.0,23.0,28.0,65.0,48.0,22.0,18.0,48.04378268697665
2021-04-19,61.0,35.0,50.0,22.0,42.0,26.0,59.0,44.0,20.0,16.0,52.51350347232145
2021-04-20,0.0,69.0,0.0,21.0,20.0,25.0,29.0,21.0,0.0,32.0,30.38781400931668
2021-04-21,39.0,100.0,23.46938775510204,42.0,20.0,25.0,58.0,21.0,37.0,16.0,53.41945071589838
2021-04-22,42.0,35.0,74.48979591836735,22.0,84.0,53.0,30.0,0.0,20.0,67.0,59.863965019576455
2021-04-23,21.0,37.0,52.04081632653061,23.0,22.0,27.0,63.0,23.0,0.0,0.0,37.53536623703238
2021-04-24,92.0,77.0,55.10204081632653,100.0,71.0,29.0,100.0,49.0,66.0,75.0,100.0
2021-04-25,21.0,73.0,0.0,23.0,0.0,54.0,31.0,23.0,41.0,17.0,39.630190620445255
2021-04-26,0.0,32.0,0.0,0.0,38.0,0.0,27.0,0.0,0.0,30.0,17.784573175959533
2021-04-27,19.0,65.0,68.36734693877551,0.0,58.0,97.0,28.0,0.0,18.0,15.0,51.58469320682461
2021-04-28,0.0,63.0,22.448979591836736,0.0,38.0,0.0,0.0,0.0,0.0,0.0,17.28730244920122
2021-04-29,38.0,64.0,23.46938775510204,41.0,19.0,0.0,82.0,0.0,37.0,31.0,46.97779428996028
2021-04-30,19.0,62.0,44.89795918367347,0.0,0.0,0.0,55.0,20.0,18.0,30.0,34.8546769169215
2021-05-01,19.0,32.0,22.448979591836736,40.0,0.0,0.0,0.0,0.0,0.0,15.0,17.987482495498842
2021-05-02,43.0,74.0,0.0,0.0,44.0,55.0,64.0,0.0,42.0,0.0,45.09159498156669
2021-05-03,62.0,71.0,24.489795918367346,44.0,21.0,0.0,0.0,22.0,20.0,17.0,39.41870766768597
2021-05-04,40.0,34.0,48.97959183673469,22.0,21.0,52.0,0.0,43.0,39.0,16.0,44.24852104826955
2021-05-05,100.0,68.0,47.95918367346939,22.0,40.0,76.0,57.0,21.0,19.0,16.0,65.39110056871768
2021-05-06,0.0,0.0,0.0,0.0,21.0,26.0,0.0,22.0,20.0,0.0,12.463204824097625
2021-05-07,42.0,36.0,50.0,45.0,42.0,26.0,30.0,45.0,0.0,34.0,49.01260324083336
2021-05-08,46.0,0.0,0.0,24.0,23.0,29.0,34.0,0.0,22.0,19.0,27.587093824126203
2021-05-09,42.0,71.0,24.489795918367346,91.0,43.0,80.0,31.0,23.0,100.0,35.0,75.68803406590266
2021-05-10,37.0,0.0,0.0,20.0,19.0,23.0,27.0,39.0,0.0,30.0,27.307021805607153
2021-05-11,56.0,65.0,0.0,61.0,38.0,96.0,83.0,100.0,36.0,61.0,83.46146151867623
2021-05-12,0.0,68.0,47.95918367346939,21.0,40.0,0.0,0.0,21.0,0.0,0.0,27.72141407790575
2021-05-13,0.0,37.0,0.0,0.0,0.0,27.0,31.0,0.0,0.0,0.0,13.303420879654768
2021-05-14,20.0,0.0,0.0,22.0,0.0,0.0,0.0,21.0,0.0,16.0,11.062844731502386
2021-05-15,82.0,35.0,48.97959183673469,44.0,63.0,78.0,30.0,66.0,0.0,0.0,62.593238261267174
2021-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-17,19.0,66.0,0.0,21.0,20.0,0.0,28.0,0.0,18.0,31.0,28.427309879683346
2021-05-18,20.0,99.0,70.40816326530613,0.0,20.0,24.0,84.0,41.0,37.0,0.0,55.37138121231174
2021-05-19,40.0,34.0,71.42857142857143,65.0,40.0,75.0,87.0,63.0,38.0,48.0,78.62021662713269
2021-05-20,63.0,35.0,100.0,66.0,63.0,27.0,61.0,66.0,59.0,100.0,89.62304592609527
2021-05-21,39.0,33.0,92.85714285714286,62.0,39.0,24.0,84.0,41.0,18.0,31.0,64.95670315223914
2021-05-22,21.0,36.0,0.0,22.0,0.0,0.0,0.0,23.0,39.0,17.0,22.125689463004772
2021-05-23,20.0,70.0,48.97959183673469,44.0,21.0,26.0,60.0,43.0,59.0,49.0,61.75302220571003
2021-05-24,59.0,33.0,0.0,21.0,59.0,25.0,28.0,21.0,19.0,16.0,39.350118601926205
2021-05-25,0.0,0.0,22.448979591836736,0.0,19.0,24.0,0.0,20.0,18.0,15.0,16.587122402903603
2021-05-26,60.0,33.0,47.95918367346939,21.0,100.0,100.0,58.0,62.0,38.0,32.0,77.29416135577719
2021-05-27,23.0,0.0,26.53061224489796,24.0,23.0,28.0,33.0,48.0,21.0,18.0,34.243091080563566
2021-05-28,23.0,79.0,28.571428571428573,51.0,24.0,89.0,68.0,25.0,22.0,38.0,62.67611671572689
2021-05-29,25.0,0.0,0.0,0.0,26.0,32.0,37.0,27.0,0.0,0.0,20.585293361150008
2021-05-30,49.0,43.0,30.612244897959183,0.0,51.0,63.0,0.0,27.0,24.0,20.0,43.07679117487353
2021-05-31,0.0,37.0,26.53061224489796,23.0,22.0,27.0,0.0,0.0,21.0,0.0,21.91992226572547
