date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2021-01-19,57.0,0.0,0.0,0.0,0.0,30.0,42.0,0.0,34.0,28.0,65.0,28.0,0.0,44.0,22.0,34.0,37.0,64.0,0.0,0.0,39.3030794165316
2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-21,0.0,95.0,100.0,32.0,0.0,0.0,42.0,32.0,34.0,27.0,32.0,0.0,29.0,43.0,0.0,66.0,37.0,33.0,28.0,30.0,53.484602917341974
2021-01-22,29.0,0.0,34.0,0.0,0.0,0.0,43.0,0.0,0.0,28.0,0.0,0.0,0.0,44.0,0.0,34.0,0.0,0.0,0.0,0.0,17.179902755267424
2021-01-23,0.0,0.0,0.0,35.0,37.0,34.0,0.0,35.0,0.0,31.0,0.0,0.0,0.0,48.0,25.0,37.0,42.0,0.0,0.0,0.0,26.25607779578606
2021-01-24,31.0,0.0,0.0,0.0,36.0,0.0,0.0,35.0,0.0,30.0,35.0,0.0,0.0,47.0,47.0,37.0,41.0,0.0,31.0,66.0,35.3322528363047
2021-01-25,0.0,64.0,33.0,63.0,0.0,30.0,42.0,0.0,34.0,28.0,33.0,28.0,29.0,0.0,44.0,100.0,73.0,0.0,55.0,0.0,53.16045380875202
2021-01-26,58.0,95.0,0.0,32.0,34.0,60.0,85.0,32.0,68.0,27.0,65.0,28.0,29.0,43.0,22.0,66.0,36.0,66.0,28.0,59.0,75.60777957860616
2021-01-27,57.0,31.0,0.0,0.0,0.0,0.0,84.0,0.0,68.0,28.0,32.0,28.0,58.0,43.0,44.0,33.0,0.0,0.0,28.0,0.0,43.27390599675851
2021-01-28,0.0,32.0,0.0,0.0,0.0,30.0,43.0,0.0,35.0,0.0,32.0,28.0,0.0,44.0,22.0,0.0,0.0,33.0,0.0,0.0,24.230145867098866
2021-01-29,0.0,32.0,34.0,33.0,34.0,0.0,44.0,33.0,0.0,28.0,0.0,57.0,0.0,44.0,45.0,34.0,0.0,34.0,28.0,31.0,41.41004862236629
2021-01-30,30.0,0.0,0.0,66.0,0.0,32.0,89.0,34.0,0.0,59.0,34.0,29.0,0.0,45.0,47.0,70.0,0.0,35.0,29.0,62.0,53.565640194489454
2021-01-31,62.0,35.0,36.0,34.0,36.0,32.0,45.0,34.0,74.0,29.0,35.0,0.0,31.0,0.0,24.0,36.0,0.0,70.0,30.0,0.0,52.10696920583468
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-02,57.0,0.0,34.0,64.0,33.0,0.0,42.0,32.0,34.0,28.0,0.0,28.0,0.0,44.0,0.0,33.0,37.0,0.0,55.0,30.0,44.6515397082658
2021-02-03,57.0,0.0,32.0,0.0,32.0,59.0,41.0,32.0,33.0,0.0,63.0,28.0,29.0,87.0,43.0,100.0,36.0,0.0,27.0,87.0,63.69529983792543
2021-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,0.0,0.0,0.0,32.0,0.0,30.0,0.0,0.0,35.0,0.0,0.0,0.0,29.0,0.0,22.0,0.0,0.0,0.0,0.0,30.0,14.424635332252835
