date,/g/121j1nlf_0,/g/121j1nlf_1,/g/121j1nlf_2,/g/121j1nlf_3,/g/121j1nlf_4,/g/121j1nlf_5,/g/121j1nlf_6,/g/121j1nlf_7,/g/121j1nlf_8,/g/121j1nlf_9,/g/121j1nlf
2020-02-01,14.0,68.0,12.0,46.0,44.0,34.0,14.0,30.0,90.0,47.0,54.21195652173913
2020-02-02,57.0,35.0,0.0,16.0,0.0,35.0,41.0,0.0,0.0,0.0,25.0
2020-02-03,48.0,30.0,41.0,53.0,26.0,15.0,58.0,13.0,62.0,68.0,56.25000000000001
2020-02-04,66.0,49.0,35.0,59.0,41.0,81.0,26.0,70.0,33.0,58.0,70.3804347826087
2020-02-05,65.0,64.0,33.0,73.0,69.0,16.0,50.0,14.0,83.0,72.0,73.23369565217392
2020-02-06,27.0,0.0,12.0,15.0,56.0,0.0,26.0,29.0,17.0,15.0,26.76630434782609
2020-02-07,56.0,17.0,24.0,78.0,44.0,68.0,27.0,30.0,36.0,16.0,53.80434782608696
2020-02-08,29.0,71.0,12.0,48.0,30.0,18.0,28.0,76.0,55.0,16.0,52.03804347826087
2020-02-09,14.0,17.0,12.0,16.0,15.0,34.0,27.0,15.0,36.0,16.0,27.445652173913047
2020-02-10,27.0,49.0,23.0,30.0,28.0,0.0,38.0,70.0,0.0,45.0,42.119565217391305
2020-02-11,13.0,16.0,11.0,15.0,0.0,0.0,12.0,0.0,17.0,14.0,13.315217391304351
2020-02-12,27.0,17.0,23.0,15.0,43.0,17.0,26.0,14.0,52.0,45.0,37.90760869565218
2020-02-13,27.0,50.0,58.0,30.0,29.0,33.0,26.0,57.0,35.0,15.0,48.913043478260875
2020-02-14,28.0,17.0,0.0,31.0,29.0,34.0,13.0,30.0,18.0,31.0,31.385869565217394
2020-02-15,15.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,20.0,17.0,9.23913043478261
2020-02-16,27.0,67.0,12.0,30.0,43.0,33.0,13.0,57.0,17.0,30.0,44.70108695652174
2020-02-17,25.0,0.0,33.0,42.0,14.0,31.0,24.0,27.0,32.0,56.0,38.58695652173913
2020-02-18,51.0,47.0,11.0,28.0,40.0,47.0,49.0,27.0,16.0,71.0,52.581521739130444
2020-02-19,26.0,32.0,11.0,14.0,14.0,16.0,12.0,14.0,0.0,29.0,22.826086956521742
2020-02-20,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,17.0,0.0,5.978260869565219
2020-02-21,27.0,100.0,35.0,45.0,100.0,100.0,40.0,86.0,70.0,60.0,90.08152173913044
2020-02-22,29.0,18.0,0.0,16.0,0.0,18.0,0.0,15.0,18.0,16.0,17.66304347826087
2020-02-23,41.0,34.0,12.0,31.0,58.0,51.0,13.0,30.0,35.0,15.0,43.47826086956522
2020-02-24,37.0,31.0,22.0,0.0,13.0,31.0,24.0,13.0,16.0,0.0,25.407608695652176
2020-02-25,48.0,29.0,31.0,40.0,13.0,29.0,35.0,13.0,63.0,53.0,48.09782608695652
