date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2021-02-25,84.0,26.0,41.0,18.0,20.0,100.0,0.0,20.0,20.0,21.0,24.742268041237114,0.0,38.0,39.0,0.0,0.0,66.0,100.0,41.0,41.0,51.466908443335214
2021-02-26,39.0,24.0,75.0,100.0,75.0,19.0,57.0,19.0,38.0,39.0,68.04123711340206,45.0,36.0,54.0,57.0,22.857142857142858,0.0,69.0,55.0,57.0,69.79264834276825
2021-02-27,42.0,53.0,0.0,56.0,0.0,0.0,0.0,21.0,0.0,43.0,25.77319587628866,25.0,59.0,0.0,21.0,0.0,22.0,51.0,83.0,21.0,38.45061451569923
2021-02-28,20.0,0.0,40.0,18.0,20.0,20.0,40.0,39.0,20.0,20.0,0.0,0.0,36.0,0.0,20.0,24.285714285714285,43.0,0.0,39.0,20.0,30.838982371534478
2021-03-01,40.0,25.0,0.0,35.0,39.0,38.0,40.0,20.0,20.0,20.0,23.711340206185568,0.0,37.0,19.0,0.0,48.57142857142857,64.0,48.0,40.0,20.0,42.459860956751
2021-03-02,21.0,25.0,20.0,18.0,20.0,0.0,40.0,40.0,0.0,20.0,23.711340206185568,46.0,18.0,19.0,40.0,24.285714285714285,21.0,47.0,59.0,40.0,39.86455307062868
2021-03-03,20.0,49.0,0.0,52.0,19.0,19.0,20.0,0.0,39.0,20.0,23.711340206185568,69.0,18.0,0.0,19.0,48.57142857142857,21.0,71.0,58.0,0.0,41.65079736472097
2021-03-04,19.0,47.0,37.0,17.0,19.0,0.0,0.0,19.0,19.0,39.0,46.391752577319586,44.0,18.0,0.0,0.0,47.142857142857146,40.0,0.0,37.0,19.0,34.38774824896064
2021-03-05,0.0,0.0,0.0,17.0,19.0,18.0,0.0,0.0,19.0,0.0,22.68041237113402,0.0,35.0,0.0,38.0,22.857142857142858,21.0,23.0,0.0,0.0,17.32407822645115
2021-03-06,43.0,0.0,41.0,18.0,0.0,39.0,42.0,20.0,41.0,42.0,24.742268041237114,48.0,19.0,0.0,61.0,25.714285714285715,43.0,75.0,20.0,0.0,44.311423947589056
2021-03-07,84.0,100.0,62.0,53.0,20.0,79.0,40.0,100.0,41.0,62.0,49.48453608247423,73.0,94.0,39.0,20.0,74.28571428571429,0.0,25.0,100.0,61.0,86.55290597790645
2021-03-08,38.0,0.0,38.0,34.0,19.0,18.0,39.0,0.0,38.0,39.0,46.391752577319586,44.0,0.0,0.0,0.0,0.0,41.0,46.0,0.0,19.0,33.78883104447087
2021-03-09,39.0,47.0,0.0,0.0,0.0,19.0,39.0,19.0,0.0,39.0,70.10309278350516,22.0,36.0,18.0,38.0,0.0,0.0,23.0,38.0,38.0,35.679931886572945
2021-03-10,38.0,68.0,73.0,49.0,36.0,36.0,55.0,55.0,74.0,19.0,0.0,65.0,17.0,17.0,56.0,45.714285714285715,100.0,67.0,19.0,55.0,69.48490304018995
2021-03-11,39.0,24.0,19.0,34.0,19.0,19.0,19.0,57.0,19.0,79.0,0.0,22.0,70.0,0.0,38.0,94.28571428571429,21.0,0.0,38.0,77.0,50.62426475845081
2021-03-12,21.0,48.0,39.0,18.0,58.0,0.0,20.0,0.0,0.0,0.0,23.711340206185568,23.0,37.0,37.0,20.0,72.85714285714286,42.0,73.0,39.0,20.0,43.51059289445235
2021-03-13,38.0,92.0,57.0,50.0,36.0,18.0,76.0,56.0,56.0,96.0,90.72164948453609,22.0,86.0,18.0,19.0,45.714285714285715,60.0,68.0,37.0,19.0,76.52534863718985
2021-03-14,0.0,45.0,0.0,80.0,88.0,52.0,0.0,74.0,55.0,74.0,22.68041237113402,43.0,51.0,35.0,36.0,44.285714285714285,39.0,44.0,54.0,72.0,66.85558176969256
2021-03-15,15.0,75.0,45.0,27.0,15.0,30.0,60.0,30.0,15.0,31.0,54.63917525773196,53.0,14.0,43.0,30.0,37.142857142857146,16.0,0.0,59.0,15.0,48.895539913731646
2021-03-16,0.0,82.0,34.0,15.0,17.0,16.0,17.0,0.0,33.0,17.0,20.61855670103093,0.0,16.0,0.0,16.0,41.42857142857143,18.0,41.0,0.0,0.0,28.247140817577765
2021-03-17,39.0,24.0,38.0,0.0,38.0,18.0,0.0,38.0,76.0,57.0,69.0721649484536,44.0,35.0,36.0,38.0,47.142857142857146,40.0,46.0,0.0,38.0,53.04625603629249
2021-03-18,0.0,48.0,20.0,0.0,19.0,0.0,40.0,0.0,20.0,0.0,0.0,23.0,54.0,0.0,39.0,47.142857142857146,42.0,24.0,58.0,38.0,34.726690541029456
2021-03-19,0.0,25.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,24.742268041237114,23.0,0.0,19.0,20.0,0.0,21.0,0.0,39.0,19.0,16.971378928600053
2021-03-20,85.0,51.0,21.0,18.0,20.0,20.0,62.0,62.0,42.0,42.0,49.48453608247423,24.0,77.0,0.0,21.0,25.714285714285715,44.0,50.0,0.0,62.0,57.09038244476074
2021-03-21,60.0,96.0,78.0,87.0,77.0,56.0,58.0,38.0,39.0,39.0,94.84536082474227,0.0,36.0,37.0,19.0,48.57142857142857,41.0,71.0,19.0,0.0,73.14058360034923
2021-03-22,39.0,47.0,19.0,17.0,57.0,37.0,38.0,58.0,38.0,58.0,0.0,44.0,35.0,18.0,38.0,70.0,20.0,93.0,19.0,19.0,56.19314402826794
2021-03-23,40.0,24.0,0.0,0.0,57.0,57.0,20.0,19.0,20.0,0.0,71.1340206185567,45.0,37.0,19.0,39.0,71.42857142857143,21.0,70.0,77.0,0.0,50.571078224284676
2021-03-24,61.0,99.0,100.0,70.0,58.0,59.0,100.0,40.0,100.0,100.0,48.45360824742268,48.0,37.0,19.0,100.0,97.14285714285714,43.0,0.0,80.0,100.0,100.0
2021-03-25,100.0,99.0,39.0,17.0,19.0,38.0,59.0,39.0,58.0,20.0,47.422680412371136,69.0,18.0,56.0,19.0,24.285714285714285,41.0,96.0,58.0,98.0,74.63305624340585
2021-03-26,0.0,25.0,61.0,54.0,100.0,59.0,41.0,40.0,20.0,62.0,24.742268041237114,47.0,57.0,19.0,61.0,100.0,88.0,0.0,20.0,20.0,66.10360433551494
2021-03-27,0.0,25.0,20.0,0.0,20.0,40.0,62.0,41.0,0.0,42.0,24.742268041237114,24.0,39.0,19.0,20.0,24.285714285714285,22.0,25.0,20.0,41.0,37.439637075022254
2021-03-28,43.0,80.0,62.0,95.0,42.0,41.0,64.0,64.0,43.0,43.0,0.0,100.0,100.0,60.0,21.0,78.57142857142857,23.0,26.0,42.0,43.0,78.74185141133879
2021-03-29,20.0,25.0,20.0,35.0,20.0,19.0,0.0,39.0,0.0,41.0,23.711340206185568,0.0,55.0,19.0,0.0,24.285714285714285,0.0,24.0,19.0,0.0,28.243457839651803
2021-03-30,42.0,77.0,41.0,55.0,0.0,20.0,41.0,0.0,20.0,21.0,24.742268041237114,47.0,38.0,20.0,41.0,51.42857142857143,44.0,98.0,41.0,82.0,59.147758907932044
2021-03-31,82.0,25.0,59.0,17.0,59.0,57.0,20.0,59.0,40.0,40.0,0.0,0.0,55.0,37.0,39.0,48.57142857142857,22.0,24.0,40.0,20.0,54.69059735735501
2021-04-01,0.0,25.0,20.0,35.0,39.0,0.0,20.0,40.0,20.0,62.0,48.45360824742268,92.0,19.0,37.0,79.0,98.57142857142857,0.0,0.0,59.0,40.0,53.98844844805809
2021-04-02,41.0,25.0,20.0,18.0,40.0,20.0,20.0,20.0,20.0,0.0,48.45360824742268,24.0,0.0,0.0,0.0,25.714285714285715,21.0,0.0,0.0,0.0,25.24042263254929
2021-04-03,63.0,52.0,0.0,19.0,61.0,40.0,62.0,0.0,42.0,64.0,50.51546391752577,0.0,0.0,39.0,21.0,0.0,23.0,50.0,41.0,21.0,47.6991137021944
2021-04-04,44.0,53.0,21.0,19.0,21.0,21.0,43.0,21.0,42.0,0.0,25.77319587628866,0.0,20.0,40.0,63.0,0.0,46.0,0.0,42.0,21.0,39.92163922848111
2021-04-05,37.0,23.0,0.0,16.0,36.0,18.0,0.0,18.0,37.0,0.0,67.01030927835052,21.0,51.0,17.0,18.0,45.714285714285715,20.0,22.0,18.0,18.0,35.504990435089674
2021-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-07,34.0,82.0,33.0,29.0,32.0,32.0,0.0,65.0,16.0,33.0,100.0,19.0,30.0,31.0,49.0,0.0,36.0,20.0,33.0,33.0,52.00072359683956
2021-04-08,0.0,0.0,0.0,0.0,17.0,17.0,17.0,0.0,17.0,17.0,42.2680412371134,20.0,0.0,17.0,17.0,42.857142857142854,19.0,21.0,17.0,0.0,20.677104659400364
