date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2021-01-19,29.0,0.0,48.0,25.0,34.0,66.0,33.0,36.0,0.0,83.0,64.0,54.0,69.0,48.484848484848484,56.0,41.0,34.0,32.0,72.0,21.0,62.928435566448385
2021-01-20,0.0,0.0,22.0,23.0,0.0,0.0,31.0,33.0,0.0,0.0,29.0,0.0,0.0,44.44444444444444,26.0,0.0,0.0,30.0,0.0,20.0,19.235713802410288
2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0,24.0,33.0,32.0,0.0,36.0,0.0,40.0,31.0,0.0,33.0,46.464646464646464,0.0,41.0,0.0,63.0,23.0,0.0,29.954966807755632
2021-01-23,30.0,44.0,0.0,26.0,0.0,34.0,34.0,37.0,33.0,0.0,0.0,0.0,0.0,0.0,58.0,43.0,35.0,34.0,0.0,44.0,33.64182448332118
2021-01-24,58.0,43.0,24.0,0.0,70.0,67.0,34.0,37.0,33.0,84.0,33.0,28.0,35.0,49.494949494949495,58.0,86.0,34.0,33.0,48.0,22.0,65.23648064474901
2021-01-25,54.0,41.0,0.0,0.0,33.0,62.0,63.0,0.0,30.0,39.0,91.0,52.0,33.0,90.9090909090909,27.0,0.0,0.0,31.0,23.0,62.0,54.47512649139557
2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-27,0.0,40.0,45.0,46.0,32.0,93.0,63.0,0.0,30.0,78.0,30.0,52.0,32.0,45.45454545454545,27.0,80.0,32.0,60.0,0.0,40.0,61.43760384323336
2021-01-28,28.0,43.0,0.0,24.0,100.0,33.0,65.0,0.0,65.0,0.0,32.0,54.0,100.0,95.95959595959596,56.0,84.0,0.0,32.0,47.0,63.0,68.6203604158992
2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-30,58.0,89.0,48.0,25.0,70.0,0.0,69.0,0.0,65.0,85.0,33.0,28.0,69.0,49.494949494949495,0.0,43.0,34.0,100.0,24.0,44.0,69.47892311277845
2021-01-31,29.0,0.0,24.0,24.0,0.0,33.0,0.0,73.0,32.0,83.0,64.0,0.0,0.0,96.96969696969697,57.0,0.0,33.0,0.0,24.0,0.0,42.64545570733688
2021-02-01,0.0,41.0,22.0,0.0,0.0,30.0,0.0,0.0,30.0,38.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,22.0,0.0,17.714058024403627
2021-02-02,28.0,0.0,0.0,24.0,34.0,0.0,33.0,37.0,0.0,0.0,32.0,28.0,0.0,47.474747474747474,56.0,42.0,0.0,0.0,0.0,42.0,30.03014742919865
2021-02-03,0.0,42.0,0.0,0.0,0.0,0.0,33.0,36.0,31.0,40.0,31.0,0.0,0.0,0.0,28.0,41.0,0.0,0.0,0.0,0.0,20.988925894461442
2021-02-04,28.0,0.0,24.0,0.0,0.0,0.0,33.0,37.0,32.0,0.0,0.0,0.0,34.0,48.484848484848484,28.0,0.0,0.0,0.0,0.0,22.0,21.32272785366844
2021-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,33.0,0.0,0.0,0.0,0.0,0.0,29.0,43.0,0.0,33.0,0.0,21.0,14.662476600031574
2021-02-06,29.0,44.0,25.0,25.0,35.0,34.0,0.0,74.0,33.0,43.0,0.0,56.0,35.0,0.0,0.0,87.0,0.0,33.0,0.0,22.0,42.79656875643734
2021-02-07,0.0,43.0,0.0,25.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,29.0,0.0,0.0,0.0,0.0,22.0,13.918188447745708
2021-02-08,27.0,0.0,23.0,22.0,32.0,0.0,62.0,0.0,29.0,0.0,30.0,25.0,32.0,0.0,53.0,78.0,0.0,30.0,22.0,20.0,36.09797538586454
2021-02-09,0.0,82.0,23.0,23.0,0.0,62.0,32.0,35.0,30.0,39.0,0.0,53.0,0.0,0.0,54.0,40.0,32.0,0.0,0.0,0.0,37.58655169043627
2021-02-10,0.0,40.0,22.0,0.0,31.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,20.0,15.778908828460375
2021-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,28.0,0.0,23.0,0.0,33.0,32.0,65.0,70.0,31.0,80.0,0.0,54.0,33.0,47.474747474747474,0.0,40.0,65.0,31.0,0.0,21.0,48.637351236345324
2021-02-13,31.0,47.0,0.0,0.0,74.0,0.0,0.0,40.0,34.0,45.0,0.0,0.0,0.0,0.0,0.0,91.0,36.0,35.0,0.0,23.0,33.939539744235525
2021-02-14,0.0,47.0,27.0,0.0,38.0,0.0,37.0,40.0,0.0,0.0,0.0,30.0,38.0,53.535353535353536,31.0,46.0,0.0,0.0,0.0,0.0,28.843797222827842
2021-02-15,29.0,0.0,24.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,29.0,0.0,34.0,33.0,0.0,21.0,20.0957801117184
2021-02-16,28.0,43.0,24.0,24.0,0.0,33.0,33.0,37.0,32.0,42.0,0.0,27.0,34.0,0.0,57.0,0.0,33.0,0.0,0.0,21.0,34.832685526978565
