date,/m/05w_j_0,/m/05w_j_1,/m/05w_j_2,/m/05w_j_3,/m/05w_j_4,/m/05w_j_5,/m/05w_j_6,/m/05w_j_7,/m/05w_j_8,/m/05w_j_9,/m/05w_j
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,12.0,4.1065482796892345
2020-02-03,0.0,0.0,13.0,18.0,19.0,0.0,0.0,13.0,10.0,0.0,8.102108768035517
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.661487236403996
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,14.0,35.0,0.0,20.0,0.0,0.0,20.0,14.0,11.0,11.0,13.873473917869035
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,15.0,21.0,21.0,17.0,0.0,15.0,11.0,0.0,11.098779134295228
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.7758046614872365
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,15.0,0.0,15.0,21.0,22.0,35.0,11.0,0.0,0.0,24.0,15.871254162042176
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,14.0,17.0,0.0,41.0,21.0,0.0,10.0,0.0,0.0,0.0,11.431742508324085
2020-02-26,0.0,0.0,14.0,20.0,0.0,0.0,0.0,0.0,11.0,11.0,6.215316315205328
2020-02-27,14.0,0.0,0.0,21.0,0.0,0.0,0.0,15.0,0.0,0.0,5.549389567147614
2020-02-28,0.0,0.0,15.0,22.0,0.0,18.0,0.0,0.0,0.0,0.0,6.1043285238623755
2020-02-29,0.0,0.0,16.0,23.0,0.0,0.0,0.0,0.0,13.0,0.0,5.771365149833518
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,15.0,18.0,0.0,41.0,21.0,17.0,10.0,14.0,11.0,12.0,17.647058823529413
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
