date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,40.0,0.0,0.0,19.0,18.0,0.0,22.0,24.0,0.0,15.0920245398773
2020-02-03,20.0,18.0,41.0,17.0,16.0,17.0,0.0,20.0,41.0,46.0,28.957055214723926
2020-02-04,23.0,39.0,23.0,38.0,18.0,0.0,22.0,0.0,0.0,0.0,20.0
2020-02-05,23.0,97.0,90.0,39.0,38.0,56.0,90.0,44.0,71.0,34.0,71.41104294478528
2020-02-06,47.0,0.0,47.0,20.0,19.0,0.0,23.0,46.0,0.0,36.0,29.20245398773006
2020-02-07,0.0,40.0,0.0,0.0,0.0,20.0,0.0,23.0,24.0,0.0,13.128834355828221
2020-02-08,24.0,20.0,23.0,20.0,19.0,19.0,46.0,46.0,0.0,36.0,31.042944785276074
2020-02-09,22.0,18.0,21.0,18.0,34.0,0.0,21.0,21.0,21.0,48.0,27.484662576687118
2020-02-10,84.0,54.0,42.0,36.0,17.0,0.0,41.0,41.0,44.0,65.0,52.02453987730061
2020-02-11,22.0,19.0,22.0,37.0,35.0,17.0,0.0,0.0,45.0,0.0,24.171779141104295
2020-02-12,64.0,55.0,86.0,73.0,36.0,18.0,21.0,0.0,23.0,0.0,46.13496932515337
2020-02-13,0.0,0.0,0.0,19.0,18.0,18.0,0.0,0.0,0.0,16.0,8.71165644171779
2020-02-14,0.0,59.0,0.0,100.0,75.0,75.0,45.0,23.0,72.0,36.0,59.50920245398773
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,64.0,0.0,22.0,38.0,19.0,18.0,22.0,43.0,45.0,0.0,33.25153374233129
2020-02-17,22.0,0.0,0.0,37.0,35.0,18.0,21.0,41.0,45.0,17.0,28.957055214723926
2020-02-18,0.0,0.0,22.0,0.0,18.0,18.0,43.0,21.0,22.0,17.0,19.754601226993866
2020-02-19,0.0,0.0,22.0,0.0,18.0,18.0,0.0,0.0,22.0,0.0,9.815950920245399
2020-02-20,66.0,76.0,22.0,19.0,73.0,54.0,22.0,22.0,0.0,0.0,43.43558282208589
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,21.0,20.0,0.0,24.0,0.0,0.0,0.0,7.975460122699387
2020-02-23,46.0,19.0,68.0,19.0,19.0,18.0,44.0,22.0,73.0,18.0,42.45398773006135
2020-02-24,22.0,19.0,64.0,37.0,36.0,88.0,21.0,21.0,0.0,100.0,50.06134969325153
2020-02-25,22.0,19.0,22.0,18.0,17.0,36.0,21.0,21.0,45.0,17.0,29.20245398773006
2020-02-26,22.0,18.0,66.0,36.0,18.0,18.0,43.0,43.0,23.0,0.0,35.214723926380366
2020-02-27,23.0,0.0,23.0,0.0,18.0,18.0,0.0,0.0,24.0,16.0,14.969325153374234
2020-02-28,22.0,19.0,22.0,56.0,18.0,0.0,22.0,44.0,23.0,17.0,29.8159509202454
2020-02-29,0.0,58.0,91.0,40.0,39.0,37.0,68.0,0.0,48.0,35.0,51.04294478527607
2020-03-01,22.0,0.0,0.0,76.0,56.0,18.0,44.0,21.0,69.0,52.0,43.92638036809815
2020-03-02,0.0,37.0,43.0,18.0,0.0,0.0,0.0,21.0,22.0,33.0,21.34969325153374
2020-03-03,0.0,19.0,44.0,19.0,36.0,19.0,0.0,63.0,46.0,17.0,32.26993865030675
2020-03-04,21.0,18.0,0.0,18.0,34.0,34.0,0.0,20.0,21.0,16.0,22.33128834355828
2020-03-05,21.0,18.0,42.0,17.0,34.0,34.0,0.0,41.0,44.0,0.0,30.79754601226994
2020-03-06,0.0,55.0,22.0,37.0,18.0,18.0,0.0,43.0,45.0,17.0,31.288343558282207
2020-03-07,0.0,40.0,0.0,39.0,19.0,0.0,0.0,22.0,0.0,17.0,16.809815950920246
2020-03-08,21.0,37.0,0.0,54.0,35.0,17.0,42.0,62.0,22.0,33.0,39.63190184049079
2020-03-09,0.0,18.0,41.0,18.0,17.0,17.0,81.0,0.0,21.0,31.0,29.938650306748468
2020-03-10,61.0,35.0,20.0,17.0,66.0,33.0,39.0,20.0,64.0,31.0,47.36196319018405
2020-03-11,20.0,52.0,0.0,34.0,16.0,33.0,19.0,59.0,63.0,30.0,40.0
2020-03-12,61.0,71.0,20.0,17.0,33.0,51.0,100.0,19.0,63.0,15.0,55.214723926380366
2020-03-13,67.0,37.0,44.0,37.0,36.0,0.0,0.0,44.0,0.0,17.0,34.60122699386503
