date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,50.0,0.0,0.0,32.0,31.0,66.0,0.0,62.0,31.0,0.0,27.0,74.0,48.0,33.0,0.0,25.0,37.0,55.0,40.66951566951567
2020-01-31,32.0,79.0,50.0,0.0,31.0,64.0,32.0,70.0,56.0,32.0,32.0,68.0,57.0,37.0,0.0,35.0,73.0,27.0,0.0,0.0,55.199430199430196
2020-02-01,32.0,40.0,53.0,57.0,32.0,0.0,0.0,68.0,57.0,0.0,0.0,0.0,57.0,39.0,51.0,35.0,0.0,0.0,0.0,0.0,37.10826210826211
2020-02-02,0.0,38.0,49.0,27.0,30.0,0.0,30.0,33.0,26.0,0.0,30.0,0.0,27.0,0.0,0.0,0.0,0.0,25.0,0.0,27.0,24.35897435897436
2020-02-03,27.0,0.0,43.0,0.0,0.0,28.0,54.0,29.0,24.0,28.0,28.0,28.0,24.0,0.0,84.0,0.0,0.0,0.0,0.0,48.0,31.695156695156694
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,79.0,51.0,0.0,31.0,65.0,0.0,34.0,0.0,0.0,0.0,0.0,57.0,0.0,49.0,0.0,0.0,52.0,0.0,0.0,29.77207977207977
2020-02-09,59.0,36.0,47.0,52.0,0.0,30.0,0.0,31.0,51.0,0.0,30.0,0.0,0.0,35.0,0.0,32.0,32.0,0.0,34.0,0.0,33.4045584045584
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,30.0,75.0,47.0,27.0,87.0,92.0,93.0,32.0,0.0,90.0,30.0,0.0,27.0,72.0,93.0,33.0,67.0,49.0,70.0,54.0,76.06837606837607
