date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2021-02-25,80.0,32.0,61.0,15.0,45.0,73.0,66.0,98.0,69.0,55.0,60.0,42.0,62.62626262626262,36.0,62.0,30.0,70.0,73.0,58.0,73.0,74.36348809816586
2021-02-26,53.0,38.0,54.0,30.0,62.0,32.0,37.0,33.0,54.0,35.0,22.0,49.0,26.262626262626263,36.0,68.0,53.0,54.0,36.0,26.0,54.0,54.60605511474689
2021-02-27,59.0,44.0,35.0,34.0,78.0,36.0,66.0,64.0,69.0,31.0,42.0,39.0,49.494949494949495,27.0,43.0,34.0,59.0,29.0,15.0,70.0,59.17004284401413
2021-02-28,47.0,26.0,24.0,39.0,46.0,52.0,24.0,43.0,33.0,22.0,39.0,30.0,66.66666666666667,19.0,56.0,65.0,27.0,57.0,42.0,77.0,53.47864918389271
2021-03-01,89.0,70.0,47.0,53.0,62.0,74.0,44.0,65.0,38.0,48.0,45.0,57.0,89.8989898989899,54.0,100.0,78.0,88.0,64.0,46.0,64.0,81.7492266072977
2021-03-02,26.0,19.0,47.0,31.0,18.0,24.0,37.0,42.0,8.0,21.0,45.0,42.0,18.181818181818183,24.0,23.0,54.0,26.0,37.0,33.0,37.0,39.22363022120973
2021-03-03,72.0,52.0,47.0,46.0,62.0,49.0,29.0,82.0,100.0,64.0,45.0,78.0,45.45454545454545,49.0,47.0,46.0,79.0,90.0,53.0,81.0,77.94051024502635
2021-03-04,79.0,56.0,52.0,52.0,52.0,32.0,57.0,47.0,45.0,67.0,43.0,27.0,87.87878787878788,23.0,45.0,44.0,26.0,53.0,25.0,59.0,62.270085558590154
2021-03-05,80.0,32.0,54.0,52.0,80.0,100.0,80.0,41.0,84.0,35.0,66.0,76.0,53.535353535353536,30.0,99.0,46.0,97.0,78.0,45.0,53.0,82.11035893187672
2021-03-06,57.0,41.0,42.0,58.0,66.0,9.0,40.0,27.0,59.0,44.0,49.0,46.0,19.19191919191919,39.0,42.0,58.0,49.0,59.0,29.0,39.0,55.88296206169019
2021-03-07,27.0,41.0,56.0,24.0,46.0,25.0,8.0,26.0,65.0,22.0,23.0,44.0,37.37373737373738,31.0,48.0,40.0,27.0,68.0,13.0,38.0,45.450897653287086
2021-03-08,59.0,25.0,51.0,58.0,77.0,47.0,50.0,70.0,52.0,47.0,36.0,67.0,51.515151515151516,29.0,60.0,80.0,60.0,94.0,44.0,60.0,71.60127884851858
2021-03-09,53.0,37.0,67.0,67.0,87.0,73.0,64.0,64.0,61.0,55.0,87.0,89.0,94.94949494949495,47.0,61.0,66.0,87.0,68.0,70.0,70.0,87.64707405154225
2021-03-10,79.0,41.0,48.0,41.0,79.0,66.0,27.0,66.0,55.0,56.0,33.0,50.0,86.86868686868686,38.0,48.0,69.0,72.0,64.0,35.0,56.0,71.11135560531731
2021-03-11,70.0,31.0,45.0,67.0,34.0,73.0,50.0,48.0,60.0,54.0,50.0,47.0,43.43434343434343,36.0,45.0,52.0,59.0,77.0,51.0,88.0,69.22544235473808
2021-03-12,68.0,74.0,83.0,36.0,85.0,63.0,42.0,87.0,60.0,53.0,87.0,53.0,60.60606060606061,52.0,74.0,30.0,85.0,95.0,44.0,34.0,81.08973944108622
2021-03-13,52.0,44.0,46.0,29.0,43.0,40.0,43.0,40.0,44.0,27.0,29.0,41.0,61.61616161616162,18.0,39.0,52.0,34.0,70.0,38.0,53.0,54.05206000750741
2021-03-14,67.0,42.0,36.0,65.0,33.0,39.0,42.0,31.0,66.0,78.0,41.0,60.0,84.84848484848484,45.0,58.0,70.0,58.0,34.0,56.0,50.0,67.65018056616229
2021-03-15,58.0,67.0,51.0,100.0,32.0,90.0,43.0,67.0,73.0,57.0,78.0,73.0,72.72727272727273,63.0,57.0,84.0,66.0,73.0,62.0,86.0,86.6717578989606
2021-03-16,51.0,37.0,50.0,63.0,74.0,34.0,66.0,67.0,38.0,63.0,56.0,29.0,72.72727272727273,40.0,52.0,57.0,51.0,88.0,32.0,51.0,68.66756410422357
2021-03-17,42.0,48.0,50.0,79.0,33.0,54.0,28.0,69.0,51.0,59.0,69.0,33.0,92.92929292929293,23.0,52.0,50.0,83.0,74.0,55.0,59.0,70.73080756436309
2021-03-18,65.0,60.0,87.0,84.0,97.0,61.0,61.0,84.0,49.0,39.0,82.0,70.0,58.58585858585859,84.0,79.0,97.0,98.0,89.0,48.0,49.0,92.36509313071954
2021-03-19,83.0,35.0,65.0,63.0,73.0,30.0,81.0,46.0,56.0,52.0,28.0,39.0,24.242424242424242,27.0,36.0,21.0,41.0,16.0,54.0,67.0,60.050869176903056
2021-03-20,24.0,23.0,13.0,33.0,8.0,14.0,20.0,29.0,20.0,12.0,26.0,12.0,8.080808080808081,26.0,21.0,20.0,16.0,24.0,17.0,0.0,23.45547976235163
2021-03-21,75.0,24.0,50.0,50.0,90.0,39.0,62.0,52.0,58.0,52.0,55.0,32.0,17.171717171717173,40.0,72.0,77.0,75.0,67.0,37.0,42.0,68.3116093040113
2021-03-22,63.0,70.0,83.0,61.0,95.0,66.0,52.0,66.0,82.0,80.0,93.0,100.0,79.79797979797979,54.0,78.0,90.0,72.0,95.0,64.0,80.0,97.6325769833154
2021-03-23,66.0,53.0,51.0,57.0,50.0,76.0,42.0,46.0,66.0,58.0,49.0,53.0,73.73737373737374,50.0,36.0,59.0,81.0,59.0,12.0,50.0,69.69336111938075
2021-03-24,42.0,65.0,100.0,70.0,90.0,83.0,61.0,100.0,50.0,66.0,91.0,78.0,74.74747474747475,45.0,64.0,100.0,90.0,100.0,91.0,100.0,100.0
2021-03-25,42.0,48.0,58.0,43.0,90.0,62.0,78.0,70.0,72.0,46.0,43.0,73.0,75.75757575757575,62.0,29.0,72.0,51.0,93.0,50.0,78.0,79.17729137812755
2021-03-26,77.0,60.0,80.0,43.0,75.0,77.0,69.0,46.0,44.0,71.0,63.0,53.0,51.515151515151516,57.0,66.0,51.0,50.0,60.0,55.0,76.0,78.45696830060706
2021-03-27,91.0,84.0,57.0,29.0,66.0,70.0,28.0,100.0,22.0,53.0,70.0,66.0,50.505050505050505,95.0,72.0,58.0,100.0,34.0,50.0,42.0,79.28925534255794
2021-03-28,100.0,100.0,73.0,47.0,100.0,75.0,75.0,78.0,87.0,100.0,99.0,65.0,82.82828282828282,100.0,63.0,40.0,55.0,55.0,100.0,64.0,99.8770337962903
2021-03-29,78.0,81.0,52.0,89.0,60.0,79.0,62.0,56.0,76.0,68.0,58.0,88.0,78.78787878787878,29.0,60.0,44.0,43.0,80.0,83.0,78.0,86.03492240185355
2021-03-30,52.0,76.0,91.0,81.0,68.0,88.0,71.0,48.0,99.0,56.0,66.0,82.0,97.97979797979798,70.0,84.0,97.0,78.0,61.0,57.0,78.0,96.17057354026173
2021-03-31,51.0,68.0,74.0,65.0,25.0,47.0,49.0,47.0,30.0,39.0,63.0,53.0,76.76767676767676,47.0,60.0,51.0,68.0,92.0,56.0,59.0,71.80967420427922
2021-04-01,33.0,31.0,59.0,59.0,52.0,40.0,43.0,40.0,23.0,20.0,51.0,41.0,34.343434343434346,40.0,38.0,59.0,60.0,70.0,32.0,60.0,56.72560415237454
2021-04-02,77.0,31.0,37.0,36.0,59.0,39.0,56.0,71.0,59.0,47.0,51.0,61.0,69.6969696969697,51.0,45.0,51.0,59.0,77.0,62.0,60.0,70.39556286161772
2021-04-03,78.0,37.0,60.0,67.0,60.0,64.0,93.0,32.0,67.0,47.0,66.0,75.0,68.68686868686869,29.0,92.0,75.0,88.0,88.0,52.0,99.0,85.70809117620409
2021-04-04,64.0,54.0,55.0,16.0,74.0,68.0,52.0,50.0,24.0,28.0,31.0,36.0,64.64646464646465,31.0,64.0,48.0,73.0,55.0,27.0,75.0,63.408493728723606
2021-04-05,56.0,46.0,84.0,82.0,96.0,60.0,40.0,67.0,63.0,88.0,55.0,63.0,72.72727272727273,50.0,70.0,55.0,56.0,91.0,35.0,57.0,82.44301487243874
2021-04-06,79.0,35.0,37.0,37.0,50.0,72.0,29.0,71.0,80.0,55.0,43.0,56.0,64.64646464646465,29.0,31.0,24.0,71.0,57.0,52.0,51.0,65.58693710602276
2021-04-07,51.0,37.0,26.0,76.0,59.0,68.0,43.0,48.0,70.0,41.0,37.0,29.0,44.44444444444444,29.0,84.0,58.0,82.0,59.0,54.0,37.0,66.15064007144983
2021-04-08,31.0,34.0,27.0,39.0,22.0,36.0,38.0,71.0,39.0,48.0,45.0,25.0,46.464646464646464,41.0,80.0,46.0,68.0,38.0,28.0,63.0,55.45193315816042
2021-04-09,39.0,28.0,66.0,53.0,68.0,43.0,58.0,57.0,54.0,42.0,45.0,30.0,62.62626262626262,26.0,68.0,33.0,69.0,62.0,34.0,78.0,65.07306781262538
2021-04-10,32.0,12.0,42.0,27.0,16.0,44.0,26.0,66.0,35.0,25.0,26.0,13.0,32.323232323232325,27.0,35.0,34.0,31.0,72.0,17.0,56.0,42.82071527499126
2021-04-11,51.0,67.0,51.0,59.0,89.0,69.0,48.0,63.0,44.0,59.0,63.0,40.0,76.76767676767676,46.0,44.0,66.0,59.0,93.0,24.0,42.0,73.92404571754015
2021-04-12,64.0,34.0,68.0,40.0,32.0,74.0,39.0,58.0,28.0,49.0,33.0,31.0,64.64646464646465,44.0,41.0,41.0,56.0,56.0,24.0,64.0,60.26897239085131
2021-04-13,24.0,41.0,68.0,35.0,63.0,75.0,74.0,72.0,35.0,38.0,54.0,44.0,48.484848484848484,70.0,48.0,90.0,96.0,56.0,53.0,99.0,75.82808030340291
2021-04-14,89.0,47.0,72.0,71.0,57.0,53.0,81.0,45.0,72.0,39.0,55.0,71.0,100.0,44.0,72.0,70.0,74.0,67.0,79.0,33.0,82.71677647332928
2021-04-15,58.0,31.0,51.0,51.0,83.0,39.0,35.0,68.0,52.0,33.0,49.0,20.0,25.252525252525253,22.0,22.0,15.0,25.0,69.0,25.0,51.0,52.81139573113116
2021-04-16,94.0,67.0,52.0,36.0,68.0,71.0,100.0,56.0,58.0,86.0,29.0,68.0,51.515151515151516,40.0,45.0,52.0,84.0,60.0,96.0,87.0,83.32642996751103
2021-04-17,27.0,60.0,49.0,47.0,54.0,84.0,54.0,100.0,64.0,44.0,100.0,51.0,65.65656565656566,50.0,63.0,56.0,46.0,46.0,33.0,46.0,73.01992052500098
2021-04-18,37.0,52.0,73.0,69.0,62.0,42.0,45.0,59.0,47.0,56.0,46.0,36.0,91.91919191919192,43.0,47.0,79.0,64.0,55.0,60.0,65.0,72.33195697477251
