date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2021-02-25,0.0,0.0,35.0,0.0,31.0,90.0,0.0,99.0,53.0,0.0,32.0,50.505050505050505,51.0,0.0,50.0,0.0,0.0,70.0,0.0,52.0,43.14687997272108
2021-02-26,47.0,0.0,70.0,50.0,64.0,0.0,47.0,48.0,26.0,48.0,96.0,50.505050505050505,100.0,46.464646464646464,49.0,0.0,100.0,35.0,0.0,51.0,65.26270175039781
2021-02-27,0.0,100.0,0.0,56.0,0.0,100.0,53.0,53.0,29.0,55.0,35.0,55.55555555555556,0.0,52.525252525252526,54.0,58.0,55.0,39.0,36.0,0.0,58.44865310297796
2021-02-28,100.0,94.0,36.0,0.0,100.0,0.0,100.0,51.0,0.0,52.0,100.0,53.535353535353536,0.0,100.0,0.0,56.0,52.0,37.0,0.0,0.0,65.51346897022052
2021-03-01,48.0,90.0,0.0,0.0,64.0,91.0,49.0,48.0,79.0,51.0,32.0,0.0,0.0,48.484848484848484,49.0,54.0,50.0,72.0,100.0,52.0,68.74502727892703
2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-03,46.0,0.0,0.0,50.0,0.0,89.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,51.0,22.43478631507161
2021-03-04,44.0,87.0,33.0,96.0,90.0,86.0,46.0,92.0,100.0,94.0,91.0,0.0,0.0,89.8989898989899,47.0,100.0,96.0,100.0,32.0,98.0,100.0
2021-03-05,0.0,0.0,0.0,50.0,32.0,90.0,0.0,0.0,26.0,50.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,33.0,0.0,23.489713571266197
2021-03-06,47.0,46.0,0.0,51.0,32.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,53.0,26.232524437372128
