date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06
2021-02-26,76.0,36.0,46.0,40.0,65.0,80.0,74.0,71.0,100.0,70.0,84.57583547557842
2021-02-27,68.0,46.0,51.0,36.0,93.0,69.0,74.0,77.0,48.0,100.0,85.08997429305913
2021-02-28,90.0,84.0,63.0,34.0,43.0,42.0,57.0,34.0,34.0,7.0,62.724935732647815
2021-03-01,56.0,48.0,18.0,33.0,80.0,48.0,76.0,39.0,19.0,42.0,58.9974293059126
2021-03-02,43.0,37.0,35.0,54.0,81.0,48.0,39.0,65.0,39.0,64.0,64.91002570694087
2021-03-03,50.0,49.0,60.0,47.0,64.0,95.0,69.0,73.0,32.0,58.0,76.73521850899743
2021-03-04,46.0,69.0,51.0,37.0,77.0,84.0,85.0,84.0,54.0,27.0,78.9203084832905
2021-03-05,54.0,53.0,23.0,32.0,76.0,76.0,37.0,62.0,43.0,28.0,62.210796915167094
2021-03-06,73.0,32.0,54.0,40.0,57.0,58.0,62.0,91.0,45.0,29.0,69.53727506426735
2021-03-07,78.0,73.0,58.0,46.0,81.0,56.0,30.0,32.0,51.0,63.0,73.00771208226222
2021-03-08,59.0,17.0,27.0,25.0,46.0,54.0,44.0,54.0,31.0,47.0,51.9280205655527
2021-03-09,68.0,53.0,56.0,50.0,76.0,76.0,50.0,54.0,61.0,68.0,78.66323907455013
2021-03-10,62.0,49.0,42.0,54.0,29.0,93.0,54.0,59.0,56.0,38.0,68.89460154241645
2021-03-11,27.0,29.0,28.0,19.0,39.0,38.0,57.0,30.0,36.0,27.0,42.41645244215938
2021-03-12,55.0,47.0,39.0,38.0,55.0,77.0,51.0,100.0,74.0,62.0,76.86375321336762
2021-03-13,54.0,46.0,50.0,19.0,24.0,53.0,58.0,46.0,30.0,40.0,53.98457583547558
2021-03-14,26.0,50.0,42.0,41.0,58.0,21.0,34.0,51.0,17.0,45.0,49.48586118251928
2021-03-15,51.0,45.0,30.0,49.0,47.0,70.0,39.0,35.0,42.0,37.0,57.19794344473008
2021-03-16,70.0,30.0,83.0,73.0,99.0,86.0,44.0,92.0,80.0,82.0,94.98714652956299
2021-03-17,67.0,69.0,68.0,50.0,45.0,75.0,36.0,60.0,36.0,54.0,71.97943444730078
2021-03-18,82.0,30.0,34.0,26.0,71.0,54.0,52.0,55.0,56.0,75.0,68.76606683804627
2021-03-19,39.0,46.0,38.0,43.0,31.0,53.0,50.0,45.0,54.0,47.0,57.32647814910026
2021-03-20,60.0,52.0,55.0,57.0,75.0,68.0,77.0,42.0,48.0,85.0,79.5629820051414
2021-03-21,38.0,49.0,37.0,29.0,7.0,57.0,48.0,64.0,44.0,71.0,57.0694087403599
2021-03-22,58.0,100.0,74.0,41.0,66.0,100.0,89.0,94.0,96.0,44.0,97.94344473007712
2021-03-23,59.0,62.0,72.0,81.0,45.0,67.0,58.0,68.0,59.0,66.0,81.87660668380462
2021-03-24,100.0,46.0,71.0,56.0,100.0,98.0,71.0,99.0,72.0,65.0,100.0
2021-03-25,85.0,40.0,61.0,70.0,61.0,68.0,84.0,98.0,72.0,67.0,90.74550128534703
2021-03-26,61.0,59.0,62.0,45.0,70.0,39.0,43.0,93.0,59.0,80.0,78.53470437017995
2021-03-27,86.0,24.0,73.0,51.0,91.0,23.0,79.0,83.0,59.0,60.0,80.8483290488432
2021-03-28,14.0,25.0,12.0,7.0,8.0,8.0,23.0,25.0,13.0,7.0,18.251928020565554
2021-03-29,54.0,47.0,51.0,37.0,80.0,85.0,66.0,46.0,67.0,68.0,77.24935732647815
2021-03-30,55.0,60.0,64.0,46.0,86.0,71.0,83.0,39.0,50.0,64.0,79.43444730077121
