date,/m/0405g08_0,/m/0405g08_1,/m/0405g08_2,/m/0405g08_3,/m/0405g08_4,/m/0405g08_5,/m/0405g08_6,/m/0405g08_7,/m/0405g08_8,/m/0405g08_9,/m/0405g08
2021-04-18,100.0,100.0,100.0,39.0,51.0,100.0,100.0,95.0,100.0,0.0,100.0
2021-04-19,0.0,44.0,0.0,35.0,0.0,45.0,30.0,43.0,0.0,35.0,29.554140127388536
2021-04-20,61.0,44.0,44.0,100.0,0.0,45.0,29.0,42.0,29.0,34.0,54.52229299363057
2021-04-21,30.0,0.0,23.0,34.0,0.0,46.0,0.0,42.0,30.0,0.0,26.11464968152866
2021-04-22,60.0,44.0,46.0,69.0,46.0,92.0,31.0,0.0,30.0,70.0,62.1656050955414
2021-04-23,31.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,31.0,36.0,16.94267515923567
2021-04-24,34.0,51.0,51.0,78.0,51.0,0.0,34.0,48.0,0.0,0.0,44.20382165605096
2021-04-25,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,32.0,0.0,10.063694267515924
2021-04-26,0.0,0.0,20.0,31.0,0.0,41.0,27.0,0.0,0.0,31.0,19.10828025477707
2021-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28,0.0,0.0,0.0,31.0,41.0,0.0,0.0,0.0,28.0,0.0,12.738853503184714
2021-04-29,0.0,84.0,21.0,32.0,0.0,0.0,29.0,0.0,0.0,0.0,21.14649681528663
2021-04-30,0.0,0.0,21.0,0.0,0.0,41.0,0.0,39.0,0.0,31.0,16.81528662420382
2021-05-01,29.0,0.0,22.0,65.0,0.0,45.0,59.0,42.0,0.0,33.0,37.5796178343949
2021-05-02,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,32.0,35.0,14.394904458598726
2021-05-03,29.0,43.0,22.0,65.0,88.0,0.0,0.0,0.0,58.0,100.0,51.59235668789809
2021-05-04,26.0,40.0,61.0,0.0,0.0,82.0,53.0,37.0,52.0,31.0,48.662420382165614
2021-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06,28.0,41.0,20.0,32.0,0.0,43.0,0.0,0.0,27.0,0.0,24.331210191082807
2021-05-07,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,34.0,16.05095541401274
2021-05-08,35.0,0.0,26.0,0.0,100.0,52.0,34.0,48.0,0.0,38.0,42.42038216560509
2021-05-09,30.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,34.0,13.885350318471337
2021-05-10,0.0,0.0,21.0,32.0,43.0,0.0,0.0,40.0,28.0,33.0,25.095541401273884
2021-05-11,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,15.031847133757962
2021-05-12,28.0,41.0,42.0,62.0,42.0,41.0,55.0,78.0,55.0,63.0,64.5859872611465
2021-05-13,31.0,88.0,46.0,35.0,91.0,47.0,89.0,43.0,61.0,70.0,76.56050955414013
2021-05-14,0.0,90.0,22.0,0.0,45.0,46.0,0.0,43.0,0.0,34.0,35.6687898089172
2021-05-15,0.0,86.0,0.0,65.0,0.0,44.0,29.0,0.0,29.0,33.0,36.43312101910828
2021-05-16,29.0,84.0,42.0,65.0,0.0,44.0,57.0,40.0,28.0,32.0,53.63057324840764
2021-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-18,0.0,41.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,32.0,12.86624203821656
2021-05-19,0.0,43.0,0.0,0.0,0.0,0.0,29.0,41.0,0.0,33.0,18.598726114649683
2021-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-21,30.0,88.0,22.0,34.0,45.0,0.0,30.0,0.0,30.0,0.0,35.54140127388535
2021-05-22,0.0,0.0,23.0,0.0,47.0,48.0,0.0,0.0,0.0,36.0,19.61783439490446
2021-05-23,0.0,0.0,25.0,0.0,49.0,0.0,33.0,93.0,33.0,37.0,34.394904458598724
2021-05-24,29.0,42.0,0.0,32.0,43.0,0.0,0.0,0.0,57.0,0.0,25.85987261146497
2021-05-25,29.0,44.0,0.0,0.0,44.0,0.0,0.0,0.0,30.0,0.0,18.726114649681527
2021-05-26,0.0,0.0,22.0,33.0,0.0,0.0,0.0,0.0,29.0,0.0,10.700636942675159
2021-05-27,0.0,47.0,0.0,0.0,0.0,48.0,0.0,0.0,31.0,0.0,16.05095541401274
2021-05-28,0.0,0.0,0.0,0.0,0.0,0.0,33.0,48.0,0.0,38.0,15.159235668789808
2021-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,0.0,0.0,26.0,80.0,0.0,0.0,35.0,100.0,35.0,41.0,40.382165605095544
2021-05-31,0.0,88.0,22.0,35.0,45.0,92.0,60.0,86.0,0.0,0.0,54.52229299363057
