date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-01-29,12.0,15.0,13.0,51.0,15.0,0.0,14.0,29.0,0.0,0.0,11.0,34.0,26.0,12.0,27.0,29.0,13.0,15.0,15.0,0.0,24.231332357247442
2020-01-30,23.0,31.0,27.0,35.0,32.0,17.0,29.0,15.0,0.0,15.0,11.0,17.0,26.0,0.0,14.0,15.0,26.0,30.0,15.0,15.0,28.7701317715959
2020-01-31,0.0,31.0,27.0,0.0,97.0,18.0,58.0,0.0,30.0,0.0,22.0,18.0,55.0,13.0,42.0,61.0,40.0,47.0,15.0,45.0,45.31478770131772
2020-02-01,25.0,48.0,71.0,37.0,34.0,37.0,45.0,81.0,32.0,16.0,47.0,93.0,29.0,40.0,15.0,64.0,28.0,82.0,47.0,47.0,67.203513909224
2020-02-02,24.0,30.0,13.0,70.0,48.0,35.0,43.0,46.0,46.0,46.0,56.0,18.0,26.0,37.0,42.0,30.0,13.0,46.0,15.0,43.0,53.221083455344065
2020-02-03,21.0,41.0,49.0,32.0,43.0,16.0,26.0,28.0,27.0,39.0,20.0,32.0,24.0,45.0,25.0,0.0,12.0,55.0,27.0,39.0,43.99707174231333
2020-02-04,24.0,0.0,13.0,35.0,0.0,0.0,15.0,30.0,30.0,0.0,22.0,18.0,26.0,0.0,14.0,0.0,27.0,16.0,15.0,0.0,20.863836017569547
2020-02-05,49.0,46.0,40.0,54.0,62.0,18.0,43.0,30.0,59.0,60.0,22.0,87.0,39.0,25.0,14.0,76.0,40.0,46.0,29.0,73.0,66.76427525622255
2020-02-06,38.0,32.0,0.0,93.0,16.0,0.0,46.0,16.0,15.0,62.0,46.0,18.0,28.0,26.0,0.0,16.0,0.0,48.0,45.0,31.0,42.16691068814056
2020-02-07,25.0,48.0,14.0,37.0,17.0,0.0,30.0,48.0,31.0,16.0,24.0,37.0,42.0,26.0,29.0,31.0,14.0,49.0,32.0,31.0,42.532942898975115
